,location,course_link,duration,entry_score,course_qualification,intakes
0,Canada,https://www.idp.com/global/Categories/Fleming-College/Graduate-Certificate-in-Sustainable-Agriculture-Co-Op/p/PRG-CA-00104880,3 Semester(s),6.5 IELTS,Graduate Certificate,['september']
1,Canada,https://www.idp.com/global/Categories/Agriculture-Sciences/Food-Science/Advanced-Diploma-in-Food-Science-Technology-Fast-Track-Optional-Co-op/p/PRG-CA-00090626,2 Year(s),6.5 IELTS,Graduate Diploma,"['january', 'may', 'september']"
2,United Kingdom,https://www.idp.com/global/Categories/University-of-Birmingham/MastersMSc-in-Food-Safety-Hygiene-and-Management/p/PRG-UK-00073047,1 Year(s),6.0 IELTS,Masters Degree (Taught),['september']
3,Australia,https://www.idp.com/global/Categories/The-University-of-Queensland/Master-of-Biotechnology/p/PRG-AU-00119196,2 Year(s),,Masters Degree (Coursework),"['feb', 'july']"
4,Australia,https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Food-Science/p/PRG-AU-00096862,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july', 'august']"
5,Australia,https://www.idp.com/global/Categories/The-University-of-Queensland/Master-of-Food-Science-and-Technology/p/PRG-AU-00272821,2 Year(s),,Masters Degree (Coursework),"['feb', 'july']"
6,New Zealand,https://www.idp.com/global/Categories/The-University-of-Auckland/Postgraduate-Diploma-in-Science-Food-Science/p/PRG-NZ-00220374,1 Year(s),6.5 IELTS,Postgraduate Diploma,"['january', 'feb', 'march', 'july']"
7,United Kingdom,https://www.idp.com/global/Categories/Agriculture-Sciences/Food-Science/MSc-Food-Production-Management/p/PRG-UK-00081186,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
8,Australia,https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Biotechnology/p/PRG-AU-00059079,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july', 'august']"
9,Australia,https://www.idp.com/global/Categories/The-University-of-New-South-Wales/Master-of-Food-Science/p/PRG-AU-00328027,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'may', 'june', 'september']"
10,Australia,https://www.idp.com/global/Categories/Agriculture-Sciences/Food-Science/Master-of-Food-Science-in-Food-Science-and-Technology/p/PRG-AU-00358514,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'may', 'june', 'september']"
11,Canada,https://www.idp.com/global/Categories/Conestoga-College/Ontario-College-Graduate-Certificate-in-Food-Safety-and-Quality-Assurance-Food-Processing/p/PRG-CA-00120977,1 Year(s),6.5 IELTS,Graduate Certificate,"['january', 'september']"
12,Australia,https://www.idp.com/global/Categories/Murdoch-University/Bachelor-of-Science-in-Animal-Science/p/PRG-AU-00061781,3 Year(s),6.0 IELTS,Bachelor Degree,"['feb', 'july']"
13,Australia,https://www.idp.com/global/Categories/Agriculture-Sciences/Food-Science/Master-of-Biotechnology-and-Bioinformatics/p/PRG-AU-00064012,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july']"
14,Australia,https://www.idp.com/global/Categories/Deakin-University/Bachelor-of-Commerce-Food-and-Agribusiness/p/PRG-AU-00331017,3 Year(s),6.0 IELTS,Bachelor Degree,"['march', 'july', 'november']"
15,Australia,https://www.idp.com/global/Categories/Deakin-University/Master-of-Biotechnology-and-Bioinformatics/p/PRG-AU-00275605,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july']"
16,New Zealand,https://www.idp.com/global/Categories/Agriculture-Sciences/Horticulture-and-Viticulture/Graduate-Diploma-in-Viticulture-and-Oenology/p/PRG-NZ-00074782,1 Year(s),,(Graduate) Diploma level 7,['feb']
17,Australia,https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Agricultural-Sciences/p/PRG-AU-00115967,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july']"
18,Canada,https://www.idp.com/global/Categories/Agriculture-Sciences/Food-Science/Advanced-Diploma-in-Food-Science-Technology-Optional-Co-op/p/PRG-CA-00090627,3 Year(s),6.0 IELTS,Bachelor Degree,"['january', 'may', 'september']"
19,Canada,https://www.idp.com/global/Categories/Niagara-College/Graduate-Certificate-in-Commercial-Beekeeping/p/PRG-CA-00227220,1 Year(s),6.5 IELTS,Graduate Certificate,['january']
20,Australia,https://www.idp.com/global/Categories/Agriculture-Sciences/Food-Science/Master-of-Food-Science-and-Technology/p/PRG-AU-00272809,1 Year(s),,Masters Degree (Coursework),"['feb', 'july']"
21,United Kingdom,https://www.idp.com/global/Categories/University-of-Birmingham/MSc-Molecular-Biotechnology/p/PRG-UK-00073081,1 Year(s),6.0 IELTS,Masters Degree (Taught),['september']
22,New Zealand,https://www.idp.com/global/Categories/University-of-Canterbury/Master-of-Science-in-Biotechnology/p/PRG-NZ-00195343,1 Year(s),6.5 IELTS,Masters Degree (Taught),"['feb', 'july']"
23,New Zealand,https://www.idp.com/global/Categories/Agriculture-Sciences/Bachelor-of-Science-International-Agriculture/p/PRG-NZ-00329358,3 Year(s),6.0 IELTS,Bachelor Degree,"['feb', 'july']"
24,Australia,https://www.idp.com/global/Categories/The-University-of-Adelaide/Master-of-Viticulture-and-Oenology/p/PRG-AU-00159102,2 Year(s),6.5 IELTS,Masters Degree (Coursework),['july']
25,New Zealand,https://www.idp.com/global/Categories/University-of-Canterbury/Master-of-Science-in-Cellular-and-Molecular-Biology/p/PRG-NZ-00300991,1 Year(s),6.5 IELTS,Masters Degree (Taught),"['feb', 'july']"
26,New Zealand,https://www.idp.com/global/Categories/AUT/Master-of-Science-Research-Food-Science/p/PRG-NZ-00302829,2 Year(s),6.5 IELTS,Masters Degree (Research),"['march', 'july']"
27,New Zealand,https://www.idp.com/global/Categories/Lincoln-University/Master-of-Management-in-Agricultural-Systems/p/PRG-NZ-00118781,1 Year(s),6.5 IELTS,Masters Degree (Taught),"['feb', 'july', 'november']"
28,New Zealand,https://www.idp.com/global/Categories/Lincoln-University/Master-of-Wine-and-Viticulture/p/PRG-NZ-00330540,1 Year(s),6.5 IELTS,Masters Degree (Taught),['feb']
29,New Zealand,https://www.idp.com/global/Categories/AUT/Postgraduate-Diploma-in-Science-Food-Science/p/PRG-NZ-00311177,1 Year(s),6.5 IELTS,Postgraduate Diploma,"['march', 'july']"
30,Australia,https://www.idp.com/global/Categories/The-University-of-Adelaide/Master-of-Global-Food-and-Agricultural-Business/p/PRG-AU-00060053,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['may', 'september']"
31,Australia,https://www.idp.com/global/Categories/Macquarie-University/Master-of-Biotechnology-1-year/p/PRG-AU-00334805,1 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'july']"
32,Australia,https://www.idp.com/global/Categories/Macquarie-University/Master-of-Biotechnology-2-years/p/PRG-AU-00116760,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'july']"
33,Australia,https://www.idp.com/global/Categories/Swinburne-University-of-Technology/Master-of-Science-Biotechnology/p/PRG-AU-00059825,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'august']"
34,Australia,https://www.idp.com/global/Categories/RMIT-University/Master-of-Biotechnology/p/PRG-AU-00061730,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'march', 'june', 'july']"
35,New Zealand,https://www.idp.com/global/Categories/Lincoln-University/Postgraduate-Diploma-in-Agricultural-Science/p/PRG-NZ-00074748,1 Year(s),6.5 IELTS,Postgraduate Diploma,"['feb', 'july']"
