,location,course_link,duration,entry_score,course_qualification,intakes
0,Australia,https://www.idp.com/global/Categories/The-University-of-New-South-Wales/Master-of-Design/p/PRG-AU-00118926,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'may', 'june', 'september']"
1,Australia,https://www.idp.com/global/Categories/The-University-of-Melbourne/Bachelor-of-Design/p/PRG-AU-00213217,3 Year(s),6.5 IELTS,Bachelor Degree,"['march', 'july', 'august']"
2,New Zealand,https://www.idp.com/global/Categories/The-University-of-Waikato/Master-of-Professional-Writing/p/PRG-NZ-00276271,1 Year(s),6.5 IELTS,Masters Degree (Taught),"['march', 'july']"
3,New Zealand,https://www.idp.com/global/Categories/The-University-of-Waikato/Master-of-Professional-Writing/p/PRG-NZ-00369371,1 Year(s),6.5 IELTS,Masters Degree (Taught),"['march', 'july']"
4,Australia,https://www.idp.com/global/Categories/Monash-University/Master-of-Design/p/PRG-AU-00061848,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'march', 'june', 'july']"
5,New Zealand,https://www.idp.com/global/Categories/Art-and-Design/Graphic-and-Design-Studies/Bachelor-of-Design-Innovation/p/PRG-NZ-00329957,3 Year(s),6.0 IELTS,Bachelor Degree,['feb']
6,Canada,https://www.idp.com/global/Categories/International-College-of-Manitoba-%28Navitas%29-at-University-of-Manitoba/UTP-Stage-II-Arts/p/PRG-CA-00096926,1 Year(s),,Foundation for Undergraduate,"['january', 'may', 'september']"
7,New Zealand,https://www.idp.com/global/Categories/Victoria-University-of-Wellington/Bachelor-of-Design-Innovation-Fashion-Design-Technology/p/PRG-NZ-00329961,3 Year(s),6.0 IELTS,Bachelor Degree,['feb']
8,United Kingdom,https://www.idp.com/global/Categories/Art-and-Design/Graphic-and-Design-Studies/Design-Management-MA/p/PRG-UK-00077540,1 Year(s),6.5 IELTS,Masters Degree (Taught),['october']
9,New Zealand,https://www.idp.com/global/Categories/Art-and-Design/Graphic-and-Design-Studies/Master-of-Design/p/PRG-NZ-00168885,1 Year(s),6.5 IELTS,Masters Degree (Taught and Research),"['feb', 'july', 'september']"
10,New Zealand,https://www.idp.com/global/Categories/Art-and-Design/Creative-Arts/New-Zealand-Diploma-in-Creativity-Level-5/p/PRG-NZ-00304592,1 Year(s),,Diploma level 5,['march']
11,New Zealand,https://www.idp.com/global/Categories/Art-and-Design/Creative-Arts/New-Zealand-Diploma-in-Creativity-Level-6/p/PRG-NZ-00304593,1 Year(s),,Diploma level 6,['march']
12,United Kingdom,https://www.idp.com/global/Categories/Art-and-Design/Creative-Arts/MAPGCert-Storytelling/p/PRG-UK-00340877,1 Year(s),6.5 IELTS,Masters Degree (Taught),['october']
13,Australia,https://www.idp.com/global/Categories/Queensland-University-of-Technology/Bachelor-of-Creative-Industries/p/PRG-AU-00061915,3 Year(s),6.5 IELTS,Bachelor Degree,"['feb', 'july']"
14,New Zealand,https://www.idp.com/global/Categories/AUT/Master-of-Design/p/PRG-NZ-00074183,1 Year(s),6.5 IELTS,Masters Degree (Taught),"['march', 'july']"
15,Australia,https://www.idp.com/global/Categories/Art-and-Design/Fashion-Design/Master-of-Fashion-Entrepreneurship/p/PRG-AU-00116688,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'march', 'june', 'july']"
16,Canada,https://www.idp.com/global/Categories/Conestoga-College/Ontario-College-Graduate-Certificate-in-Structural-Packaging-Design-and-Management/p/PRG-CA-00240998,1 Year(s),6.5 IELTS,Graduate Certificate,"['january', 'september']"
17,Australia,https://www.idp.com/global/Categories/Art-and-Design/Graphic-and-Design-Studies/Bachelor-of-Design-Communication-Design/p/PRG-AU-00061793,3 Year(s),6.5 IELTS,Bachelor Degree,"['feb', 'march', 'june', 'july']"
18,Australia,https://www.idp.com/global/Categories/Western-Sydney-University/Master-of-Art-Therapy/p/PRG-AU-00296407,2 Year(s),6.5 IELTS,Masters Degree (Coursework),['march']
19,Australia,https://www.idp.com/global/Categories/The-University-of-Queensland/Master-of-Interaction-Design/p/PRG-AU-00119148,2 Year(s),,Masters Degree (Coursework),"['feb', 'july']"
20,Australia,https://www.idp.com/global/Categories/Swinburne-University-of-Technology/Master-of-Design/p/PRG-AU-00181884,2 Year(s),6.5 IELTS,Masters Degree (Research),"['march', 'august']"
21,Australia,https://www.idp.com/global/Categories/University-of-Technology-Sydney/Master-of-Design/p/PRG-AU-00164475,1 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'july', 'august']"
22,United Kingdom,https://www.idp.com/global/Categories/Lancaster-University/Arts-Management-MA/p/PRG-UK-00204950,1 Year(s),7.0 IELTS,Masters Degree (Taught),['october']
23,United States,https://www.idp.com/global/Categories/Maryland-Institute-College-of-Art/Bachelor-of-Fine-Arts-in-Illustration/p/PRG-US-00009159,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'august']"
24,United Kingdom,https://www.idp.com/global/Categories/University-of-Southampton/MA-Fashion-Management/p/PRG-UK-00106602,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
25,Australia,https://www.idp.com/global/Categories/Art-and-Design/Creative-Arts/Diploma-in-Creative-Industries/p/PRG-AU-00303121,12 Month(s),,Diploma,['feb']
26,Australia,https://www.idp.com/global/Categories/Macquarie-University/Standard-Foundation-Program-Arts-Stream/p/PRG-AU-00163543,,,Foundation,"['january', 'september', 'october']"
27,Australia,https://www.idp.com/global/Categories/Macquarie-University/Standard-Foundation-Program-Science-and-Engineering-stream-085296J/p/PRG-AU-00374009,,,Foundation,"['january', 'september', 'october']"
28,Australia,https://www.idp.com/global/Categories/The-University-of-Sydney/Master-of-Interaction-Design-and-Electronic-Arts/p/PRG-AU-00060911,1 Year(s),7.0 IELTS,Masters Degree (Coursework),"['feb', 'march', 'august']"
29,Australia,https://www.idp.com/global/Categories/QUT-International-College/Diploma-in-Creative-Industries/p/PRG-AU-00063101,8 Month(s),,Diploma,"['feb', 'june', 'october']"
30,Australia,https://www.idp.com/global/Categories/Macquarie-University/Standard-Foundation-Program-Business-and-Commerce-stream-085296J/p/PRG-AU-00374007,,,Foundation,"['january', 'april', 'september', 'october']"
31,United States,https://www.idp.com/global/Categories/Pratt-Institute/Associate-of-Occupational-Studies-in-Illustration/p/PRG-US-00008493,4 Semester(s),,Associate Degree,"['january', 'august']"
32,New Zealand,https://www.idp.com/global/Categories/University-of-Canterbury/Master-of-Writing/p/PRG-NZ-00276867,12 Month(s),6.5 IELTS,Masters Degree (Taught),"['feb', 'july']"
33,New Zealand,https://www.idp.com/global/Categories/Art-and-Design/Graphic-and-Design-Studies/Master-of-Design-Innovation-Design-for-Social-Innovation/p/PRG-NZ-00330121,1 Year(s),6.5 IELTS,Masters Degree (Research),['feb']
34,New Zealand,https://www.idp.com/global/Categories/Art-and-Design/Graphic-and-Design-Studies/Master-of-Design-Innovation-Media-Design/p/PRG-NZ-00330123,1 Year(s),6.5 IELTS,Masters Degree (Research),['feb']
35,Australia,https://www.idp.com/global/Categories/Swinburne-University-of-Technology/Swinburne-Foundation-Year-Design-8-months/p/PRG-AU-00161145,8 Month(s),,Foundation,"['feb', 'march', 'june', 'october']"
36,New Zealand,https://www.idp.com/global/Categories/Art-and-Design/Graphic-and-Design-Studies/Master-of-Design-Innovation/p/PRG-NZ-00074883,1 Year(s),6.5 IELTS,Masters Degree (Research),['feb']
37,New Zealand,https://www.idp.com/global/Categories/Art-and-Design/Graphic-and-Design-Studies/Master-of-Design-Innovation-Industrial-Design/p/PRG-NZ-00330122,1 Year(s),6.5 IELTS,Masters Degree (Research),['feb']
38,New Zealand,https://www.idp.com/global/Categories/Art-and-Design/Fashion-Design/Graduate-Diploma-in-Fashion-Design-and-Technology-Level-7-Invercargill/p/PRG-NZ-00165839,1 Year(s),,(Graduate) Diploma level 7,['feb']
39,Australia,https://www.idp.com/global/Categories/RMIT-University/Master-of-Design/p/PRG-AU-00344745,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['january', 'feb', 'march', 'april', 'may', 'june', 'july', 'august', 'september', 'october', 'november', 'december']"
40,Australia,https://www.idp.com/global/Categories/Deakin-University/Master-of-International-Finance-Digital-Transformation/p/PRG-AU-00369721,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july', 'november']"
41,Australia,https://www.idp.com/global/Categories/Deakin-University/Master-of-International-Finance-Arts-and-Cultural-Industries/p/PRG-AU-00369718,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july', 'november']"
42,United Kingdom,https://www.idp.com/global/Categories/Art-and-Design/Graphic-and-Design-Studies/MSc-Design-and-Digital-Media/p/PRG-UK-00084051,1 Year(s),7.0 IELTS,Masters Degree (Taught),['september']
43,Australia,https://www.idp.com/global/Categories/Queensland-University-of-Technology/Bachelor-of-BusinessBachelor-of-Design-Fashion/p/PRG-AU-00299294,4 Year(s),6.5 IELTS,Dual Degree,['feb']
44,United Kingdom,https://www.idp.com/global/Categories/University-of-Edinburgh/MA-eca-Design-for-Change/p/PRG-UK-00271070,1 Year(s),7.0 IELTS,Masters Degree (Taught),['september']
45,Australia,https://www.idp.com/global/Categories/Art-and-Design/Creative-Arts/Diploma-of-Arts-Stage-2-Fast-Track/p/PRG-AU-00341195,8 Month(s),,Diploma,['october']
46,Canada,https://www.idp.com/global/Categories/York-University/Master-of-Business-Administration-Arts-Media-and-Entertainment-Management/p/PRG-CA-00289088,16 Month(s),7.0 IELTS,Masters Degree,"['january', 'september']"
47,Australia,https://www.idp.com/global/Categories/South-Australian-Institute-of-Business-and-Technology-%28SAIBT%29/Diploma-of-Arts-Stage-2/p/PRG-AU-00302768,1 Year(s),,Diploma,"['feb', 'june', 'october']"
48,Australia,https://www.idp.com/global/Categories/South-Australian-Institute-of-Business-and-Technology-%28SAIBT%29/Diploma-of-Arts-Stage-1/p/PRG-AU-00118107,1 Year(s),,Diploma,"['feb', 'june', 'october']"
49,Australia,https://www.idp.com/global/Categories/South-Australian-Institute-of-Business-and-Technology-%28SAIBT%29/Diploma-of-Arts-Stage-1/p/PRG-AU-00369663,8 Month(s),,Diploma,"['feb', 'june', 'october']"
50,United Kingdom,https://www.idp.com/global/Categories/University-of-Southampton/MA-Design-Management/p/PRG-UK-00106603,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
