,area of study,course_name,university_name,course_fee,course_link
0,art-and-design,Master of Design,The University of New South Wales,"AUD 74,400",https://www.idp.com/global/Categories/The-University-of-New-South-Wales/Master-of-Design/p/PRG-AU-00118926
1,art-and-design,Bachelor of Design,The University of Melbourne,"AUD 102,336",https://www.idp.com/global/Categories/The-University-of-Melbourne/Bachelor-of-Design/p/PRG-AU-00213217
2,art-and-design,Master of Professional Writing,The University of Waikato,"NZD 47,425",https://www.idp.com/global/Categories/The-University-of-Waikato/Master-of-Professional-Writing/p/PRG-NZ-00276271
3,art-and-design,Master of Professional Writing,The University of Waikato,"NZD 31,615",https://www.idp.com/global/Categories/The-University-of-Waikato/Master-of-Professional-Writing/p/PRG-NZ-00369371
4,art-and-design,Master of Design,Monash University,"AUD 73,400",https://www.idp.com/global/Categories/Monash-University/Master-of-Design/p/PRG-AU-00061848
5,art-and-design,Bachelor of Design Innovation,Victoria University of Wellington,"NZD 100,393",https://www.idp.com/global/Categories/Art-and-Design/Graphic-and-Design-Studies/Bachelor-of-Design-Innovation/p/PRG-NZ-00329957
6,art-and-design,UTP Stage II: Arts,International College of Manitoba (Navitas) at University of Manitoba,"CAD 19,175",https://www.idp.com/global/Categories/International-College-of-Manitoba-%28Navitas%29-at-University-of-Manitoba/UTP-Stage-II-Arts/p/PRG-CA-00096926
7,art-and-design,Bachelor of Design Innovation - Fashion Design Technology,Victoria University of Wellington,"NZD 100,393",https://www.idp.com/global/Categories/Victoria-University-of-Wellington/Bachelor-of-Design-Innovation-Fashion-Design-Technology/p/PRG-NZ-00329961
8,art-and-design,Design Management MA,Lancaster University,"GBP 18,800",https://www.idp.com/global/Categories/Art-and-Design/Graphic-and-Design-Studies/Design-Management-MA/p/PRG-UK-00077540
9,art-and-design,Master of Design,Massey University,"NZD 55,215",https://www.idp.com/global/Categories/Art-and-Design/Graphic-and-Design-Studies/Master-of-Design/p/PRG-NZ-00168885
10,art-and-design,New Zealand Diploma in Creativity (Level 5),Wellington Institute of Technology,"NZD 19,950",https://www.idp.com/global/Categories/Art-and-Design/Creative-Arts/New-Zealand-Diploma-in-Creativity-Level-5/p/PRG-NZ-00304592
11,art-and-design,New Zealand Diploma in Creativity (Level 6),Wellington Institute of Technology,"NZD 19,950",https://www.idp.com/global/Categories/Art-and-Design/Creative-Arts/New-Zealand-Diploma-in-Creativity-Level-6/p/PRG-NZ-00304593
