,location,course_link,duration,entry_score,course_qualification,intakes
0,Australia,https://www.idp.com/global/Categories/The-University-of-Melbourne/Bachelor-of-Science/p/PRG-AU-00065738,3 Year(s),6.5 IELTS,Bachelor Degree,"['march', 'july']"
1,Canada,https://www.idp.com/global/Categories/Centennial-College-of-Applied-Arts-and-Technology/Advanced-Diploma-in-Biotechnology-Advanced-Fast-Track-Optional-Co-op/p/PRG-CA-00090713,2 Year(s),6.5 IELTS,Bachelor Degree,"['january', 'may', 'september']"
2,Australia,https://www.idp.com/global/Categories/The-University-of-Melbourne/Bachelor-of-Biomedicine/p/PRG-AU-00066007,3 Year(s),6.5 IELTS,Bachelor Degree,"['march', 'july', 'august']"
3,Canada,https://www.idp.com/global/Categories/Fleming-College/Advanced-Diploma-in-Biotechnology/p/PRG-CA-00104930,5 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'september']"
4,New Zealand,https://www.idp.com/global/Categories/AUT/Post-Graduate-Diploma-in-Science-Biomedical-Science/p/PRG-NZ-00326836,1 Year(s),6.5 IELTS,Postgraduate Diploma,"['march', 'july']"
5,Australia,https://www.idp.com/global/Categories/The-University-of-Queensland/Bachelor-of-Science-Biomedical-Science/p/PRG-AU-00115311,3 Year(s),,Bachelor Degree,"['feb', 'july']"
6,Australia,https://www.idp.com/global/Categories/The-Australian-National-University/Master-of-Science-in-Biological-Sciences/p/PRG-AU-00274161,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'july']"
7,Australia,https://www.idp.com/global/Categories/Biological-and-life-Sciences/Biological-Sciences/Master-of-Science-in-Quantitative-Biology-and-Bioinformatics/p/PRG-AU-00274163,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'july']"
8,Australia,https://www.idp.com/global/Categories/The-Australian-National-University/Master-of-Science-Advanced-in-Quantitative-Biology-and-Bioinformatics/p/PRG-AU-00275154,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'july']"
9,Australia,https://www.idp.com/global/Categories/Biological-and-life-Sciences/Biological-Sciences/Master-of-Science-Advanced-in-Biological-Sciences/p/PRG-AU-00275134,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'july']"
10,Australia,https://www.idp.com/global/Categories/Monash-University/Bachelor-of-Biomedical-Science/p/PRG-AU-00061949,3 Year(s),6.5 IELTS,Bachelor Degree,"['feb', 'march', 'june', 'july', 'october']"
11,Canada,https://www.idp.com/global/Categories/University-of-Ottawa/Master-of-Computer-Science-Bioinformatics/p/PRG-CA-00325229,2 Year(s),6.5 IELTS,Masters Degree,"['january', 'september']"
12,United States,https://www.idp.com/global/Categories/Northeastern-University/Master-of-Professional-Studies-in-Informatics/p/PRG-US-00184872,2 Semester(s),6.5 IELTS,Professional Masters Degree,"['january', 'may', 'september']"
13,United Kingdom,https://www.idp.com/global/Categories/University-of-Leeds/Neuroscience-MRes/p/PRG-UK-00336515,1 Year(s),6.5 IELTS,Masters Degree (Research),"['january', 'september']"
14,Australia,https://www.idp.com/global/Categories/The-University-of-Queensland/Bachelor-of-Biomedical-Science/p/PRG-AU-00231153,3 Year(s),,Bachelor Degree,"['feb', 'july']"
15,United States,https://www.idp.com/global/Categories/Biological-and-life-Sciences/Biotechnology/Master-in-Biotechnology/p/PRG-US-00058657,4 Semester(s),6.5 IELTS,Professional Masters Degree,"['january', 'august']"
16,Canada,https://www.idp.com/global/Categories/Centennial-College-of-Applied-Arts-and-Technology/Diploma-in-Biotechnology-Fast-Track/p/PRG-CA-00090716,1 Year(s),6.5 IELTS,Graduate Diploma,"['january', 'may', 'september']"
17,United States,https://www.idp.com/global/Categories/Kent-State-University/Master-of-Public-Health-in-Biostatistics/p/PRG-US-00008931,4 Semester(s),6.5 IELTS,Masters Degree,"['january', 'june', 'august']"
