,area of study,course_name,university_name,course_fee,course_link
0,biological-and-life-sciences,Bachelor of Science,The University of Melbourne,"AUD 125,736",https://www.idp.com/global/Categories/The-University-of-Melbourne/Bachelor-of-Science/p/PRG-AU-00065738
1,biological-and-life-sciences,Advanced Diploma in Biotechnology Advanced (Fast Track) (Optional Co-op),Centennial College of Applied Arts and Technology,"CAD 30,875",https://www.idp.com/global/Categories/Centennial-College-of-Applied-Arts-and-Technology/Advanced-Diploma-in-Biotechnology-Advanced-Fast-Track-Optional-Co-op/p/PRG-CA-00090713
2,biological-and-life-sciences,Bachelor of Biomedicine,The University of Melbourne,"AUD 148,224",https://www.idp.com/global/Categories/The-University-of-Melbourne/Bachelor-of-Biomedicine/p/PRG-AU-00066007
3,biological-and-life-sciences,Advanced Diploma in Biotechnology,Fleming College,"CAD 45,217",https://www.idp.com/global/Categories/Fleming-College/Advanced-Diploma-in-Biotechnology/p/PRG-CA-00104930
4,biological-and-life-sciences,Post Graduate Diploma in Science - Biomedical Science,AUT,"NZD 38,002",https://www.idp.com/global/Categories/AUT/Post-Graduate-Diploma-in-Science-Biomedical-Science/p/PRG-NZ-00326836
5,biological-and-life-sciences,Bachelor of Science - Biomedical Science,The University of Queensland,"AUD 134,208",https://www.idp.com/global/Categories/The-University-of-Queensland/Bachelor-of-Science-Biomedical-Science/p/PRG-AU-00115311
6,biological-and-life-sciences,Master of Science in Biological Sciences,The Australian National University,"AUD 93,820",https://www.idp.com/global/Categories/The-Australian-National-University/Master-of-Science-in-Biological-Sciences/p/PRG-AU-00274161
7,biological-and-life-sciences,Master of Science in Quantitative Biology and Bioinformatics,The Australian National University,"AUD 93,820",https://www.idp.com/global/Categories/Biological-and-life-Sciences/Biological-Sciences/Master-of-Science-in-Quantitative-Biology-and-Bioinformatics/p/PRG-AU-00274163
8,biological-and-life-sciences,Master of Science (Advanced) in Quantitative Biology and Bioinformatics,The Australian National University,"AUD 93,820",https://www.idp.com/global/Categories/The-Australian-National-University/Master-of-Science-Advanced-in-Quantitative-Biology-and-Bioinformatics/p/PRG-AU-00275154
9,biological-and-life-sciences,Master of Science (Advanced) in Biological Sciences,The Australian National University,"AUD 93,820",https://www.idp.com/global/Categories/Biological-and-life-Sciences/Biological-Sciences/Master-of-Science-Advanced-in-Biological-Sciences/p/PRG-AU-00275134
10,biological-and-life-sciences,Bachelor of Biomedical Science,Monash University,"AUD 125,700",https://www.idp.com/global/Categories/Monash-University/Bachelor-of-Biomedical-Science/p/PRG-AU-00061949
11,biological-and-life-sciences,Master of Computer Science - Bioinformatics,University of Ottawa,"CAD 55,039",https://www.idp.com/global/Categories/University-of-Ottawa/Master-of-Computer-Science-Bioinformatics/p/PRG-CA-00325229
12,biological-and-life-sciences,Master of Professional Studies in Informatics,Northeastern University,"USD 39,500",https://www.idp.com/global/Categories/Northeastern-University/Master-of-Professional-Studies-in-Informatics/p/PRG-US-00184872
13,biological-and-life-sciences,Neuroscience MRes,University of Leeds,"GBP 24,000",https://www.idp.com/global/Categories/University-of-Leeds/Neuroscience-MRes/p/PRG-UK-00336515
14,biological-and-life-sciences,Bachelor of Biomedical Science,The University of Queensland,"AUD 130,512",https://www.idp.com/global/Categories/The-University-of-Queensland/Bachelor-of-Biomedical-Science/p/PRG-AU-00231153
15,biological-and-life-sciences,Master in Biotechnology,"California State University, Fresno","USD 33,360",https://www.idp.com/global/Categories/Biological-and-life-Sciences/Biotechnology/Master-in-Biotechnology/p/PRG-US-00058657
16,biological-and-life-sciences,Diploma in Biotechnology (Fast-Track),Centennial College of Applied Arts and Technology,"CAD 15,438",https://www.idp.com/global/Categories/Centennial-College-of-Applied-Arts-and-Technology/Diploma-in-Biotechnology-Fast-Track/p/PRG-CA-00090716
17,biological-and-life-sciences,Master of Public Health in Biostatistics,Kent State University,"USD 40,665",https://www.idp.com/global/Categories/Kent-State-University/Master-of-Public-Health-in-Biostatistics/p/PRG-US-00008931
18,biological-and-life-sciences,Master of Biomedical Science,The University of Melbourne,"AUD 83,072",https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Biomedical-Science/p/PRG-AU-00109915
19,biological-and-life-sciences,Bachelor of Biomedical Science (Honours),The University of Queensland,"AUD 44,736",https://www.idp.com/global/Categories/The-University-of-Queensland/Bachelor-of-Biomedical-Science-Honours/p/PRG-AU-00271185
20,biological-and-life-sciences,Master of Biotechnology (Biomedical),The University of Adelaide,"AUD 86,000",https://www.idp.com/global/Categories/The-University-of-Adelaide/Master-of-Biotechnology-Biomedical/p/PRG-AU-00079098
21,biological-and-life-sciences,"Master of Science in Regulatory Affairs for Drugs, Biologics, and Medical ...",Northeastern University,"USD 34,965",https://www.idp.com/global/Categories/Northeastern-University/Master-of-Science-in-Regulatory-Affairs-for-Drugs-Biologics-and-Medical-Devices/p/PRG-US-00207937
22,biological-and-life-sciences,Master of Biotechnology,California State University - San Marcos,"USD 32,175",https://www.idp.com/global/Categories/Biological-and-life-Sciences/Biotechnology/Master-of-Biotechnology/p/PRG-US-00172924
23,biological-and-life-sciences,"Bachelor of Biomedical Sciences - Reproduction, Genetics and Development",The University of Otago,"NZD 103,194",https://www.idp.com/global/Categories/The-University-of-Otago/Bachelor-of-Biomedical-Sciences-Reproduction-Genetics-and-Development/p/PRG-NZ-00102828
24,biological-and-life-sciences,Bachelor of Biomedical Sciences - Drugs and Human Health,The University of Otago,"NZD 106,290",https://www.idp.com/global/Categories/The-University-of-Otago/Bachelor-of-Biomedical-Sciences-Drugs-and-Human-Health/p/PRG-NZ-00102836
25,biological-and-life-sciences,Master of Science - Zoology,Massey University,"NZD 74,420",https://www.idp.com/global/Categories/Massey-University/Master-of-Science-Zoology/p/PRG-NZ-00110318
26,biological-and-life-sciences,Bachelor of Science - Molecular and Cellular Biology,Massey University,"NZD 101,310",https://www.idp.com/global/Categories/Biological-and-life-Sciences/Biological-Sciences/Bachelor-of-Science-Molecular-and-Cellular-Biology/p/PRG-NZ-00329360
27,biological-and-life-sciences,Bachelor of Health Sciences - Public Health,The University of Otago,"NZD 103,194",https://www.idp.com/global/Categories/The-University-of-Otago/Bachelor-of-Health-Sciences-Public-Health/p/PRG-NZ-00300472
28,biological-and-life-sciences,Bachelor of Health Sciences - Community Health Care,The University of Otago,"NZD 103,194",https://www.idp.com/global/Categories/The-University-of-Otago/Bachelor-of-Health-Sciences-Community-Health-Care/p/PRG-NZ-00300470
29,biological-and-life-sciences,Bachelor of Health Sciences - Pacific and Global Health,The University of Otago,"NZD 103,194",https://www.idp.com/global/Categories/The-University-of-Otago/Bachelor-of-Health-Sciences-Pacific-and-Global-Health/p/PRG-NZ-00300471
30,biological-and-life-sciences,Master of Science (Research) - Molecular Genetics,AUT,"NZD 76,004",https://www.idp.com/global/Categories/AUT/Master-of-Science-Research-Molecular-Genetics/p/PRG-NZ-00302834
31,biological-and-life-sciences,Master of Science - Genetics,The University of Otago,"NZD 37,904",https://www.idp.com/global/Categories/Biological-and-life-Sciences/Genetics/Master-of-Science-Genetics/p/PRG-NZ-00103111
32,biological-and-life-sciences,Bachelor of Health Sciences,The University of Otago,"NZD 106,290",https://www.idp.com/global/Categories/The-University-of-Otago/Bachelor-of-Health-Sciences/p/PRG-NZ-00300469
33,biological-and-life-sciences,Master of Science (Research) - Biomedical Science,AUT,"NZD 76,004",https://www.idp.com/global/Categories/AUT/Master-of-Science-Research-Biomedical-Science/p/PRG-NZ-00302825
34,biological-and-life-sciences,Master of Science (Research) - Microbiology,AUT,"NZD 76,004",https://www.idp.com/global/Categories/Biological-and-life-Sciences/Biological-Sciences/Master-of-Science-Research-Microbiology/p/PRG-NZ-00302832
35,biological-and-life-sciences,Bachelor of Science - Molecular Genetics and Biochemistry,Massey University,"NZD 101,310",https://www.idp.com/global/Categories/Biological-and-life-Sciences/Biochemistry/Bachelor-of-Science-Molecular-Genetics-and-Biochemistry/p/PRG-NZ-00329361
36,biological-and-life-sciences,Bachelor of Science - Integrative Biology,Massey University,"NZD 101,310",https://www.idp.com/global/Categories/Biological-and-life-Sciences/Biological-Sciences/Bachelor-of-Science-Integrative-Biology/p/PRG-NZ-00329357
37,biological-and-life-sciences,Master of Medical Biotechnology,University of Windsor,"CAD 31,000",https://www.idp.com/global/Categories/University-of-Windsor/Master-of-Medical-Biotechnology/p/PRG-CA-00098063
38,biological-and-life-sciences,Advanced Diploma in Computer Security and Investigations,Fleming College,"CAD 59,554",https://www.idp.com/global/Categories/Fleming-College/Advanced-Diploma-in-Computer-Security-and-Investigations/p/PRG-CA-00104918
39,biological-and-life-sciences,Diploma in Biotechnology,Centennial College of Applied Arts and Technology,"CAD 30,875",https://www.idp.com/global/Categories/Centennial-College-of-Applied-Arts-and-Technology/Diploma-in-Biotechnology/p/PRG-CA-00090717
40,biological-and-life-sciences,Ontario College Diploma in Biotechnology,Loyalist College of Applied Arts and Technology,"CAD 28,665",https://www.idp.com/global/Categories/Biological-and-life-Sciences/Biotechnology/Ontario-College-Diploma-in-Biotechnology/p/PRG-CA-00092031
