,location,course_link,duration,entry_score,course_qualification,intakes
0,New Zealand,https://www.idp.com/global/Categories/AUT/Master-of-Construction-Management/p/PRG-NZ-00074985,1 Year(s),6.5 IELTS,Masters Degree (Taught),"['march', 'july']"
1,Australia,https://www.idp.com/global/Categories/Deakin-University/Master-of-Construction-Management-Professional/p/PRG-AU-00110994,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july', 'november']"
2,Canada,https://www.idp.com/global/Categories/Fanshawe-College/Graduate-Certificate-in-Construction-Project-Management/p/PRG-CA-00116581,1 Year(s),6.5 IELTS,Graduate Certificate,"['january', 'may', 'september']"
3,United States,https://www.idp.com/global/Categories/Kent-State-University/Master-of-Science-in-Construction-Management/p/PRG-US-00362963,3 Semester(s),6.0 IELTS,Masters Degree,['august']
4,New Zealand,https://www.idp.com/global/Categories/Unitec-New-Zealand-Limited/Graduate-Diploma-in-Construction-Project-Management/p/PRG-NZ-00233881,1 Year(s),,(Graduate) Diploma level 7,"['feb', 'july']"
5,New Zealand,https://www.idp.com/global/Categories/University-of-Canterbury/Master-of-Engineering-Studies-Construction-Engineering/p/PRG-NZ-00200740,1 Year(s),6.5 IELTS,Masters Degree (Taught),['feb']
6,Australia,https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Architecture/p/PRG-AU-00299320,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july']"
7,Australia,https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Architecture/p/PRG-AU-00115965,3 Year(s),6.5 IELTS,Masters Degree (Coursework),['march']
8,Australia,https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Construction-Management/p/PRG-AU-00115964,3 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july', 'august']"
9,Australia,https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Construction-Management/p/PRG-AU-00368948,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'august']"
