,area of study,course_name,university_name,course_fee,course_link
0,building-and-architecture,Master of Construction Management,AUT,"NZD 42,071",https://www.idp.com/global/Categories/AUT/Master-of-Construction-Management/p/PRG-NZ-00074985
1,building-and-architecture,Master of Construction Management (Professional),Deakin University,"AUD 77,200",https://www.idp.com/global/Categories/Deakin-University/Master-of-Construction-Management-Professional/p/PRG-AU-00110994
2,building-and-architecture,Graduate Certificate in Construction Project Management,Fanshawe College,"CAD 14,750",https://www.idp.com/global/Categories/Fanshawe-College/Graduate-Certificate-in-Construction-Project-Management/p/PRG-CA-00116581
3,building-and-architecture,Master of Science in Construction Management,Kent State University,"USD 30,499",https://www.idp.com/global/Categories/Kent-State-University/Master-of-Science-in-Construction-Management/p/PRG-US-00362963
4,building-and-architecture,Graduate Diploma in Construction Project Management,Unitec New Zealand Limited,"NZD 24,000",https://www.idp.com/global/Categories/Unitec-New-Zealand-Limited/Graduate-Diploma-in-Construction-Project-Management/p/PRG-NZ-00233881
5,building-and-architecture,Master of Engineering Studies - Construction Engineering,University of Canterbury,"NZD 44,000",https://www.idp.com/global/Categories/University-of-Canterbury/Master-of-Engineering-Studies-Construction-Engineering/p/PRG-NZ-00200740
6,building-and-architecture,Master of Architecture,The University of Melbourne,"AUD 85,568",https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Architecture/p/PRG-AU-00299320
7,building-and-architecture,Master of Architecture,The University of Melbourne,"AUD 128,352",https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Architecture/p/PRG-AU-00115965
8,building-and-architecture,Master of Construction Management,The University of Melbourne,"AUD 128,352",https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Construction-Management/p/PRG-AU-00115964
9,building-and-architecture,Master of Construction Management,The University of Melbourne,"AUD 85,568",https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Construction-Management/p/PRG-AU-00368948
10,building-and-architecture,MSc Urban and Regional Planning (with RTPI accreditation),University of Birmingham,"GBP 21,960",https://www.idp.com/global/Categories/University-of-Birmingham/MSc-Urban-and-Regional-Planning-with-RTPI-accreditation/p/PRG-UK-00072936
11,building-and-architecture,Postgraduate Diploma Urban and Regional Planning (with RTPI accreditation),University of Birmingham,"GBP 18,950",https://www.idp.com/global/Categories/University-of-Birmingham/Postgraduate-Diploma-Urban-and-Regional-Planning-with-RTPI-accreditation/p/PRG-UK-00371822
12,building-and-architecture,Master of Engineering Studies - Construction Management,The University of Auckland,"NZD 44,526",https://www.idp.com/global/Categories/The-University-of-Auckland/Master-of-Engineering-Studies-Construction-Management/p/PRG-NZ-00242370
13,building-and-architecture,Master of Engineering Studies - Construction Management,The University of Auckland,"NZD 66,789",https://www.idp.com/global/Categories/The-University-of-Auckland/Master-of-Engineering-Studies-Construction-Management/p/PRG-NZ-00325952
14,building-and-architecture,Graduate Certificate in Construction Management,Centennial College of Applied Arts and Technology,"CAD 23,156",https://www.idp.com/global/Categories/Building-and-Architecture/Architecture/Graduate-Certificate-in-Construction-Management/p/PRG-CA-00090674
15,building-and-architecture,Master of Construction and Infrastructure Management,Swinburne University of Technology,"AUD 74,960",https://www.idp.com/global/Categories/Swinburne-University-of-Technology/Master-of-Construction-and-Infrastructure-Management/p/PRG-AU-00189094
16,building-and-architecture,Master of Architecture - Social Agency,The University of New South Wales,"AUD 84,000",https://www.idp.com/global/Categories/The-University-of-New-South-Wales/Master-of-Architecture-Social-Agency/p/PRG-AU-00319492
17,building-and-architecture,Master of Architecture - High Performance Technology,The University of New South Wales,"AUD 84,000",https://www.idp.com/global/Categories/Building-and-Architecture/Architecture/Master-of-Architecture-High-Performance-Technology/p/PRG-AU-00319491
18,building-and-architecture,Master of Architecture - Architectural Design,The University of New South Wales,"AUD 84,000",https://www.idp.com/global/Categories/Building-and-Architecture/Architecture/Master-of-Architecture-Architectural-Design/p/PRG-AU-00358256
19,building-and-architecture,Master of Architecture - Housing,The University of New South Wales,"AUD 84,000",https://www.idp.com/global/Categories/The-University-of-New-South-Wales/Master-of-Architecture-Housing/p/PRG-AU-00065685
20,building-and-architecture,Master of Architecture,RMIT University,"AUD 86,400",https://www.idp.com/global/Categories/RMIT-University/Master-of-Architecture/p/PRG-AU-00065946
21,building-and-architecture,Master of Construction Management,CQUniversity Australia,"AUD 59,040",https://www.idp.com/global/Categories/CQUniversity-Australia/Master-of-Construction-Management/p/PRG-AU-00348526
22,building-and-architecture,Master of Construction - Construction Project Management,Massey University,"NZD 40,080",https://www.idp.com/global/Categories/Massey-University/Master-of-Construction-Construction-Project-Management/p/PRG-NZ-00193673
23,building-and-architecture,Postgraduate Diploma in Construction - Building Technology,Massey University,"NZD 40,080",https://www.idp.com/global/Categories/Building-and-Architecture/Building-Technology/Postgraduate-Diploma-in-Construction-Building-Technology/p/PRG-NZ-00329816
