,location,course_link,duration,entry_score,course_qualification,intakes
0,United Kingdom,https://www.idp.com/global/Categories/Business/International-Business/MSc-International-Business/p/PRG-UK-00073079,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
1,United Kingdom,https://www.idp.com/global/Categories/University-of-Birmingham/MSc-International-Business-Singapore/p/PRG-UK-00335966,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
2,Australia,https://www.idp.com/global/Categories/The-University-of-Melbourne/Bachelor-of-Commerce/p/PRG-AU-00065740,3 Year(s),6.5 IELTS,Bachelor Degree,"['march', 'july', 'august']"
3,United Kingdom,https://www.idp.com/global/Categories/University-of-Birmingham/MSc-Marketing/p/PRG-UK-00073003,1 Year(s),7.0 IELTS,Masters Degree (Taught),['september']
4,United States,https://www.idp.com/global/Categories/The-University-of-Illinois-at-Chicago---Shorelight/Academic-Accelerator-Program-AAP/p/PRG-US-00232393,9 Month(s),,Foundation for Undergraduate,"['january', 'may', 'august']"
5,New Zealand,https://www.idp.com/global/Categories/The-University-of-Waikato/Master-of-Business-and-Management/p/PRG-NZ-00073962,1 Year(s),6.5 IELTS,Masters Degree (Taught),"['march', 'july', 'november']"
6,Canada,https://www.idp.com/global/Categories/Fleming-College/Graduate-Certificate-in-Project-Management/p/PRG-CA-00100859,2 Semester(s),6.5 IELTS,Graduate Certificate,"['january', 'may', 'september']"
7,New Zealand,https://www.idp.com/global/Categories/Otago-Polytechnic/Graduate-Diploma-in-Applied-Management-Auckland-or-Central-Otago-international-students-only/p/PRG-NZ-00200443,1 Year(s),,(Graduate) Diploma level 7,"['january', 'march', 'april', 'june', 'august', 'october']"
8,Australia,https://www.idp.com/global/Categories/Trinity-College/Trinity-College-Foundation-Studies-Main/p/PRG-AU-00058934,44 Week(s),,Foundation,"['feb', 'august']"
9,United Kingdom,https://www.idp.com/global/Categories/University-of-Birmingham/MSc-Management/p/PRG-UK-00165387,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
10,Australia,https://www.idp.com/global/Categories/Business/Management-and-Commerce/Bachelor-of-Commerce/p/PRG-AU-00065381,3 Year(s),7.0 IELTS,Bachelor Degree,"['feb', 'march', 'august']"
11,Australia,https://www.idp.com/global/Categories/The-University-of-New-South-Wales/Bachelor-of-Commerce/p/PRG-AU-00065978,3 Year(s),7.0 IELTS,Bachelor Degree,"['feb', 'may', 'june', 'september']"
12,United Kingdom,https://www.idp.com/global/Categories/Business/Human-resource-Management/MSc-Human-Resource-Management/p/PRG-UK-00073034,1 Year(s),7.0 IELTS,Masters Degree (Taught),['september']
13,United Kingdom,https://www.idp.com/global/Categories/University-of-Birmingham/MSc-International-Marketing/p/PRG-UK-00073022,1 Year(s),7.0 IELTS,Masters Degree (Taught),['september']
14,Australia,https://www.idp.com/global/Categories/UNSW-Global-Pty-Ltd-Foundation-Year/Standard-Foundation-Studies-Program/p/PRG-AU-00063825,9 Month(s),,Foundation,"['march', 'august', 'november']"
15,Australia,https://www.idp.com/global/Categories/Monash-College/Monash-University-Foundation-Year-Standard/p/PRG-AU-00082641,1 Year(s),,Foundation,"['january', 'feb', 'july']"
16,Australia,https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Marketing-Communications/p/PRG-AU-00116369,2 Year(s),7.0 IELTS,Masters Degree (Coursework),"['march', 'july', 'august']"
17,Australia,https://www.idp.com/global/Categories/International-Education-Services-%28University-of-Queensland-Foundation-Year%29/IES-Foundation-Year-Standard/p/PRG-AU-00188876,40 Week(s),,Foundation,"['feb', 'august']"
18,Australia,https://www.idp.com/global/Categories/CQUniversity-Australia/Master-of-Management-for-Engineers/p/PRG-AU-00116196,2 Year(s),6.0 IELTS,Masters Degree (Coursework),"['march', 'july', 'november']"
19,Canada,https://www.idp.com/global/Categories/Fraser-International-College-%28FIC%29/UTP-Stage-II-in-Business-Administration/p/PRG-CA-00075396,1 Year(s),,Foundation for Undergraduate,"['january', 'may', 'september']"
