,area of study,course_name,university_name,course_fee,course_link
0,business,MSc International Business,University of Birmingham,"GBP 25,380",https://www.idp.com/global/Categories/Business/International-Business/MSc-International-Business/p/PRG-UK-00073079
1,business,MSc International Business (Singapore),University of Birmingham,"SGD 27,773",https://www.idp.com/global/Categories/University-of-Birmingham/MSc-International-Business-Singapore/p/PRG-UK-00335966
2,business,Bachelor of Commerce,The University of Melbourne,"AUD 125,520",https://www.idp.com/global/Categories/The-University-of-Melbourne/Bachelor-of-Commerce/p/PRG-AU-00065740
3,business,MSc Marketing,University of Birmingham,"GBP 23,580",https://www.idp.com/global/Categories/University-of-Birmingham/MSc-Marketing/p/PRG-UK-00073003
4,business,Academic Accelerator Program (AAP),The University of Illinois at Chicago - Shorelight,"USD 32,000",https://www.idp.com/global/Categories/The-University-of-Illinois-at-Chicago---Shorelight/Academic-Accelerator-Program-AAP/p/PRG-US-00232393
5,business,Master of Business and Management,The University of Waikato,"NZD 47,275",https://www.idp.com/global/Categories/The-University-of-Waikato/Master-of-Business-and-Management/p/PRG-NZ-00073962
6,business,Graduate Certificate in Project Management,Fleming College,"CAD 18,553",https://www.idp.com/global/Categories/Fleming-College/Graduate-Certificate-in-Project-Management/p/PRG-CA-00100859
7,business,Graduate Diploma in Applied Management (Auckland or Central Otago - intern...,Otago Polytechnic,"NZD 20,350",https://www.idp.com/global/Categories/Otago-Polytechnic/Graduate-Diploma-in-Applied-Management-Auckland-or-Central-Otago-international-students-only/p/PRG-NZ-00200443
8,business,Trinity College Foundation Studies (Main),Trinity College,"AUD 34,630",https://www.idp.com/global/Categories/Trinity-College/Trinity-College-Foundation-Studies-Main/p/PRG-AU-00058934
9,business,MSc Management,University of Birmingham,"GBP 24,480",https://www.idp.com/global/Categories/University-of-Birmingham/MSc-Management/p/PRG-UK-00165387
10,business,Bachelor of Commerce,The University of Sydney,"AUD 138,000",https://www.idp.com/global/Categories/Business/Management-and-Commerce/Bachelor-of-Commerce/p/PRG-AU-00065381
11,business,Bachelor of Commerce,The University of New South Wales,"AUD 134,640",https://www.idp.com/global/Categories/The-University-of-New-South-Wales/Bachelor-of-Commerce/p/PRG-AU-00065978
12,business,MSc Human Resource Management,University of Birmingham,"GBP 22,680",https://www.idp.com/global/Categories/Business/Human-resource-Management/MSc-Human-Resource-Management/p/PRG-UK-00073034
13,business,MSc International Marketing,University of Birmingham,"GBP 23,580",https://www.idp.com/global/Categories/University-of-Birmingham/MSc-International-Marketing/p/PRG-UK-00073022
14,business,Standard Foundation Studies Program,UNSW Global Pty Ltd Foundation Year,"AUD 33,850",https://www.idp.com/global/Categories/UNSW-Global-Pty-Ltd-Foundation-Year/Standard-Foundation-Studies-Program/p/PRG-AU-00063825
15,business,Monash University Foundation Year - Standard,Monash College,"AUD 29,000",https://www.idp.com/global/Categories/Monash-College/Monash-University-Foundation-Year-Standard/p/PRG-AU-00082641
16,business,Master of Marketing Communications,The University of Melbourne,"AUD 73,216",https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Marketing-Communications/p/PRG-AU-00116369
17,business,IES Foundation Year (Standard),International Education Services (University of Queensland Foundation Year),"AUD 26,300",https://www.idp.com/global/Categories/International-Education-Services-%28University-of-Queensland-Foundation-Year%29/IES-Foundation-Year-Standard/p/PRG-AU-00188876
18,business,Master of Management for Engineers,CQUniversity Australia,"AUD 60,840",https://www.idp.com/global/Categories/CQUniversity-Australia/Master-of-Management-for-Engineers/p/PRG-AU-00116196
19,business,UTP Stage II in Business Administration,Fraser International College (FIC),"CAD 29,777",https://www.idp.com/global/Categories/Fraser-International-College-%28FIC%29/UTP-Stage-II-in-Business-Administration/p/PRG-CA-00075396
20,business,Standard Plus Foundation Studies Program,UNSW Global Pty Ltd Foundation Year,"AUD 39,500",https://www.idp.com/global/Categories/UNSW-Global-Pty-Ltd-Foundation-Year/Standard-Plus-Foundation-Studies-Program/p/PRG-AU-00065470
21,business,Graduate Certificate in Project Management,Centennial College of Applied Arts and Technology,"CAD 18,854",https://www.idp.com/global/Categories/Centennial-College-of-Applied-Arts-and-Technology/Graduate-Certificate-in-Project-Management/p/PRG-CA-00090541
22,business,Graduate Certificate in Global Business Management,Centennial College of Applied Arts and Technology,"CAD 29,005",https://www.idp.com/global/Categories/Centennial-College-of-Applied-Arts-and-Technology/Graduate-Certificate-in-Global-Business-Management/p/PRG-CA-00090620
23,business,UTP Stage II Business,International College of Manitoba (Navitas) at University of Manitoba,"CAD 19,175",https://www.idp.com/global/Categories/International-College-of-Manitoba-%28Navitas%29-at-University-of-Manitoba/UTP-Stage-II-Business/p/PRG-CA-00096925
24,business,Mixed UTP Stage II Business,International College of Manitoba (Navitas) at University of Manitoba,"CAD 24,934",https://www.idp.com/global/Categories/International-College-of-Manitoba-%28Navitas%29-at-University-of-Manitoba/Mixed-UTP-Stage-II-Business/p/PRG-CA-00368056
25,business,Trinity College Foundation Studies (Extended),Trinity College,"AUD 51,945",https://www.idp.com/global/Categories/Trinity-College/Trinity-College-Foundation-Studies-Extended/p/PRG-AU-00178421
26,business,Graduate Diploma in Project Management,Ara Institute of Canterbury Limited,"NZD 21,310",https://www.idp.com/global/Categories/Ara-Institute-of-Canterbury-Limited/Graduate-Diploma-in-Project-Management/p/PRG-NZ-00074687
27,business,Postgraduate Diploma in Business Administration,Auckland Institute of Studies New Zealand,"NZD 22,500",https://www.idp.com/global/Categories/Auckland-Institute-of-Studies-New-Zealand/Postgraduate-Diploma-in-Business-Administration/p/PRG-NZ-00113384
28,business,Bachelor of Commerce,Monash University,"AUD 135,000",https://www.idp.com/global/Categories/Monash-University/Bachelor-of-Commerce/p/PRG-AU-00173952
29,business,Master of Science in Information Systems - Business Intelligence Systems,University of Colorado - Denver,"USD 41,340",https://www.idp.com/global/Categories/University-of-Colorado---Denver/Master-of-Science-in-Information-Systems-Business-Intelligence-Systems/p/PRG-US-00290114
30,business,Master of Science in Information Systems - Enterprise Technology Managemen...,University of Colorado - Denver,"USD 41,340",https://www.idp.com/global/Categories/University-of-Colorado---Denver/Master-of-Science-in-Information-Systems-Enterprise-Technology-Management/p/PRG-US-00290126
31,business,Master of Science in Information Systems - Enterprise Risk Management,University of Colorado - Denver,"USD 41,340",https://www.idp.com/global/Categories/Business/Human-resource-Management/Master-of-Science-in-Information-Systems-Enterprise-Risk-Management/p/PRG-US-00290125
32,business,Master of Business Management,University of Canterbury,"NZD 45,375",https://www.idp.com/global/Categories/University-of-Canterbury/Master-of-Business-Management/p/PRG-NZ-00338124
33,business,Master of Business Management,University of Canterbury,"NZD 45,375",https://www.idp.com/global/Categories/University-of-Canterbury/Master-of-Business-Management/p/PRG-NZ-00121608
34,business,Ontario College Graduate Certificate in Project Management,Conestoga College,"CAD 13,000",https://www.idp.com/global/Categories/Conestoga-College/Ontario-College-Graduate-Certificate-in-Project-Management/p/PRG-CA-00089649
35,business,Graduate Certificate in Project Management,Fanshawe College,"CAD 14,750",https://www.idp.com/global/Categories/Fanshawe-College/Graduate-Certificate-in-Project-Management/p/PRG-CA-00100819
36,business,Ontario Graduate Certificate in Global Business Management,Humber Institute of Technology & Advanced Learning,"CAD 33,214",https://www.idp.com/global/Categories/Humber-Institute-of-Technology-%26-Advanced-Learning/Ontario-Graduate-Certificate-in-Global-Business-Management/p/PRG-CA-00089961
37,business,Diploma of Commerce,Deakin College,"AUD 30,480",https://www.idp.com/global/Categories/Business/Management-and-Commerce/Diploma-of-Commerce/p/PRG-AU-00061969
38,business,Diploma of Commerce (Jakarta Campus),Deakin College,"AUD 13,500",https://www.idp.com/global/Categories/Deakin-College/Diploma-of-Commerce-Jakarta-Campus/p/PRG-AU-00369387
39,business,Bachelor of Business,Monash University,"AUD 135,000",https://www.idp.com/global/Categories/Monash-University/Bachelor-of-Business/p/PRG-AU-00061947
40,business,Diploma of Commerce,Deakin College,"AUD 30,480",https://www.idp.com/global/Categories/Deakin-College/Diploma-of-Commerce/p/PRG-AU-00327758
41,business,Diploma of Commerce (Jakarta Campus),Deakin College,"AUD 13,500",https://www.idp.com/global/Categories/Deakin-College/Diploma-of-Commerce-Jakarta-Campus/p/PRG-AU-00369388
42,business,Diploma of Business (Business) {MONASH COLLEGE BUSINESS PART 2},Monash College,"AUD 31,490",https://www.idp.com/global/Categories/Monash-College/Diploma-of-Business-Business-MONASH-COLLEGE-BUSINESS-PART-2/p/PRG-AU-00121976
43,business,Graduate Certificate in International Business Management,Fleming College,"CAD 18,685",https://www.idp.com/global/Categories/Fleming-College/Graduate-Certificate-in-International-Business-Management/p/PRG-CA-00100858
44,business,MSc Marketing,University of Nottingham,"GBP 30,000",https://www.idp.com/global/Categories/University-of-Nottingham/MSc-Marketing/p/PRG-UK-00081143
45,business,Graduate Certificate in Global Business Management,Fleming College,"CAD 36,479",https://www.idp.com/global/Categories/Fleming-College/Graduate-Certificate-in-Global-Business-Management/p/PRG-CA-00213437
46,business,Bachelor of Commerce,The Australian National University,"AUD 117,270",https://www.idp.com/global/Categories/The-Australian-National-University/Bachelor-of-Commerce/p/PRG-AU-00064511
47,business,Master of Commerce - Undeclared,The University of Queensland,"AUD 88,544",https://www.idp.com/global/Categories/The-University-of-Queensland/Master-of-Commerce-Undeclared/p/PRG-AU-00273025
48,business,Graduate Certificate in Business Management,Fanshawe College,"CAD 29,500",https://www.idp.com/global/Categories/Fanshawe-College/Graduate-Certificate-in-Business-Management/p/PRG-CA-00315081
