,location,course_link,duration,entry_score,course_qualification,intakes
0,United States,https://www.idp.com/global/Categories/Kent-State-University/Master-of-Technology/p/PRG-US-00008887,3 Semester(s),6.5 IELTS,Masters Degree,"['january', 'june', 'august']"
1,United Kingdom,https://www.idp.com/global/Categories/University-of-Nottingham/Additive-Manufacturing-and-3D-Printing-MSc/p/PRG-UK-00270583,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
2,Australia,https://www.idp.com/global/Categories/UNSW-Global-Pty-Ltd-Foundation-Year/Diploma-in-Engineering-Aerospace-Engineering/p/PRG-AU-00280870,12 Month(s),,Diploma,"['january', 'may', 'august']"
3,Australia,https://www.idp.com/global/Categories/Engineering/Electrical-Engineering/Diploma-in-Engineering-Telecommunications-Engineering/p/PRG-AU-00329685,12 Month(s),,Diploma,"['january', 'may', 'august']"
4,Australia,https://www.idp.com/global/Categories/UNSW-Global-Pty-Ltd-Foundation-Year/Diploma-in-Engineering-Petroleum-Engineering/p/PRG-AU-00329691,12 Month(s),,Diploma,"['january', 'may', 'august']"
5,Australia,https://www.idp.com/global/Categories/UNSW-Global-Pty-Ltd-Foundation-Year/Diploma-in-Engineering-Mechanical-Engineering/p/PRG-AU-00329695,12 Month(s),,Diploma,"['january', 'may', 'august']"
6,Australia,https://www.idp.com/global/Categories/Engineering/Electrical-Engineering/Diploma-in-Engineering-Electrical-Engineering/p/PRG-AU-00329694,12 Month(s),,Diploma,"['january', 'may', 'august']"
7,Australia,https://www.idp.com/global/Categories/UNSW-Global-Pty-Ltd-Foundation-Year/Diploma-in-Engineering-Mechatronic-Engineering/p/PRG-AU-00329701,12 Month(s),,Diploma,"['january', 'may', 'august']"
8,Australia,https://www.idp.com/global/Categories/UNSW-Global-Pty-Ltd-Foundation-Year/Diploma-in-Engineering-Civil-Engineering/p/PRG-AU-00276589,12 Month(s),,Diploma,"['january', 'may', 'august']"
9,Australia,https://www.idp.com/global/Categories/UNSW-Global-Pty-Ltd-Foundation-Year/Diploma-in-Engineering-Mining-Engineering/p/PRG-AU-00329683,12 Month(s),,Diploma,"['january', 'may', 'august']"
10,Australia,https://www.idp.com/global/Categories/Engineering/Materials-and-Mineral-Engineering/Diploma-in-Engineering-Material-Science-and-Engineering/p/PRG-AU-00329682,12 Month(s),,Diploma,"['january', 'may', 'august']"
11,Australia,https://www.idp.com/global/Categories/Engineering/Diploma-in-Engineering-Bioinformatics-Engineering/p/PRG-AU-00329686,12 Month(s),,Diploma,"['january', 'may', 'august']"
12,Australia,https://www.idp.com/global/Categories/Engineering/Mechanical-Engineering/Diploma-in-Engineering-Mechanical-and-Manufacturing-Engineering/p/PRG-AU-00329690,12 Month(s),,Diploma,"['january', 'may', 'august']"
13,Australia,https://www.idp.com/global/Categories/Engineering/Diploma-in-Engineering-Photovoltaics-and-Solar-Energy-Engineering/p/PRG-AU-00329696,12 Month(s),,Diploma,"['january', 'may', 'august']"
14,Australia,https://www.idp.com/global/Categories/Engineering/Environmental-Engineering/Diploma-in-Engineering-Environmental-Engineering/p/PRG-AU-00329700,12 Month(s),,Diploma,"['january', 'may', 'august']"
15,Australia,https://www.idp.com/global/Categories/Engineering/Diploma-in-Engineering-Renewable-Energy-Engineering/p/PRG-AU-00329702,12 Month(s),,Diploma,"['january', 'may', 'august']"
16,Canada,https://www.idp.com/global/Categories/Fanshawe-College/Graduate-Certificate-in-Practical-Elements-of-Mechanical-Engineering/p/PRG-CA-00098065,1 Year(s),6.5 IELTS,Graduate Certificate,"['january', 'may', 'september']"
17,New Zealand,https://www.idp.com/global/Categories/AUT/Master-of-Engineering-Project-Management/p/PRG-NZ-00086858,1 Year(s),6.5 IELTS,Masters Degree (Taught),"['march', 'july']"
18,United States,https://www.idp.com/global/Categories/Engineering/Mechanical-Engineering/Master-of-Science-in-Engineering-Industrial/p/PRG-US-00015587,3 Semester(s),6.5 IELTS,Masters Degree,"['january', 'may', 'july', 'september']"
19,Canada,https://www.idp.com/global/Categories/Conestoga-College/Ontario-College-Graduate-Certificate-in-Process-Quality-Engineering/p/PRG-CA-00116353,1 Year(s),6.5 IELTS,Graduate Certificate,"['january', 'march', 'may', 'september']"
20,Canada,https://www.idp.com/global/Categories/Engineering/Electrical-Engineering/Master-of-Engineering-in-Electrical-and-Computer-Engineering/p/PRG-CA-00092499,1 Year(s),6.5 IELTS,Masters Degree,"['january', 'may', 'september']"
21,United States,https://www.idp.com/global/Categories/Engineering/Mechanical-Engineering/Master-of-Science-in-Mechanical-Engineering/p/PRG-US-00009535,3 Semester(s),6.5 IELTS,Masters Degree,"['january', 'august']"
22,Canada,https://www.idp.com/global/Categories/Concordia-University/Master-of-Engineering-in-Mechanical-Engineering/p/PRG-CA-00090317,4 Semester(s),6.5 IELTS,Masters Degree,"['january', 'september']"
23,Canada,https://www.idp.com/global/Categories/Concordia-University/Master-of-Engineering-in-Environmental-Engineering/p/PRG-CA-00282967,4 Semester(s),6.5 IELTS,Masters Degree,"['january', 'september']"
24,New Zealand,https://www.idp.com/global/Categories/AUT/Postgraduate-Diploma-in-Engineering/p/PRG-NZ-00074989,1 Year(s),6.5 IELTS,Postgraduate Diploma,"['march', 'july']"
25,Canada,https://www.idp.com/global/Categories/Engineering/Mechanical-Engineering/Master-of-Engineering-in-Mechanical-Engineering-Automotive/p/PRG-CA-00103428,1 Year(s),6.5 IELTS,Masters Degree,"['january', 'may', 'september']"
26,Canada,https://www.idp.com/global/Categories/International-College-of-Manitoba-%28Navitas%29-at-University-of-Manitoba/UTP-Stage-II-Engineering/p/PRG-CA-00096924,1 Year(s),,Foundation for Undergraduate,"['january', 'may', 'september']"
27,Australia,https://www.idp.com/global/Categories/The-University-of-New-South-Wales/Bachelor-of-Engineering-Honours-Engineering-Flexible/p/PRG-AU-00327789,4 Year(s),6.5 IELTS,Bachelor Degree with Honours,"['feb', 'may', 'june', 'september']"
28,United Kingdom,https://www.idp.com/global/Categories/University-of-Birmingham/MastersMSc-Electrical-Power-Systems/p/PRG-UK-00111247,1 Year(s),6.0 IELTS,Masters Degree (Taught),['september']
29,Canada,https://www.idp.com/global/Categories/Fraser-International-College-%28FIC%29/UTP-Stage-II-in-Engineering-Science/p/PRG-CA-00075394,1 Year(s),,Foundation for Undergraduate,"['january', 'may', 'september']"
30,United States,https://www.idp.com/global/Categories/Eastern-Michigan-University/Master-of-Science-in-Engineering-Management/p/PRG-US-00182644,4 Semester(s),6.5 IELTS,Masters Degree,"['january', 'may', 'august']"
31,Canada,https://www.idp.com/global/Categories/Concordia-University/Master-of-Engineering-Electrical-and-Computer-Engineering/p/PRG-CA-00100455,4 Semester(s),6.5 IELTS,Masters Degree,"['january', 'september']"
32,New Zealand,https://www.idp.com/global/Categories/AUT/Master-of-Engineering/p/PRG-NZ-00074988,1 Year(s),6.5 IELTS,Masters Degree (Taught),"['march', 'july']"
33,United States,https://www.idp.com/global/Categories/New-Jersey-Institute-of-Technology/Master-of-Science-in-Electrical-Engineering/p/PRG-US-00019483,3 Semester(s),6.5 IELTS,Masters Degree,"['january', 'september']"
34,Australia,https://www.idp.com/global/Categories/Western-Sydney-University/Master-of-Engineering/p/PRG-AU-00064796,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july']"
35,Australia,https://www.idp.com/global/Categories/Western-Sydney-University/Master-of-Engineering-Mechanical/p/PRG-AU-00318025,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july']"
36,Australia,https://www.idp.com/global/Categories/Western-Sydney-University/Master-of-Engineering-Civil-engineering/p/PRG-AU-00334360,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july']"
37,Australia,https://www.idp.com/global/Categories/Western-Sydney-University/Master-of-Engineering-Environmental/p/PRG-AU-00334363,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july']"
38,Australia,https://www.idp.com/global/Categories/Western-Sydney-University/Master-of-Engineering-Electrical-Engineering/p/PRG-AU-00325392,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july']"
39,Australia,https://www.idp.com/global/Categories/Western-Sydney-University/Master-of-Engineering-Mechatronics/p/PRG-AU-00334361,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july']"
40,Australia,https://www.idp.com/global/Categories/Engineering/Electrical-Engineering/Master-of-Engineering-in-Electrical/p/PRG-AU-00118744,3 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july']"
41,Australia,https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Engineering-in-Electrical/p/PRG-AU-00369073,2 Year(s),6.5 IELTS,Masters Degree (Coursework),['july']
42,United States,https://www.idp.com/global/Categories/University-of-Bridgeport/Master-of-Science-in-Technology-Management/p/PRG-US-00009541,4 Semester(s),6.5 IELTS,Masters Degree,"['january', 'august']"
43,Australia,https://www.idp.com/global/Categories/Deakin-University/Master-of-Engineering-Professional-Mechanical-Engineering-Design/p/PRG-AU-00201774,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july', 'november']"
44,United States,https://www.idp.com/global/Categories/Western-Michigan-University/Master-of-Science-in-Engineering-Mechanical/p/PRG-US-00058632,3 Semester(s),6.5 IELTS,Masters Degree,"['january', 'may', 'september']"
45,Australia,https://www.idp.com/global/Categories/The-University-of-New-South-Wales/Master-of-Engineering-Environmental-Engineering/p/PRG-AU-00060093,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'may', 'june', 'september']"
46,Australia,https://www.idp.com/global/Categories/Engineering/Process-engineering/Master-of-Engineering-Renewable-Energy-Engineering/p/PRG-AU-00337198,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'may', 'june', 'september']"
47,Australia,https://www.idp.com/global/Categories/The-University-of-New-South-Wales/Master-of-Engineering-Petroleum-Engineering/p/PRG-AU-00337199,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'may', 'june', 'september']"
48,United States,https://www.idp.com/global/Categories/Engineering/Electrical-Engineering/Master-of-Science-in-Engineering-Electrical-Engineering/p/PRG-US-00015593,3 Semester(s),6.5 IELTS,Masters Degree,"['january', 'september']"
49,United States,https://www.idp.com/global/Categories/Engineering/Mechanical-Engineering/Master-of-Science-in-Industrial-Engineering/p/PRG-US-00019489,3 Semester(s),6.5 IELTS,Masters Degree,"['january', 'september']"
50,Australia,https://www.idp.com/global/Categories/Deakin-University/Master-of-Engineering-Professional-Civil-Engineering/p/PRG-AU-00303585,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july', 'november']"
51,Australia,https://www.idp.com/global/Categories/Deakin-University/Master-of-Engineering-Professional-Engineering-Management/p/PRG-AU-00201766,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july', 'november']"
52,United Kingdom,https://www.idp.com/global/Categories/Study-Group-UK/International-Foundation-Year-in-Science-and-Engineering-The-University-of-Sheffield-International-College-ISC-3-Terms/p/PRG-UK-00208450,9 Month(s),,Foundation for Undergraduate,"['january', 'september']"
53,New Zealand,https://www.idp.com/global/Categories/University-of-Canterbury/Master-of-Engineering-Studies-in-Civil-Engineering/p/PRG-NZ-00196363,1 Year(s),6.5 IELTS,Masters Degree (Taught),"['feb', 'july']"
54,United Kingdom,https://www.idp.com/global/Categories/Engineering/Mechanical-Engineering/MastersMSc-Advanced-Mechanical-Engineering/p/PRG-UK-00114223,1 Year(s),6.0 IELTS,Masters Degree (Taught),['september']
55,United Kingdom,https://www.idp.com/global/Categories/University-of-Birmingham/MastersMSc-Communications-Engineering/p/PRG-UK-00073072,1 Year(s),6.0 IELTS,Masters Degree (Taught),['september']
56,Australia,https://www.idp.com/global/Categories/Macquarie-University/Diploma-of-Engineering/p/PRG-AU-00278552,,,Diploma,"['january', 'april', 'september', 'october']"
