,location,course_link,duration,entry_score,course_qualification,intakes
0,United Kingdom,https://www.idp.com/global/Categories/University-of-Bristol/MSc-Management-CSR-and-Sustainability/p/PRG-UK-00372965,1 Year(s),7.0 IELTS,Masters Degree (Taught),['september']
1,Australia,https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Environment/p/PRG-AU-00108775,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july', 'august']"
2,Australia,https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Environment-Advanced-Standing/p/PRG-AU-00369142,1 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'august']"
3,United Kingdom,https://www.idp.com/global/Categories/University-of-Birmingham/MSc-Air-Pollution-Management-and-Control/p/PRG-UK-00073089,1 Year(s),6.0 IELTS,Masters Degree (Taught),['september']
4,Canada,https://www.idp.com/global/Categories/Cape-Breton-University/Bachelor-of-Engineering-Technology-in-Environmental-Studies/p/PRG-CA-00161820,3 Year(s),6.5 IELTS,Bachelor Degree,"['january', 'may', 'june', 'september']"
5,Canada,https://www.idp.com/global/Categories/Cape-Breton-University/Bachelor-of-Engineering-Technology-in-Environmental-Studies-Post-Degree/p/PRG-CA-00274953,3 Year(s),6.5 IELTS,Bachelor Degree,"['january', 'may', 'june', 'september']"
6,Canada,https://www.idp.com/global/Categories/Canadore-College-of-Applied-Arts-and-Technology/Ontario-College-Graduate-Certificate-in-Environmental-Management/p/PRG-CA-00092071,1 Year(s),6.0 IELTS,Graduate Certificate,['september']
7,New Zealand,https://www.idp.com/global/Categories/Massey-University/Bachelor-of-Science-Ecology-and-Sustainability/p/PRG-NZ-00329355,3 Year(s),6.0 IELTS,Bachelor Degree,"['feb', 'july']"
8,New Zealand,https://www.idp.com/global/Categories/Southern-Institute-of-Technology/Graduate-Diploma-in-Environmental-Management-Level-7-Invercargill/p/PRG-NZ-00165831,1 Year(s),,(Graduate) Diploma level 7,"['feb', 'july']"
9,United Kingdom,https://www.idp.com/global/Categories/University-of-Exeter/MSc-Marine-Environmental-Management/p/PRG-UK-00356476,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
10,Canada,https://www.idp.com/global/Categories/Algonquin-College/Graduate-Certificate-in-Regulatory-Affairs-Sciences-Co-op-and-Non-Co-op-Version/p/PRG-CA-00211099,1 Year(s),6.5 IELTS,Graduate Certificate,"['january', 'september']"
11,Canada,https://www.idp.com/global/Categories/Algonquin-College/Graduate-Certificate-in-Regulatory-Affairs-Sciences-Perth/p/PRG-CA-00341894,1 Year(s),6.5 IELTS,Graduate Certificate,"['may', 'september']"
