,location,course_link,duration,entry_score,course_qualification,intakes
0,United Kingdom,https://www.idp.com/global/Categories/University-of-Birmingham/MSc-Financial-Management/p/PRG-UK-00121404,1 Year(s),7.0 IELTS,Masters Degree (Taught),['september']
1,United Kingdom,https://www.idp.com/global/Categories/University-of-Birmingham/MSc-Financial-Management-Singapore/p/PRG-UK-00371848,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
2,United Kingdom,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/MSc-Investments/p/PRG-UK-00073011,1 Year(s),7.0 IELTS,Masters Degree (Taught),['september']
3,Australia,https://www.idp.com/global/Categories/The-Australian-National-University/Master-of-Finance/p/PRG-AU-00064667,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'july']"
4,Australia,https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Management-in-Accounting-and-Finance/p/PRG-AU-00117937,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july', 'august']"
5,United Kingdom,https://www.idp.com/global/Categories/University-of-Birmingham/MSc-Money-Banking-and-Finance/p/PRG-UK-00104068,1 Year(s),6.5 IELTS,Masters Degree (Taught),"['january', 'feb', 'september']"
6,Australia,https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Management-in-Finance/p/PRG-AU-00060486,1 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july', 'august']"
7,United States,https://www.idp.com/global/Categories/Southern-New-Hampshire-University/Master-of-Professional-Accountancy/p/PRG-US-00332054,1 Year(s),6.0 IELTS,Masters Degree,['may']
8,Australia,https://www.idp.com/global/Categories/Monash-University/Master-of-Banking-and-Finance/p/PRG-AU-00319757,2 Year(s),,Masters Degree (Coursework),"['march', 'july']"
9,United Kingdom,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/MSc-Finance-and-Investment/p/PRG-UK-00081188,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
10,United States,https://www.idp.com/global/Categories/University-of-Colorado---Denver/Master-of-Science-in-Information-Systems-Accounting-and-Information-Systems-Audit-and-Control/p/PRG-US-00290113,3 Semester(s),6.5 IELTS,Masters Degree,"['january', 'june', 'august']"
11,United Kingdom,https://www.idp.com/global/Categories/Lancaster-University/Finance-MSc/p/PRG-UK-00111555,1 Year(s),7.0 IELTS,Masters Degree (Taught),['october']
12,Australia,https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Finance/p/PRG-AU-00060746,1 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july', 'august']"
13,Australia,https://www.idp.com/global/Categories/The-University-of-Queensland/Master-of-Commerce-Applied-Finance/p/PRG-AU-00119192,2 Year(s),,Masters Degree (Coursework),"['feb', 'july']"
14,United Kingdom,https://www.idp.com/global/Categories/University-of-Nottingham/MSc-Banking-and-Finance/p/PRG-UK-00114023,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
15,Canada,https://www.idp.com/global/Categories/Centennial-College-of-Applied-Arts-and-Technology/Graduate-Certificate-in-Financial-Planning/p/PRG-CA-00090632,1 Year(s),6.5 IELTS,Graduate Certificate,"['january', 'may', 'september']"
