,area of study,course_name,university_name,course_fee,course_link
0,finance,MSc Financial Management,University of Birmingham,"GBP 29,000",https://www.idp.com/global/Categories/University-of-Birmingham/MSc-Financial-Management/p/PRG-UK-00121404
1,finance,MSc Financial Management (Singapore),University of Birmingham,"SGD 30,600",https://www.idp.com/global/Categories/University-of-Birmingham/MSc-Financial-Management-Singapore/p/PRG-UK-00371848
2,finance,MSc Investments,University of Birmingham,"GBP 29,000",https://www.idp.com/global/Categories/Finance/Banking-and-Finance/MSc-Investments/p/PRG-UK-00073011
3,finance,Master of Finance,The Australian National University,"AUD 88,940",https://www.idp.com/global/Categories/The-Australian-National-University/Master-of-Finance/p/PRG-AU-00064667
4,finance,Master of Management in Accounting and Finance,The University of Melbourne,"AUD 91,648",https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Management-in-Accounting-and-Finance/p/PRG-AU-00117937
5,finance,"MSc Money, Banking and Finance",University of Birmingham,"GBP 21,960",https://www.idp.com/global/Categories/University-of-Birmingham/MSc-Money-Banking-and-Finance/p/PRG-UK-00104068
6,finance,Master of Management in Finance,The University of Melbourne,"AUD 68,736",https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Management-in-Finance/p/PRG-AU-00060486
7,finance,Master of Professional Accountancy,Southern New Hampshire University,"USD 12,600",https://www.idp.com/global/Categories/Southern-New-Hampshire-University/Master-of-Professional-Accountancy/p/PRG-US-00332054
8,finance,Master of Banking and Finance,Monash University,"AUD 91,600",https://www.idp.com/global/Categories/Monash-University/Master-of-Banking-and-Finance/p/PRG-AU-00319757
9,finance,MSc Finance and Investment,University of Nottingham,"GBP 30,000",https://www.idp.com/global/Categories/Finance/Banking-and-Finance/MSc-Finance-and-Investment/p/PRG-UK-00081188
10,finance,Master of Science in Information Systems - Accounting and Information Syst...,University of Colorado - Denver,"USD 41,340",https://www.idp.com/global/Categories/University-of-Colorado---Denver/Master-of-Science-in-Information-Systems-Accounting-and-Information-Systems-Audit-and-Control/p/PRG-US-00290113
11,finance,Finance MSc,Lancaster University,"GBP 23,000",https://www.idp.com/global/Categories/Lancaster-University/Finance-MSc/p/PRG-UK-00111555
12,finance,Master of Finance,The University of Melbourne,"AUD 72,672",https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Finance/p/PRG-AU-00060746
