,location,course_link,duration,entry_score,course_qualification,intakes
0,Canada,https://www.idp.com/global/Categories/All-Geography/Natural-Resources-and-Conservation/Graduate-Certificate-in-Advanced-Water-Systems-Operation-and-Management-Co-op/p/PRG-CA-00120635,3 Semester(s),6.5 IELTS,Graduate Certificate,"['january', 'september']"
1,New Zealand,https://www.idp.com/global/Categories/University-of-Otago-Language-Centre-and-Foundation-Year/Foundation-Year-Science/p/PRG-NZ-00110030,1 Year(s),,Foundation,"['feb', 'march', 'june', 'october']"
2,Australia,https://www.idp.com/global/Categories/The-University-of-Sydney/Bachelor-of-Science/p/PRG-AU-00060491,3 Year(s),6.5 IELTS,Bachelor Degree,"['feb', 'march', 'august']"
3,Australia,https://www.idp.com/global/Categories/Monash-University/Bachelor-of-Science/p/PRG-AU-00116950,3 Year(s),6.5 IELTS,Bachelor Degree,"['feb', 'march', 'june', 'july']"
4,New Zealand,https://www.idp.com/global/Categories/All-Geography/Physical-Sciences/Postgraduate-Diploma-in-Science/p/PRG-NZ-00074932,1 Year(s),6.5 IELTS,Postgraduate Diploma,"['march', 'july']"
5,Australia,https://www.idp.com/global/Categories/Western-Sydney-University%2C-The-College/University-Foundation-Studies-Science-Stream-Standard/p/PRG-AU-00065891,8 Month(s),,Foundation,"['march', 'july', 'october']"
6,New Zealand,https://www.idp.com/global/Categories/University-of-Canterbury/Postgraduate-Diploma-in-Science/p/PRG-NZ-00074113,1 Year(s),6.5 IELTS,Postgraduate Diploma,"['feb', 'july']"
7,Canada,https://www.idp.com/global/Categories/Douglas-College/Associate-of-Science/p/PRG-CA-00199237,4 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'may', 'september']"
8,Australia,https://www.idp.com/global/Categories/All-Geography/Physical-Sciences/Master-of-Sustainability-Environmental-Management/p/PRG-AU-00276066,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july']"
9,Australia,https://www.idp.com/global/Categories/All-Geography/Physical-Sciences/Master-of-Sustainability-Sustainable-Regional-Development/p/PRG-AU-00276065,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july']"
10,New Zealand,https://www.idp.com/global/Categories/All-Geography/Geology/Bachelor-of-Science-Geology/p/PRG-NZ-00103196,3 Year(s),6.0 IELTS,Bachelor Degree,"['feb', 'july']"
11,United States,https://www.idp.com/global/Categories/North-Seattle-College/Associate-of-Science-in-Engineering-General/p/PRG-US-00214327,4 Semester(s),,Associate Degree,"['january', 'june', 'september']"
12,New Zealand,https://www.idp.com/global/Categories/All-Geography/Physical-Sciences/Master-of-Science-Research-Environmental-Science/p/PRG-NZ-00302828,2 Year(s),6.5 IELTS,Masters Degree (Research),"['march', 'july']"
13,New Zealand,https://www.idp.com/global/Categories/All-Geography/Physical-Sciences/Master-of-Science-Research-Geospatial-Science/p/PRG-NZ-00302831,2 Year(s),6.5 IELTS,Masters Degree (Research),"['march', 'july']"
14,New Zealand,https://www.idp.com/global/Categories/All-Geography/Earth-Sciences/Master-of-Meteorology/p/PRG-NZ-00300608,1 Year(s),6.5 IELTS,Masters Degree (Taught),['july']
15,New Zealand,https://www.idp.com/global/Categories/All-Geography/Physical-Sciences/Master-of-Science-Research-Applied-Conservation/p/PRG-NZ-00302824,2 Year(s),6.5 IELTS,Masters Degree (Research),"['march', 'july']"
16,New Zealand,https://www.idp.com/global/Categories/The-University-of-Waikato/Bachelor-of-Science/p/PRG-NZ-00073806,3 Year(s),6.0 IELTS,Bachelor Degree,"['march', 'july']"
17,New Zealand,https://www.idp.com/global/Categories/AUT/Master-of-Science-Research/p/PRG-NZ-00074930,2 Year(s),6.5 IELTS,Masters Degree (Research),"['march', 'july']"
18,New Zealand,https://www.idp.com/global/Categories/All-Geography/Physical-Sciences/Bachelor-of-Science-Environmental-Science/p/PRG-NZ-00219687,3 Year(s),6.0 IELTS,Bachelor Degree,"['january', 'feb', 'march', 'july']"
19,New Zealand,https://www.idp.com/global/Categories/UC-International-College-%28UCIC%29/University-Transfer-Programme-Science/p/PRG-NZ-00158971,1 Year(s),,Foundation,"['feb', 'june', 'october']"
20,New Zealand,https://www.idp.com/global/Categories/All-Geography/Physical-Sciences/Bachelor-of-Science-BSc/p/PRG-NZ-00074901,3 Year(s),6.0 IELTS,Bachelor Degree,"['feb', 'july']"
21,Australia,https://www.idp.com/global/Categories/The-University-of-New-South-Wales/Bachelor-of-Science/p/PRG-AU-00064397,3 Year(s),6.5 IELTS,Bachelor Degree,"['feb', 'may', 'june', 'september']"
22,Canada,https://www.idp.com/global/Categories/McGill-University/Master-of-Science-in-Bioresource-Engineering-Integrated-Water-Resource-Management-Non-Thesis/p/PRG-CA-00149675,1 Year(s),6.5 IELTS,Masters Degree,['september']
23,United States,https://www.idp.com/global/Categories/Troy-University/Master-of-Social-Science-Geography-Non-Thesis/p/PRG-US-00360226,4 Semester(s),6.0 IELTS,Masters Degree,"['january', 'august']"
24,Australia,https://www.idp.com/global/Categories/All-Geography/Earth-Sciences/Master-of-Science-Petroleum-Geoscience/p/PRG-AU-00061586,1 Year(s),6.5 IELTS,Masters Degree (Coursework),['march']
25,New Zealand,https://www.idp.com/global/Categories/AUT/Doctor-of-Philosophy-Science/p/PRG-NZ-00074937,3 Year(s),6.5 IELTS,Ph.D.,['december']
26,New Zealand,https://www.idp.com/global/Categories/Massey-University/Graduate-Diploma-in-Science-and-Technology/p/PRG-NZ-00075015,1 Year(s),,(Graduate) Diploma level 7,"['feb', 'july']"
27,New Zealand,https://www.idp.com/global/Categories/Massey-University/Bachelor-of-Science-Environmental-Science/p/PRG-NZ-00117951,3 Year(s),6.0 IELTS,Bachelor Degree,"['feb', 'july']"
28,New Zealand,https://www.idp.com/global/Categories/University-of-Canterbury/Master-of-Science-in-Geology/p/PRG-NZ-00195395,1 Year(s),6.5 IELTS,Masters Degree (Taught),"['feb', 'july']"
