,area of study,course_name,university_name,course_fee,course_link
0,geography,Graduate Certificate in Advanced Water Systems Operation and Management Co...,Fleming College,"CAD 29,367",https://www.idp.com/global/Categories/All-Geography/Natural-Resources-and-Conservation/Graduate-Certificate-in-Advanced-Water-Systems-Operation-and-Management-Co-op/p/PRG-CA-00120635
1,geography,Foundation Year (Science),University of Otago Language Centre and Foundation Year,"NZD 26,865",https://www.idp.com/global/Categories/University-of-Otago-Language-Centre-and-Foundation-Year/Foundation-Year-Science/p/PRG-NZ-00110030
2,geography,Bachelor of Science,The University of Sydney,"AUD 150,000",https://www.idp.com/global/Categories/The-University-of-Sydney/Bachelor-of-Science/p/PRG-AU-00060491
3,geography,Bachelor of Science,Monash University,"AUD 130,500",https://www.idp.com/global/Categories/Monash-University/Bachelor-of-Science/p/PRG-AU-00116950
4,geography,Postgraduate Diploma in Science,AUT,"NZD 38,002",https://www.idp.com/global/Categories/All-Geography/Physical-Sciences/Postgraduate-Diploma-in-Science/p/PRG-NZ-00074932
5,geography,University Foundation Studies Science Stream (Standard),"Western Sydney University, The College","AUD 21,100",https://www.idp.com/global/Categories/Western-Sydney-University%2C-The-College/University-Foundation-Studies-Science-Stream-Standard/p/PRG-AU-00065891
6,geography,Postgraduate Diploma in Science,University of Canterbury,"NZD 39,500",https://www.idp.com/global/Categories/University-of-Canterbury/Postgraduate-Diploma-in-Science/p/PRG-NZ-00074113
7,geography,Associate of Science,Douglas College,"CAD 36,000",https://www.idp.com/global/Categories/Douglas-College/Associate-of-Science/p/PRG-CA-00199237
8,geography,Master of Sustainability - Environmental Management,Deakin University,"AUD 75,200",https://www.idp.com/global/Categories/All-Geography/Physical-Sciences/Master-of-Sustainability-Environmental-Management/p/PRG-AU-00276066
9,geography,Master of Sustainability - Sustainable Regional Development,Deakin University,"AUD 75,200",https://www.idp.com/global/Categories/All-Geography/Physical-Sciences/Master-of-Sustainability-Sustainable-Regional-Development/p/PRG-AU-00276065
10,geography,Bachelor of Science - Geology,The University of Otago,"NZD 100,095",https://www.idp.com/global/Categories/All-Geography/Geology/Bachelor-of-Science-Geology/p/PRG-NZ-00103196
11,geography,Associate of Science in Engineering (General),North Seattle College,"USD 19,373",https://www.idp.com/global/Categories/North-Seattle-College/Associate-of-Science-in-Engineering-General/p/PRG-US-00214327
12,geography,Master of Science (Research) - Environmental Science,AUT,"NZD 76,004",https://www.idp.com/global/Categories/All-Geography/Physical-Sciences/Master-of-Science-Research-Environmental-Science/p/PRG-NZ-00302828
13,geography,Master of Science (Research) - Geospatial Science,AUT,"NZD 76,004",https://www.idp.com/global/Categories/All-Geography/Physical-Sciences/Master-of-Science-Research-Geospatial-Science/p/PRG-NZ-00302831
14,geography,Master of Meteorology,Victoria University of Wellington,"NZD 35,237",https://www.idp.com/global/Categories/All-Geography/Earth-Sciences/Master-of-Meteorology/p/PRG-NZ-00300608
15,geography,Master of Science (Research) - Applied Conservation,AUT,"NZD 76,004",https://www.idp.com/global/Categories/All-Geography/Physical-Sciences/Master-of-Science-Research-Applied-Conservation/p/PRG-NZ-00302824
16,geography,Bachelor of Science,The University of Waikato,"NZD 101,205",https://www.idp.com/global/Categories/The-University-of-Waikato/Bachelor-of-Science/p/PRG-NZ-00073806
17,geography,Master of Science (Research),AUT,"NZD 76,004",https://www.idp.com/global/Categories/AUT/Master-of-Science-Research/p/PRG-NZ-00074930
18,geography,Bachelor of Science - Environmental Science,The University of Auckland,"NZD 113,685",https://www.idp.com/global/Categories/All-Geography/Physical-Sciences/Bachelor-of-Science-Environmental-Science/p/PRG-NZ-00219687
19,geography,University Transfer Programme: Science,UC International College (UCIC),"NZD 30,900",https://www.idp.com/global/Categories/UC-International-College-%28UCIC%29/University-Transfer-Programme-Science/p/PRG-NZ-00158971
20,geography,Bachelor of Science (BSc),Victoria University of Wellington,"NZD 95,134",https://www.idp.com/global/Categories/All-Geography/Physical-Sciences/Bachelor-of-Science-BSc/p/PRG-NZ-00074901
21,geography,Bachelor of Science,The University of New South Wales,"AUD 143,280",https://www.idp.com/global/Categories/The-University-of-New-South-Wales/Bachelor-of-Science/p/PRG-AU-00064397
22,geography,Master of Science in Bioresource Engineering - Integrated Water Resource M...,McGill University,"CAD 24,500",https://www.idp.com/global/Categories/McGill-University/Master-of-Science-in-Bioresource-Engineering-Integrated-Water-Resource-Management-Non-Thesis/p/PRG-CA-00149675
23,geography,Master of Social Science - Geography (Non-Thesis),Troy University,"USD 30,600",https://www.idp.com/global/Categories/Troy-University/Master-of-Social-Science-Geography-Non-Thesis/p/PRG-US-00360226
24,geography,Master of Science (Petroleum Geoscience),The University of Adelaide,"AUD 44,000",https://www.idp.com/global/Categories/All-Geography/Earth-Sciences/Master-of-Science-Petroleum-Geoscience/p/PRG-AU-00061586
25,geography,Doctor of Philosophy (Science),AUT,"NZD 20,883",https://www.idp.com/global/Categories/AUT/Doctor-of-Philosophy-Science/p/PRG-NZ-00074937
26,geography,Graduate Diploma in Science and Technology,Massey University,"NZD 36,390",https://www.idp.com/global/Categories/Massey-University/Graduate-Diploma-in-Science-and-Technology/p/PRG-NZ-00075015
27,geography,Bachelor of Science - Environmental Science,Massey University,"NZD 101,310",https://www.idp.com/global/Categories/Massey-University/Bachelor-of-Science-Environmental-Science/p/PRG-NZ-00117951
28,geography,Master of Science in Geology,University of Canterbury,"NZD 39,500",https://www.idp.com/global/Categories/University-of-Canterbury/Master-of-Science-in-Geology/p/PRG-NZ-00195395
29,geography,New Zealand Certificate in Applied Science (Level 3),Waikato Institute of Technology,"NZD 11,725",https://www.idp.com/global/Categories/Waikato-Institute-of-Technology/New-Zealand-Certificate-in-Applied-Science-Level-3/p/PRG-NZ-00306315
30,geography,Graduate Diploma in Science,Victoria University of Wellington,"NZD 35,237",https://www.idp.com/global/Categories/All-Geography/Physical-Sciences/Graduate-Diploma-in-Science/p/PRG-NZ-00074849
31,geography,Master of Science,University of Canterbury,"NZD 39,500",https://www.idp.com/global/Categories/All-Geography/Physical-Sciences/Master-of-Science/p/PRG-NZ-00074115
32,geography,Professional Master of Engineering Geology,University of Canterbury,"NZD 54,750",https://www.idp.com/global/Categories/All-Geography/Geology/Professional-Master-of-Engineering-Geology/p/PRG-NZ-00195378
33,geography,New Zealand Certificate in Applied Science (Level 4),Waikato Institute of Technology,"NZD 11,535",https://www.idp.com/global/Categories/All-Geography/Physical-Sciences/New-Zealand-Certificate-in-Applied-Science-Level-4/p/PRG-NZ-00306316
34,geography,Postgraduate Diploma in Science,Victoria University of Wellington,"NZD 35,237",https://www.idp.com/global/Categories/All-Geography/Physical-Sciences/Postgraduate-Diploma-in-Science/p/PRG-NZ-00074847
35,geography,Diploma of Science (Life Sciences) (Standard),UTS College,"AUD 33,000",https://www.idp.com/global/Categories/UTS-College/Diploma-of-Science-Life-Sciences-Standard/p/PRG-AU-00059931
36,geography,Master of Environmental Science,University of South Australia,"AUD 73,200",https://www.idp.com/global/Categories/University-of-South-Australia/Master-of-Environmental-Science/p/PRG-AU-00108524
37,geography,Master of Engineering in Civil Engineering - Hydrotechnical Engineering,University of British Columbia,"CAD 31,585",https://www.idp.com/global/Categories/All-Geography/Natural-Resources-and-Conservation/Master-of-Engineering-in-Civil-Engineering-Hydrotechnical-Engineering/p/PRG-CA-00285331
38,geography,Bachelor of Science,The University of Adelaide,"AUD 124,500",https://www.idp.com/global/Categories/The-University-of-Adelaide/Bachelor-of-Science/p/PRG-AU-00061653
39,geography,Master of Applied Science (Research),University of Canberra,"AUD 71,000",https://www.idp.com/global/Categories/University-of-Canberra/Master-of-Applied-Science-Research/p/PRG-AU-00296231
40,geography,Master of Mineral Resources - Exploration Geology,The University of Queensland,"AUD 61,560",https://www.idp.com/global/Categories/All-Geography/Geology/Master-of-Mineral-Resources-Exploration-Geology/p/PRG-AU-00272621
41,geography,Master of Environmental Science,The University of Sydney,"AUD 76,500",https://www.idp.com/global/Categories/The-University-of-Sydney/Master-of-Environmental-Science/p/PRG-AU-00159405
42,geography,Master of Science in Civil Engineering Plan A (thesis) - Groundwater Envir...,Colorado State University,"USD 46,287",https://www.idp.com/global/Categories/Colorado-State-University/Master-of-Science-in-Civil-Engineering-Plan-A-thesis-Groundwater-Environmental-Hydrogeology/p/PRG-US-00279672
43,geography,Master of Science in Civil Engineering Plan B (non-thesis) - Geoengineerin...,Colorado State University,"USD 61,716",https://www.idp.com/global/Categories/Colorado-State-University/Master-of-Science-in-Civil-Engineering-Plan-B-non-thesis-Geoengineering/p/PRG-US-00279683
44,geography,Master of Science in Civil Engineering Plan B (non-thesis) - Hydrologic Sc...,Colorado State University,"USD 61,716",https://www.idp.com/global/Categories/Colorado-State-University/Master-of-Science-in-Civil-Engineering-Plan-B-non-thesis-Hydrologic-Science-and-Engineering/p/PRG-US-00279689
45,geography,Associate of Science in Integrated Studies (Option 1),North Seattle College,"USD 19,373",https://www.idp.com/global/Categories/All-Geography/Physical-Sciences/Associate-of-Science-in-Integrated-Studies-Option-1/p/PRG-US-00326602
46,geography,Associate of Science in Integrated Studies (Option 2),North Seattle College,"USD 19,373",https://www.idp.com/global/Categories/All-Geography/Physical-Sciences/Associate-of-Science-in-Integrated-Studies-Option-2/p/PRG-US-00326603
47,geography,Graduate Certificate in Energy Management (Non Co-op),Algonquin College,"CAD 15,189",https://www.idp.com/global/Categories/Algonquin-College/Graduate-Certificate-in-Energy-Management-Non-Co-op/p/PRG-CA-00341525
48,geography,Master of Science in Civil Engineering Plan A (thesis) - Geoengineering,Colorado State University,"USD 46,287",https://www.idp.com/global/Categories/All-Geography/Geology/Master-of-Science-in-Civil-Engineering-Plan-A-thesis-Geoengineering/p/PRG-US-00279671
49,geography,Master of Science in Civil Engineering Plan A (thesis) - Hydrologic Scienc...,Colorado State University,"USD 46,287",https://www.idp.com/global/Categories/Colorado-State-University/Master-of-Science-in-Civil-Engineering-Plan-A-thesis-Hydrologic-Science-and-Engineering/p/PRG-US-00279674
50,geography,Graduate Certificate in Energy Management (Co-op),Algonquin College,"CAD 15,562",https://www.idp.com/global/Categories/Algonquin-College/Graduate-Certificate-in-Energy-Management-Co-op/p/PRG-CA-00229350
51,geography,MSc Public and Environmental Health Sciences,University of Birmingham,"GBP 24,480",https://www.idp.com/global/Categories/University-of-Birmingham/MSc-Public-and-Environmental-Health-Sciences/p/PRG-UK-00072968
52,geography,Master of Social Research,The Australian National University,"AUD 88,940",https://www.idp.com/global/Categories/The-Australian-National-University/Master-of-Social-Research/p/PRG-AU-00120280
53,geography,Master of Environmental Science,The Australian National University,"AUD 93,820",https://www.idp.com/global/Categories/The-Australian-National-University/Master-of-Environmental-Science/p/PRG-AU-00120215
54,geography,Master of Science [Extension],University of Technology Sydney,"AUD 83,808",https://www.idp.com/global/Categories/University-of-Technology-Sydney/Master-of-Science-Extension/p/PRG-AU-00109876
55,geography,Doctor of Philosophy in Science,The University of Melbourne,"AUD 132,384",https://www.idp.com/global/Categories/All-Geography/Physical-Sciences/Doctor-of-Philosophy-in-Science/p/PRG-AU-00064842
56,geography,Master of Geoscience,The University of Western Australia,"AUD 83,400",https://www.idp.com/global/Categories/The-University-of-Western-Australia/Master-of-Geoscience/p/PRG-AU-00075399
57,geography,MSc Applied Meteorology and Climatology,University of Birmingham,"GBP 24,480",https://www.idp.com/global/Categories/All-Geography/Earth-Sciences/MSc-Applied-Meteorology-and-Climatology/p/PRG-UK-00073085
58,geography,Diploma of Science,Deakin College,"AUD 33,460",https://www.idp.com/global/Categories/Deakin-College/Diploma-of-Science/p/PRG-AU-00060987
59,geography,Diploma of Science,Deakin College,"AUD 33,460",https://www.idp.com/global/Categories/All-Geography/Physical-Sciences/Diploma-of-Science/p/PRG-AU-00338979
60,geography,Doctor of Philosophy - Sciences,The University of Southern Queensland,"AUD 105,840",https://www.idp.com/global/Categories/The-University-of-Southern-Queensland/Doctor-of-Philosophy-Sciences/p/PRG-AU-00289374
61,geography,University Foundation Studies Science Stream Extended,"Western Sydney University, The College","AUD 31,640",https://www.idp.com/global/Categories/Western-Sydney-University%2C-The-College/University-Foundation-Studies-Science-Stream-Extended/p/PRG-AU-00060333
62,geography,Master of Marine Science and Management,The University of Sydney,"AUD 76,500",https://www.idp.com/global/Categories/The-University-of-Sydney/Master-of-Marine-Science-and-Management/p/PRG-AU-00075152
63,geography,MSc Hydrogeology,University of Birmingham,"GBP 24,480",https://www.idp.com/global/Categories/All-Geography/Geology/MSc-Hydrogeology/p/PRG-UK-00073031
64,geography,Master of Science - Marine Biology,James Cook University,"AUD 58,680",https://www.idp.com/global/Categories/James-Cook-University/Master-of-Science-Marine-Biology/p/PRG-AU-00177829
65,geography,Master of Philosophy - Earth Sciences,The University of Waikato,"NZD 39,960",https://www.idp.com/global/Categories/All-Geography/Earth-Sciences/Master-of-Philosophy-Earth-Sciences/p/PRG-NZ-00267494
