,area of study,course_name,university_name,course_fee,course_link
0,history,Master of Social Science - History (Non-Thesis),Troy University,"USD 30,600",https://www.idp.com/global/Categories/Troy-University/Master-of-Social-Science-History-Non-Thesis/p/PRG-US-00360224
1,history,Master of Social Science - History (Thesis),Troy University,"USD 30,600",https://www.idp.com/global/Categories/Troy-University/Master-of-Social-Science-History-Thesis/p/PRG-US-00360223
2,history,MSc Higher Archaeological Practice,University of Southampton,"GBP 18,850",https://www.idp.com/global/Categories/University-of-Southampton/MSc-Higher-Archaeological-Practice/p/PRG-UK-00359574
3,history,MSc Archaeology Bioarchaeology,University of Southampton,"GBP 18,811",https://www.idp.com/global/Categories/University-of-Southampton/MSc-Archaeology-Bioarchaeology/p/PRG-UK-00359572
4,history,MSc Archaeology Palaeoanthropology,University of Southampton,"GBP 18,812",https://www.idp.com/global/Categories/University-of-Southampton/MSc-Archaeology-Palaeoanthropology/p/PRG-UK-00359578
5,history,Bachelor of Arts - History,The University of Auckland,"NZD 96,840",https://www.idp.com/global/Categories/The-University-of-Auckland/Bachelor-of-Arts-History/p/PRG-NZ-00219963
6,history,Bachelor of Arts / Bachelor of Laws (Honours) Conjoint - Classical Studies...,The University of Auckland,"NZD 227,346",https://www.idp.com/global/Categories/History/Bachelor-of-Arts-Bachelor-of-Laws-Honours-Conjoint-Classical-Studies-and-Ancient-History/p/PRG-NZ-00343681
7,history,Bachelor of Arts / Bachelor of Laws (Honours) Conjoint - History,The University of Auckland,"NZD 227,346",https://www.idp.com/global/Categories/History/Bachelor-of-Arts-Bachelor-of-Laws-Honours-Conjoint-History/p/PRG-NZ-00343688
8,history,Master of Science in Business Management [Thesis],Lakehead University,"CAD 56,000",https://www.idp.com/global/Categories/Lakehead-University/Master-of-Science-in-Business-Management-Thesis/p/PRG-CA-00351418
9,history,Doctor of Philosophy - History,Victoria University of Wellington,"NZD 22,320",https://www.idp.com/global/Categories/Victoria-University-of-Wellington/Doctor-of-Philosophy-History/p/PRG-NZ-00200285
10,history,Bachelor of Arts - History,The University of Otago,"NZD 79,092",https://www.idp.com/global/Categories/The-University-of-Otago/Bachelor-of-Arts-History/p/PRG-NZ-00103059
11,history,Bachelor of Arts / Bachelor of Laws (Honours) Conjoint - Art History,The University of Auckland,"NZD 227,346",https://www.idp.com/global/Categories/History/Bachelor-of-Arts-Bachelor-of-Laws-Honours-Conjoint-Art-History/p/PRG-NZ-00343590
12,history,Master of Science in Archaeological Science [Thesis],Lakehead University,"CAD 46,000",https://www.idp.com/global/Categories/Lakehead-University/Master-of-Science-in-Archaeological-Science-Thesis/p/PRG-CA-00351416
13,history,Master of Science in Business Management [Project],Lakehead University,"CAD 56,000",https://www.idp.com/global/Categories/Lakehead-University/Master-of-Science-in-Business-Management-Project/p/PRG-CA-00351419
14,history,Bachelor of Arts in International Studies - History,University of California - San Diego,"USD 177,732",https://www.idp.com/global/Categories/University-of-California---San-Diego/Bachelor-of-Arts-in-International-Studies-History/p/PRG-US-00277818
15,history,Master of Science in Historic Preservation,Eastern Michigan University,"USD 52,164",https://www.idp.com/global/Categories/Eastern-Michigan-University/Master-of-Science-in-Historic-Preservation/p/PRG-US-00182707
16,history,Master of Arts in Global History,Fordham University,"USD 55,656",https://www.idp.com/global/Categories/Fordham-University/Master-of-Arts-in-Global-History/p/PRG-US-00290201
17,history,Bachelor of Arts in Art - Art History,California State University - Northridge,"USD 75,568",https://www.idp.com/global/Categories/History/Bachelor-of-Arts-in-Art-Art-History/p/PRG-US-00315532
18,history,MA History of Art (with optional pathway in British Art),University of Birmingham,"GBP 19,440",https://www.idp.com/global/Categories/University-of-Birmingham/MA-History-of-Art-with-optional-pathway-in-British-Art/p/PRG-UK-00073084
19,history,MA World History and Cultures,King's College London,"GBP 23,460",https://www.idp.com/global/Categories/King%27s-College-London/MA-World-History-and-Cultures/p/PRG-UK-00102504
20,history,Master of History,The Australian National University,"AUD 88,940",https://www.idp.com/global/Categories/The-Australian-National-University/Master-of-History/p/PRG-AU-00120290
21,history,MA Politics and Contemporary History,King's College London,"GBP 23,460",https://www.idp.com/global/Categories/King%27s-College-London/MA-Politics-and-Contemporary-History/p/PRG-UK-00102510
22,history,BA (Hons) History of Art and Heritage Management (2-year degree),University of Buckingham,"GBP 40,320",https://www.idp.com/global/Categories/University-of-Buckingham/BA-Hons-History-of-Art-and-Heritage-Management-2-year-degree/p/PRG-UK-00106066
23,history,MA (by Dissertation) History,University of Essex,"GBP 15,460",https://www.idp.com/global/Categories/History/MA-by-Dissertation-History/p/PRG-UK-00341921
24,history,MA (by Dissertation) Art History and Theory,University of Essex,"GBP 30,920",https://www.idp.com/global/Categories/History/MA-by-Dissertation-Art-History-and-Theory/p/PRG-UK-00341928
25,history,Doctor of Philosophy (PhD) in History and Archaeology,Flinders University,"AUD 85,500",https://www.idp.com/global/Categories/Flinders-University/Doctor-of-Philosophy-PhD-in-History-and-Archaeology/p/PRG-AU-00361833
26,history,Bachelor of Arts in History,La Trobe University,"AUD 94,200",https://www.idp.com/global/Categories/La-Trobe-University/Bachelor-of-Arts-in-History/p/PRG-AU-00330938
27,history,Bachelor of Science - Archaeological Science,The University of Queensland,"AUD 134,208",https://www.idp.com/global/Categories/The-University-of-Queensland/Bachelor-of-Science-Archaeological-Science/p/PRG-AU-00158701
28,history,MA in Cultural Archaeology,University of Birmingham,"GBP 19,170",https://www.idp.com/global/Categories/History/Archaeology/MA-in-Cultural-Archaeology/p/PRG-UK-00104201
29,history,"MSc - History of Art, Theory and Display",University of Edinburgh,"GBP 23,950",https://www.idp.com/global/Categories/University-of-Edinburgh/MSc-History-of-Art-Theory-and-Display/p/PRG-UK-00084038
30,history,"MSc - History of Art, Theory and Display",University of Edinburgh,"GBP 23,950",https://www.idp.com/global/Categories/University-of-Edinburgh/MSc-History-of-Art-Theory-and-Display/p/PRG-UK-00084038
31,history,"Heritage Studies MA, PGDip",Newcastle University,"GBP 18,600",https://www.idp.com/global/Categories/Newcastle-University/Heritage-Studies-MA-PGDip/p/PRG-UK-00167719
32,history,Bachelor of Arts in History,The University of Sydney,"AUD 129,000",https://www.idp.com/global/Categories/The-University-of-Sydney/Bachelor-of-Arts-in-History/p/PRG-AU-00194111
33,history,Bachelor of Arts in History [General],University of Waterloo,"CAD 163,600",https://www.idp.com/global/Categories/University-of-Waterloo/Bachelor-of-Arts-in-History-General/p/PRG-CA-00067084
34,history,Bachelor of Arts in History,Trinity Western University,"CAD 89,040",https://www.idp.com/global/Categories/Trinity-Western-University/Bachelor-of-Arts-in-History/p/PRG-CA-00090218
35,history,Bachelor of Arts in History,University of Victoria,"CAD 103,440",https://www.idp.com/global/Categories/University-of-Victoria/Bachelor-of-Arts-in-History/p/PRG-CA-00092960
36,history,Master of Arts in Art History / Master of Business Administration,York University,"CAD 56,475",https://www.idp.com/global/Categories/York-University/Master-of-Arts-in-Art-History-Master-of-Business-Administration/p/PRG-CA-00097892
37,history,MSc - History,University of Edinburgh,"GBP 22,850",https://www.idp.com/global/Categories/University-of-Edinburgh/MSc-History/p/PRG-UK-00101020
