,location,course_link,duration,entry_score,course_qualification,intakes
0,New Zealand,https://www.idp.com/global/Categories/Toi-Ohomai-Institute-of-Technology/Postgraduate-Diploma-in-Management-Hospitality/p/PRG-NZ-00116580,1 Year(s),6.5 IELTS,Postgraduate Diploma,"['feb', 'july', 'november']"
1,New Zealand,https://www.idp.com/global/Categories/Toi-Ohomai-Institute-of-Technology/Master-of-Teaching-Early-Childhood-Education/p/PRG-NZ-00354406,1 Year(s),6.5 IELTS,Postgraduate Diploma,"['feb', 'july']"
2,Australia,https://www.idp.com/global/Categories/The-University-of-Queensland/Master-of-Tourism-Hotel-and-Event-Management-Event-Management/p/PRG-AU-00119024,2 Year(s),,Masters Degree (Coursework),"['feb', 'july']"
3,New Zealand,https://www.idp.com/global/Categories/Southern-Institute-of-Technology/Graduate-Diploma-in-Hotel-Management-Level-7-Queenstown/p/PRG-NZ-00206615,1 Year(s),,(Graduate) Diploma level 7,"['january', 'march', 'may', 'august', 'october']"
4,Australia,https://www.idp.com/global/Categories/Blue-Mountains-International-Hotel-Management-School/Master-of-International-Hotel-Management/p/PRG-AU-00097123,2 Year(s),6.0 IELTS,Masters Degree (Coursework),"['january', 'april', 'july', 'september']"
5,Australia,https://www.idp.com/global/Categories/Blue-Mountains-International-Hotel-Management-School/Bachelor-of-Business-International-Hotel-and-Resort-Management/p/PRG-AU-00060822,2 Year(s),6.0 IELTS,Bachelor Degree,"['january', 'april', 'july', 'september']"
6,New Zealand,https://www.idp.com/global/Categories/Aspire2-International-Hospitality-and-Healthcare/New-Zealand-Diploma-in-Hospitality-Management-Level-5/p/PRG-NZ-00270172,1 Year(s),,Diploma level 5,"['january', 'feb', 'march', 'may', 'june', 'august', 'september', 'november', 'december']"
7,New Zealand,https://www.idp.com/global/Categories/Hospitality-and-Tourism/Food-And-Hospitality/New-Zealand-Diploma-in-Hospitality-Management-Level-6/p/PRG-NZ-00270174,1 Year(s),,Diploma level 6,"['january', 'feb', 'march', 'may', 'june', 'august', 'september', 'november', 'december']"
8,Canada,https://www.idp.com/global/Categories/Humber-Institute-of-Technology-%26-Advanced-Learning/Ontario-Graduate-Certificate-in-Advanced-Chocolate-and-Confectionery-Artistry/p/PRG-CA-00278426,2 Semester(s),6.5 IELTS,Graduate Certificate,['september']
9,Australia,https://www.idp.com/global/Categories/Hospitality-and-Tourism/Food-And-Hospitality/Bachelor-of-Tourism-and-Hospitality-Management-Packaged-with-Advanced-Diploma-of-Hospitality-Management-Melbourne/p/PRG-AU-00329743,4 Year(s),6.0 IELTS,Bachelor Degree,"['feb', 'july', 'august']"
10,Australia,https://www.idp.com/global/Categories/William-Angliss-Institute-of-TAFE/Bachelor-of-Tourism-and-Hospitality-Management-Melbourne/p/PRG-AU-00066196,4 Year(s),6.0 IELTS,Bachelor Degree,"['feb', 'august']"
11,Australia,https://www.idp.com/global/Categories/William-Angliss-Institute-of-TAFE/Bachelor-of-Tourism-and-Hospitality-Management-Packaged-with-Diploma-of-Travel-and-Tourism-Management-Melbourne/p/PRG-AU-00329742,4 Year(s),6.0 IELTS,Bachelor Degree,"['feb', 'july', 'august']"
12,Australia,https://www.idp.com/global/Categories/Hospitality-and-Tourism/Food-And-Hospitality/Bachelor-of-Tourism-and-Hospitality-Management-Packaged-with-Advanced-Diploma-of-Travel-and-Tourism-Management-Melbourne/p/PRG-AU-00329734,4 Year(s),6.0 IELTS,Bachelor Degree,"['feb', 'july', 'august']"
13,New Zealand,https://www.idp.com/global/Categories/AUT/Master-of-International-Tourism-Management/p/PRG-NZ-00074947,1 Year(s),6.5 IELTS,Masters Degree (Taught),"['march', 'july']"
14,Australia,https://www.idp.com/global/Categories/Griffith-University/Bachelor-of-International-Tourism-and-Hotel-Management/p/PRG-AU-00114335,3 Year(s),6.5 IELTS,Bachelor Degree,"['feb', 'july', 'october', 'november']"
15,New Zealand,https://www.idp.com/global/Categories/Hospitality-and-Tourism/Food-And-Hospitality/New-Zealand-Certificate-in-Cookery-Level-4/p/PRG-NZ-00116670,1 Year(s),,Certificate level 4,"['march', 'june', 'july']"
16,New Zealand,https://www.idp.com/global/Categories/Hospitality-and-Tourism/Bakery/New-Zealand-Certificate-in-Baking-Generalist-Level-4/p/PRG-NZ-00304604,1 Year(s),,Certificate level 4,"['march', 'june', 'july']"
17,New Zealand,https://www.idp.com/global/Categories/Wellington-Institute-of-Technology/New-Zealand-Certificate-in-Baking-Level-3/p/PRG-NZ-00335923,17 Week(s),,Certificate level 3,"['march', 'july']"
18,New Zealand,https://www.idp.com/global/Categories/Wellington-Institute-of-Technology/New-Zealand-Certificate-in-Makeup-and-Skin-Care-Introduction-Level-3/p/PRG-NZ-00304595,17 Week(s),,Certificate level 3,"['march', 'july']"
19,Canada,https://www.idp.com/global/Categories/Hospitality-and-Tourism/Food-And-Hospitality/Diploma-in-Hospitality-Hotel-and-Restaurant-Operations/p/PRG-CA-00351282,2 Year(s),6.0 IELTS,Bachelor Degree,['january']
20,Canada,https://www.idp.com/global/Categories/Niagara-College/Diploma-in-Hospitality-Hotel-and-Restaurant-Operations-Co-op/p/PRG-CA-00086431,2 Year(s),6.0 IELTS,Bachelor Degree,"['january', 'september']"
21,Australia,https://www.idp.com/global/Categories/The-University-of-Queensland/Bachelor-of-International-Hotel-and-Tourism-Management-Hospitality-Management/p/PRG-AU-00115377,3 Year(s),,Bachelor Degree,"['feb', 'july']"
22,New Zealand,https://www.idp.com/global/Categories/AUT/Postgraduate-Diploma-in-International-Hospitality-Management/p/PRG-NZ-00074951,1 Year(s),6.5 IELTS,Postgraduate Diploma,"['march', 'july']"
23,New Zealand,https://www.idp.com/global/Categories/Ara-Institute-of-Canterbury-Limited/Graduate-Diploma-in-Hospitality-Management/p/PRG-NZ-00193256,1 Year(s),,(Graduate) Diploma level 7,"['feb', 'july']"
24,New Zealand,https://www.idp.com/global/Categories/Le-Cordon-Bleu-New-Zealand/Bachelor-of-Culinary-Arts-and-Business-NZQF-Level-7/p/PRG-NZ-00099873,3 Year(s),6.0 IELTS,Bachelor Degree,"['feb', 'august']"
25,Australia,https://www.idp.com/global/Categories/Hospitality-and-Tourism/Food-And-Hospitality/Certificate-III-in-Commercial-Cookery/p/PRG-AU-00320940,2 Semester(s),,Certificate III,"['feb', 'july']"
26,Canada,https://www.idp.com/global/Categories/Conestoga-College/Ontario-College-Graduate-Certificate-in-Operations-Leadership-in-Food-Manufacturing/p/PRG-CA-00213937,1 Year(s),6.5 IELTS,Graduate Certificate,['september']
27,Australia,https://www.idp.com/global/Categories/Hospitality-and-Tourism/Food-And-Hospitality/Certificate-III-in-Commercial-Cookery/p/PRG-AU-00121775,1 Year(s),,Certificate III,"['feb', 'april', 'may', 'july', 'october']"
28,Australia,https://www.idp.com/global/Categories/TAFE-Western-Australia/Certificate-IV-in-Commercial-Cookery/p/PRG-AU-00269616,1 Semester(s),,Certificate IV,"['feb', 'july']"
29,United Kingdom,https://www.idp.com/global/Categories/Oxford-Brookes-University/Msc-International-Hospitality-Events-and-Tourism-Management/p/PRG-UK-00108935,1 Year(s),6.0 IELTS,Masters Degree (Taught),"['january', 'september']"
