,area of study,course_name,university_name,course_fee,course_link
0,hospitality-and-tourism,Postgraduate Diploma in Management (Hospitality),Toi Ohomai Institute of Technology,"NZD 19,950",https://www.idp.com/global/Categories/Toi-Ohomai-Institute-of-Technology/Postgraduate-Diploma-in-Management-Hospitality/p/PRG-NZ-00116580
1,hospitality-and-tourism,Master of Teaching Early Childhood Education,Toi Ohomai Institute of Technology,"NZD 35,000",https://www.idp.com/global/Categories/Toi-Ohomai-Institute-of-Technology/Master-of-Teaching-Early-Childhood-Education/p/PRG-NZ-00354406
2,hospitality-and-tourism,"Master of Tourism, Hotel and Event Management - Event Management",The University of Queensland,"AUD 84,544",https://www.idp.com/global/Categories/The-University-of-Queensland/Master-of-Tourism-Hotel-and-Event-Management-Event-Management/p/PRG-AU-00119024
3,hospitality-and-tourism,Graduate Diploma in Hotel Management (Level 7) [Queenstown],Southern Institute of Technology,"NZD 17,000",https://www.idp.com/global/Categories/Southern-Institute-of-Technology/Graduate-Diploma-in-Hotel-Management-Level-7-Queenstown/p/PRG-NZ-00206615
4,hospitality-and-tourism,Master of International Hotel Management,Blue Mountains International Hotel Management School,"AUD 48,000",https://www.idp.com/global/Categories/Blue-Mountains-International-Hotel-Management-School/Master-of-International-Hotel-Management/p/PRG-AU-00097123
5,hospitality-and-tourism,Bachelor of Business (International Hotel and Resort Management),Blue Mountains International Hotel Management School,"AUD 93,000",https://www.idp.com/global/Categories/Blue-Mountains-International-Hotel-Management-School/Bachelor-of-Business-International-Hotel-and-Resort-Management/p/PRG-AU-00060822
6,hospitality-and-tourism,New Zealand Diploma in Hospitality Management - Level 5,Aspire2 International Hospitality and Healthcare,"NZD 17,250",https://www.idp.com/global/Categories/Aspire2-International-Hospitality-and-Healthcare/New-Zealand-Diploma-in-Hospitality-Management-Level-5/p/PRG-NZ-00270172
7,hospitality-and-tourism,New Zealand Diploma in Hospitality Management - Level 6,Aspire2 International Hospitality and Healthcare,"NZD 11,000",https://www.idp.com/global/Categories/Hospitality-and-Tourism/Food-And-Hospitality/New-Zealand-Diploma-in-Hospitality-Management-Level-6/p/PRG-NZ-00270174
8,hospitality-and-tourism,Ontario Graduate Certificate in Advanced Chocolate and Confectionery Artis...,Humber Institute of Technology & Advanced Learning,"CAD 16,607",https://www.idp.com/global/Categories/Humber-Institute-of-Technology-%26-Advanced-Learning/Ontario-Graduate-Certificate-in-Advanced-Chocolate-and-Confectionery-Artistry/p/PRG-CA-00278426
9,hospitality-and-tourism,Bachelor of Tourism and Hospitality Management Packaged with Advanced Dipl...,William Angliss Institute of TAFE,"AUD 59,180",https://www.idp.com/global/Categories/Hospitality-and-Tourism/Food-And-Hospitality/Bachelor-of-Tourism-and-Hospitality-Management-Packaged-with-Advanced-Diploma-of-Hospitality-Management-Melbourne/p/PRG-AU-00329743
