,location,course_link,duration,entry_score,course_qualification,intakes
0,New Zealand,https://www.idp.com/global/Categories/All-Human-Welfare-Studies-And-Services/Welfare-Services/Graduate-Diploma-in-Social-Services-Career-Practice-Disability-Support-and-Coordination-or-Mental-Health-Support/p/PRG-NZ-00329806,1 Year(s),,(Graduate) Diploma level 7,['feb']
1,Canada,https://www.idp.com/global/Categories/All-Human-Welfare-Studies-And-Services/Welfare-Studies/Ontario-College-Graduate-Certificate-in-Youth-at-Risk/p/PRG-CA-00291085,1 Year(s),6.0 IELTS,Graduate Certificate,['september']
2,United Kingdom,https://www.idp.com/global/Categories/University-of-Birmingham/MSc-Advanced-Child-Protection-Studies/p/PRG-UK-00371398,18 Month(s),6.5 IELTS,Masters Degree (Taught),['september']
3,Australia,https://www.idp.com/global/Categories/Deakin-University/Master-of-Health-and-Human-Services-Management/p/PRG-AU-00066266,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july', 'november']"
4,New Zealand,https://www.idp.com/global/Categories/The-University-of-Waikato/Master-of-Education-Human-Development/p/PRG-NZ-00304797,1 Year(s),6.5 IELTS,Masters Degree (Taught),"['march', 'july']"
5,United Kingdom,https://www.idp.com/global/Categories/All-Human-Welfare-Studies-And-Services/Welfare-Services/Educational-Studies-for-Adult-Youth-and-Community-Contexts-MSc/p/PRG-UK-00336136,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
6,United Kingdom,https://www.idp.com/global/Categories/University-of-York/MSc-Mental-Health-and-Wellbeing-in-Education/p/PRG-UK-00336852,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
7,Australia,https://www.idp.com/global/Categories/The-University-of-Western-Australia/Master-of-Social-Work/p/PRG-AU-00059666,2 Year(s),7.0 IELTS,Masters Degree (Coursework),['feb']
8,United Kingdom,https://www.idp.com/global/Categories/Study-Group-UK/International-Foundation-Year-in-Humanities-Law-and-Social-Science-Durham-International-Study-Centre/p/PRG-UK-00240712,1 Year(s),,Foundation for Undergraduate,"['january', 'september']"
9,United Kingdom,https://www.idp.com/global/Categories/University-of-York/MPA-Public-Administration/p/PRG-UK-00209962,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
10,New Zealand,https://www.idp.com/global/Categories/University-of-Canterbury/Bachelor-of-Science-in-Anthropology/p/PRG-NZ-00370637,3 Year(s),6.0 IELTS,Bachelor Degree,"['feb', 'july']"
11,Australia,https://www.idp.com/global/Categories/TAFE-Western-Australia/Diploma-of-Community-Services/p/PRG-AU-00211159,2 Semester(s),,Diploma,"['feb', 'july']"
12,New Zealand,https://www.idp.com/global/Categories/The-University-of-Otago/Postgraduate-Diploma-in-Social-Welfare/p/PRG-NZ-00231936,1 Year(s),6.5 IELTS,Postgraduate Diploma,['july']
13,United Kingdom,https://www.idp.com/global/Categories/University-of-Gloucestershire/Bachelor-of-Arts-Hons-Early-Childhood-Studies/p/PRG-UK-00161466,3 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
14,United Kingdom,https://www.idp.com/global/Categories/All-Human-Welfare-Studies-And-Services/Welfare-Services/Bachelor-of-Arts-Hons-Early-Childhood-Studies-Integrated-foundation/p/PRG-UK-00338002,4 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
15,Australia,https://www.idp.com/global/Categories/TAFE-Western-Australia/Certificate-III-in-Community-Services/p/PRG-AU-00211164,1 Semester(s),,Certificate III,"['feb', 'july']"
16,Australia,https://www.idp.com/global/Categories/TAFE-Western-Australia/Certificate-IV-in-Community-Services/p/PRG-AU-00211161,1 Semester(s),,Certificate IV,"['feb', 'july']"
17,Australia,https://www.idp.com/global/Categories/TAFE-Western-Australia/Certificate-IV-in-Community-Services/p/PRG-AU-00330360,2 Semester(s),,Certificate IV,"['feb', 'july']"
