,area of study,course_name,university_name,course_fee,course_link
0,human-welfare-studies-and-services,"Graduate Diploma in Social Services (Career Practice), (Disability Support...",Otago Polytechnic,"NZD 24,650",https://www.idp.com/global/Categories/All-Human-Welfare-Studies-And-Services/Welfare-Services/Graduate-Diploma-in-Social-Services-Career-Practice-Disability-Support-and-Coordination-or-Mental-Health-Support/p/PRG-NZ-00329806
1,human-welfare-studies-and-services,Ontario College Graduate Certificate in Youth at Risk,Canadore College of Applied Arts and Technology,"CAD 12,796",https://www.idp.com/global/Categories/All-Human-Welfare-Studies-And-Services/Welfare-Studies/Ontario-College-Graduate-Certificate-in-Youth-at-Risk/p/PRG-CA-00291085
2,human-welfare-studies-and-services,MSc Advanced Child Protection Studies,University of Birmingham,"GBP 14,250",https://www.idp.com/global/Categories/University-of-Birmingham/MSc-Advanced-Child-Protection-Studies/p/PRG-UK-00371398
3,human-welfare-studies-and-services,Master of Health and Human Services Management,Deakin University,"AUD 74,800",https://www.idp.com/global/Categories/Deakin-University/Master-of-Health-and-Human-Services-Management/p/PRG-AU-00066266
4,human-welfare-studies-and-services,Master of Education - Human Development,The University of Waikato,"NZD 47,425",https://www.idp.com/global/Categories/The-University-of-Waikato/Master-of-Education-Human-Development/p/PRG-NZ-00304797
5,human-welfare-studies-and-services,"Educational Studies for Adult, Youth and Community Contexts MSc",University of Glasgow,"GBP 19,350",https://www.idp.com/global/Categories/All-Human-Welfare-Studies-And-Services/Welfare-Services/Educational-Studies-for-Adult-Youth-and-Community-Contexts-MSc/p/PRG-UK-00336136
6,human-welfare-studies-and-services,MSc Mental Health and Wellbeing in Education,University of York,"GBP 18,700",https://www.idp.com/global/Categories/University-of-York/MSc-Mental-Health-and-Wellbeing-in-Education/p/PRG-UK-00336852
7,human-welfare-studies-and-services,Master of Social Work,The University of Western Australia,"AUD 64,400",https://www.idp.com/global/Categories/The-University-of-Western-Australia/Master-of-Social-Work/p/PRG-AU-00059666
8,human-welfare-studies-and-services,"International Foundation Year in Humanities, Law and Social Science - Durh...",Study Group UK,"GBP 19,000",https://www.idp.com/global/Categories/Study-Group-UK/International-Foundation-Year-in-Humanities-Law-and-Social-Science-Durham-International-Study-Centre/p/PRG-UK-00240712
9,human-welfare-studies-and-services,MPA Public Administration,University of York,"GBP 18,700",https://www.idp.com/global/Categories/University-of-York/MPA-Public-Administration/p/PRG-UK-00209962
10,human-welfare-studies-and-services,Bachelor of Science in Anthropology,University of Canterbury,"NZD 109,689",https://www.idp.com/global/Categories/University-of-Canterbury/Bachelor-of-Science-in-Anthropology/p/PRG-NZ-00370637
11,human-welfare-studies-and-services,Diploma of Community Services,TAFE Western Australia,"AUD 13,060",https://www.idp.com/global/Categories/TAFE-Western-Australia/Diploma-of-Community-Services/p/PRG-AU-00211159
12,human-welfare-studies-and-services,Postgraduate Diploma in Social Welfare,The University of Otago,"NZD 35,798",https://www.idp.com/global/Categories/The-University-of-Otago/Postgraduate-Diploma-in-Social-Welfare/p/PRG-NZ-00231936
13,human-welfare-studies-and-services,Bachelor of Arts Hons (Early Childhood Studies),University of Gloucestershire,"GBP 44,100",https://www.idp.com/global/Categories/University-of-Gloucestershire/Bachelor-of-Arts-Hons-Early-Childhood-Studies/p/PRG-UK-00161466
