,area of study,course_name,university_name,course_fee,course_link
0,information-science-and-librarianship,Master of Curating and Cultural Leadership,The University of New South Wales,"AUD 74,400",https://www.idp.com/global/Categories/The-University-of-New-South-Wales/Master-of-Curating-and-Cultural-Leadership/p/PRG-AU-00115916
1,information-science-and-librarianship,Master of Science in Leadership (Boston),Northeastern University,"USD 34,000",https://www.idp.com/global/Categories/Northeastern-University/Master-of-Science-in-Leadership-Boston/p/PRG-US-00050129
2,information-science-and-librarianship,Master of Art Curating,The University of Sydney,"AUD 41,500",https://www.idp.com/global/Categories/The-University-of-Sydney/Master-of-Art-Curating/p/PRG-AU-00331324
3,information-science-and-librarianship,Master of Art Curating,The University of Sydney,"AUD 62,250",https://www.idp.com/global/Categories/The-University-of-Sydney/Master-of-Art-Curating/p/PRG-AU-00060526
4,information-science-and-librarianship,Master of Art Curatorship,The University of Melbourne,"AUD 71,552",https://www.idp.com/global/Categories/Information-Science-and-Librarianship/Librarianship/Master-of-Art-Curatorship/p/PRG-AU-00064888
5,information-science-and-librarianship,Associate of Science in Integrated Studies (General),North Seattle College,"USD 19,373",https://www.idp.com/global/Categories/North-Seattle-College/Associate-of-Science-in-Integrated-Studies-General/p/PRG-US-00326600
6,information-science-and-librarianship,MA Art History and Curating,University of Birmingham,"GBP 19,440",https://www.idp.com/global/Categories/University-of-Birmingham/MA-Art-History-and-Curating/p/PRG-UK-00160065
7,information-science-and-librarianship,Bachelor of Arts,Thompson Rivers University,"CAD 71,296",https://www.idp.com/global/Categories/Thompson-Rivers-University/Bachelor-of-Arts/p/PRG-CA-00088785
8,information-science-and-librarianship,Graduate Certificate in Heritage Materials Conservation,University of Canberra,"AUD 16,450",https://www.idp.com/global/Categories/University-of-Canberra/Graduate-Certificate-in-Heritage-Materials-Conservation/p/PRG-AU-00286312
9,information-science-and-librarianship,Master of Museum and Heritage Practice,Victoria University of Wellington,"NZD 35,388",https://www.idp.com/global/Categories/Victoria-University-of-Wellington/Master-of-Museum-and-Heritage-Practice/p/PRG-NZ-00074820
10,information-science-and-librarianship,MA International Heritage Management,University of Birmingham,"GBP 20,040",https://www.idp.com/global/Categories/University-of-Birmingham/MA-International-Heritage-Management/p/PRG-UK-00073036
11,information-science-and-librarianship,Master of Art History and Curatorial Studies,The Australian National University,"AUD 88,940",https://www.idp.com/global/Categories/The-Australian-National-University/Master-of-Art-History-and-Curatorial-Studies/p/PRG-AU-00120234
