,location,course_link,duration,entry_score,course_qualification,intakes
0,United Kingdom,https://www.idp.com/global/Categories/Law-and-Legal-Studies/International-Law/LLM-International-Commercial-Law-Pathway/p/PRG-UK-00073030,1 Year(s),7.0 IELTS,Masters Degree (Taught),['september']
1,United Kingdom,https://www.idp.com/global/Categories/University-of-Nottingham/LLM-International-Commercial-Law/p/PRG-UK-00081162,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
2,Australia,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Business-And-Commercial-Law/Master-of-International-Business-and-Master-of-International-Trade-and-Commerce-Law/p/PRG-AU-00327009,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'july']"
3,Australia,https://www.idp.com/global/Categories/Macquarie-University/Master-of-International-Business-and-Master-of-International-Trade-and-Commerce-Law/p/PRG-AU-00373913,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'july']"
4,Australia,https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Laws/p/PRG-AU-00075208,1 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july', 'august']"
5,Australia,https://www.idp.com/global/Categories/The-University-of-New-South-Wales/Juris-Doctor/p/PRG-AU-00060316,3 Year(s),7.0 IELTS,Masters Degree (Coursework),"['feb', 'september']"
6,Canada,https://www.idp.com/global/Categories/Humber-Institute-of-Technology-%26-Advanced-Learning/Ontario-Graduate-Certificate-in-Paralegal/p/PRG-CA-00278431,2 Semester(s),6.5 IELTS,Graduate Certificate,"['january', 'september']"
7,Australia,https://www.idp.com/global/Categories/The-University-of-Sydney/Master-of-Laws/p/PRG-AU-00065237,1 Year(s),7.0 IELTS,Masters Degree (Coursework),"['feb', 'march', 'august']"
8,United Kingdom,https://www.idp.com/global/Categories/University-of-Birmingham/LLB-Hons-Law/p/PRG-UK-00073262,3 Year(s),7.0 IELTS,Bachelor Degree with Honours,['september']
9,New Zealand,https://www.idp.com/global/Categories/Victoria-University-of-Wellington/Bachelor-of-Laws/p/PRG-NZ-00074904,4 Year(s),6.0 IELTS,Bachelor Degree,['feb']
10,Canada,https://www.idp.com/global/Categories/Centennial-College-of-Applied-Arts-and-Technology/Graduate-Certificate-in-Paralegal/p/PRG-CA-00090576,1 Year(s),6.5 IELTS,Graduate Certificate,"['january', 'may', 'september']"
11,Australia,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/Juris-Doctor/p/PRG-AU-00059478,3 Year(s),7.5 IELTS,Masters Degree (Coursework),"['feb', 'august']"
12,Australia,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/Master-of-International-Relations-and-Master-of-International-Trade-and-Commerce-Law/p/PRG-AU-00327007,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'july']"
13,Australia,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/Master-of-Laws-and-Master-of-Security-and-Strategic-Studies/p/PRG-AU-00326999,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'july']"
14,Australia,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/Master-of-International-Trade-and-Commerce-Law-and-Master-of-Security-and-Strategic-Studies/p/PRG-AU-00327004,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'july']"
15,United Kingdom,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/LLM-General-Pathway/p/PRG-UK-00073009,1 Year(s),7.0 IELTS,Masters Degree (Taught),['september']
16,New Zealand,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/Bachelor-of-Laws/p/PRG-NZ-00074109,4 Year(s),6.0 IELTS,Bachelor Degree,"['feb', 'july']"
17,New Zealand,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/Graduate-Diploma-in-Law/p/PRG-NZ-00208629,1 Year(s),7.0 IELTS,Postgraduate Diploma,"['january', 'feb', 'march', 'july']"
18,Australia,https://www.idp.com/global/Categories/Monash-University/Bachelor-of-Laws-Honours/p/PRG-AU-00116928,4 Year(s),7.0 IELTS,Bachelor Degree with Honours,"['feb', 'march', 'june', 'july']"
19,United Kingdom,https://www.idp.com/global/Categories/University-of-Birmingham/Foundation-Year-in-Social-Sciences-Business-and-Law/p/PRG-UK-00206682,1 Year(s),,Foundation for Undergraduate,"['january', 'feb']"
20,United Kingdom,https://www.idp.com/global/Categories/Queen-Mary-University-of-London/LLM-in-Commercial-and-Corporate-Law/p/PRG-UK-00084821,1 Year(s),7.0 IELTS,Masters Degree (Taught),"['january', 'september']"
21,United Kingdom,https://www.idp.com/global/Categories/Queen-Mary-University-of-London/LLM-in-Commercial-and-Corporate-Law/p/PRG-UK-00357063,9 Month(s),7.0 IELTS,Masters Degree (Taught),['january']
22,Australia,https://www.idp.com/global/Categories/The-Australian-National-University/Juris-Doctor/p/PRG-AU-00060768,3 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'july']"
23,United Kingdom,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/LLB-Hons-Law/p/PRG-UK-00081359,3 Year(s),7.0 IELTS,Bachelor Degree with Honours,['september']
24,Australia,https://www.idp.com/global/Categories/The-University-of-Sydney/Bachelor-of-Commerce-and-Bachelor-of-Laws/p/PRG-AU-00062781,5 Year(s),7.5 IELTS,Dual Degree,"['feb', 'march', 'august']"
25,United Kingdom,https://www.idp.com/global/Categories/University-of-Nottingham/LLM-Master-of-Laws/p/PRG-UK-00081138,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
26,United Kingdom,https://www.idp.com/global/Categories/University-of-Bristol/LLM-Law-International-Commercial-Law/p/PRG-UK-00203258,1 Year(s),7.0 IELTS,Masters Degree (Taught),['september']
27,Australia,https://www.idp.com/global/Categories/Queensland-University-of-Technology/Bachelor-of-Biomedical-ScienceBachelor-of-Laws-Honours/p/PRG-AU-00300140,5 Year(s),6.5 IELTS,Dual Degree,['feb']
28,Australia,https://www.idp.com/global/Categories/Deakin-University/Master-of-International-Finance-Cyberlaw/p/PRG-AU-00369720,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july', 'november']"
29,Australia,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Business-And-Commercial-Law/Master-of-Commercial-Law/p/PRG-AU-00075210,1 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july', 'august']"
30,United Kingdom,https://www.idp.com/global/Categories/Durham-University/LLM-International-Trade-and-Commercial-Law/p/PRG-UK-00080953,1 Year(s),7.0 IELTS,Masters Degree (Taught),['october']
31,Australia,https://www.idp.com/global/Categories/The-University-of-Sydney/Master-of-Business-Law/p/PRG-AU-00063474,1 Year(s),7.0 IELTS,Masters Degree (Coursework),"['feb', 'march', 'august']"
32,United Kingdom,https://www.idp.com/global/Categories/Queen-Mary-University-of-London/Master-of-Laws-LLM/p/PRG-UK-00161628,1 Year(s),7.0 IELTS,Masters Degree (Taught),"['january', 'september']"
33,United Kingdom,https://www.idp.com/global/Categories/Queen-Mary-University-of-London/Master-of-Laws-LLM/p/PRG-UK-00356015,9 Month(s),7.0 IELTS,Masters Degree (Taught),['january']
34,United Kingdom,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/LLM-International-Business-Law/p/PRG-UK-00357089,9 Month(s),7.0 IELTS,Masters Degree (Taught),['january']
35,United Kingdom,https://www.idp.com/global/Categories/King%27s-College-London/Master-of-Laws-LLM/p/PRG-UK-00102464,1 Year(s),7.0 IELTS,Masters Degree (Taught),['september']
36,United Kingdom,https://www.idp.com/global/Categories/Law-and-Legal-Studies/International-Law/International-Commercial-Law-LLM/p/PRG-UK-00066667,1 Year(s),6.5 IELTS,Masters Degree (Taught),"['january', 'september']"
37,United Kingdom,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/LLM-International-Business-Law/p/PRG-UK-00084812,1 Year(s),7.0 IELTS,Masters Degree (Taught),"['january', 'september']"
38,United Kingdom,https://www.idp.com/global/Categories/University-of-Leeds/LLB-Hons-Law/p/PRG-UK-00077865,3 Year(s),6.5 IELTS,Bachelor Degree with Honours,['september']
39,United Kingdom,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/LLM-Maritime-Law/p/PRG-UK-00099781,1 Year(s),7.0 IELTS,Masters Degree (Taught),['september']
40,United Kingdom,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/LLM-in-Comparative-and-International-Dispute-Resolution/p/PRG-UK-00084820,1 Year(s),7.0 IELTS,Masters Degree (Taught),"['january', 'september']"
41,United Kingdom,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/LLM-in-Comparative-and-International-Dispute-Resolution/p/PRG-UK-00357065,9 Month(s),7.0 IELTS,Masters Degree (Taught),['january']
42,United Kingdom,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/LLB-Hons-Law/p/PRG-UK-00084897,3 Year(s),7.0 IELTS,Bachelor Degree with Honours,['september']
43,New Zealand,https://www.idp.com/global/Categories/The-University-of-Auckland/Bachelor-of-Laws-LLB/p/PRG-NZ-00220235,4 Year(s),6.0 IELTS,Bachelor Degree,"['march', 'july']"
44,New Zealand,https://www.idp.com/global/Categories/The-University-of-Auckland/Bachelor-of-Laws-Honours-BMLBH-LAW-LBHBM/p/PRG-NZ-00242062,1 Year(s),6.0 IELTS,Bachelor Degree with Honours,"['feb', 'march']"
45,Australia,https://www.idp.com/global/Categories/Macquarie-University/Bachelor-of-Laws-and-Bachelor-of-Commerce/p/PRG-AU-00327223,5 Year(s),7.0 IELTS,Dual Degree,"['feb', 'july']"
46,New Zealand,https://www.idp.com/global/Categories/Victoria-University-of-Wellington/Master-of-Laws-by-coursework/p/PRG-NZ-00074264,1 Year(s),7.0 IELTS,Masters Degree (Taught),"['feb', 'july']"
47,Australia,https://www.idp.com/global/Categories/The-University-of-Queensland/Master-of-Laws/p/PRG-AU-00284329,1 Year(s),,Masters Degree (Coursework),"['feb', 'july']"
48,New Zealand,https://www.idp.com/global/Categories/The-University-of-Waikato/Master-of-Laws/p/PRG-NZ-00073790,1 Year(s),6.5 IELTS,Masters Degree (Taught and Research),"['march', 'july']"
49,New Zealand,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/Master-of-Laws-Law/p/PRG-NZ-00242112,1 Year(s),7.0 IELTS,Masters Degree (Taught),"['january', 'feb', 'march', 'july', 'december']"
50,Australia,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/Bachelor-of-Arts-and-Bachelor-of-Laws/p/PRG-AU-00327222,4 Year(s),7.0 IELTS,Dual Degree,"['feb', 'july']"
51,United Kingdom,https://www.idp.com/global/Categories/University-of-Manchester/LLM-International-Business-and-Commercial-Law/p/PRG-UK-00069179,1 Year(s),7.0 IELTS,Masters Degree (Taught),['september']
52,United Kingdom,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/Bar-Training-Course-LLM/p/PRG-UK-00102066,1 Year(s),7.5 IELTS,Masters Degree (Taught),['october']
53,United Kingdom,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/LLB-Hons-Law/p/PRG-UK-00085388,3 Year(s),7.0 IELTS,Bachelor Degree with Honours,['september']
54,United Kingdom,https://www.idp.com/global/Categories/University-of-Birmingham/LLM-Commercial-Law-Pathway/p/PRG-UK-00073073,1 Year(s),7.0 IELTS,Masters Degree (Taught),['september']
55,United Kingdom,https://www.idp.com/global/Categories/Lancaster-University/International-Business-and-Corporate-Law-LLM/p/PRG-UK-00077504,1 Year(s),6.5 IELTS,Masters Degree (Taught),['october']
56,United Kingdom,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/LLM-Intellectual-Property-Law/p/PRG-UK-00084813,1 Year(s),7.0 IELTS,Masters Degree (Taught),"['january', 'september']"
57,United Kingdom,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/LLM-Intellectual-Property-Law/p/PRG-UK-00357080,9 Month(s),7.0 IELTS,Masters Degree (Taught),['january']
58,Australia,https://www.idp.com/global/Categories/University-of-Canberra/Juris-Doctor/p/PRG-AU-00334921,3 Year(s),6.5 IELTS,Masters Degree (Coursework),['feb']
59,Australia,https://www.idp.com/global/Categories/University-of-Canberra/Master-of-Law-Research/p/PRG-AU-00296240,2 Year(s),6.5 IELTS,Masters Degree (Research),"['feb', 'august']"
60,United Kingdom,https://www.idp.com/global/Categories/University-of-Edinburgh/LLM-Commercial-Law/p/PRG-UK-00101148,1 Year(s),7.0 IELTS,Masters Degree (Taught),['september']
61,United States,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Legal-Studies/Master-of-Laws-General/p/PRG-US-00186891,2 Semester(s),6.5 IELTS,Masters Degree,"['january', 'august']"
62,United States,https://www.idp.com/global/Categories/Suffolk-University/Master-of-Laws-Corporate-Finance-and-Business/p/PRG-US-00349855,2 Semester(s),6.5 IELTS,Masters Degree,"['january', 'august']"
63,United States,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Legal-Studies/Master-of-Laws-Bankruptcy/p/PRG-US-00349853,2 Semester(s),6.5 IELTS,Masters Degree,"['january', 'august']"
64,United States,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Legal-Studies/Master-of-Laws-Civil-Litigation/p/PRG-US-00349856,2 Semester(s),6.5 IELTS,Masters Degree,"['january', 'august']"
65,United States,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Legal-Studies/Master-of-Laws-Dispute-Resolution/p/PRG-US-00349863,2 Semester(s),6.5 IELTS,Masters Degree,"['january', 'august']"
66,United States,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Legal-Studies/Master-of-Laws-Diversity-and-Social-Justice/p/PRG-US-00349864,2 Semester(s),6.5 IELTS,Masters Degree,"['january', 'august']"
67,United States,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Legal-Studies/Master-of-Laws-Criminal-Law/p/PRG-US-00349860,2 Semester(s),6.5 IELTS,Masters Degree,"['january', 'august']"
68,United States,https://www.idp.com/global/Categories/Suffolk-University/Juris-Doctor-Intellectual-Property/p/PRG-US-00349900,6 Semester(s),6.5 IELTS,Juris Doctor,"['may', 'august']"
69,United States,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Legal-Studies/Juris-Doctor-Labor-and-Employment-Law/p/PRG-US-00349897,6 Semester(s),6.5 IELTS,Juris Doctor,"['may', 'august']"
70,United States,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Legal-Studies/Juris-Doctor-Patent-Law/p/PRG-US-00349896,6 Semester(s),6.5 IELTS,Juris Doctor,"['may', 'august']"
71,United States,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Legal-Studies/Juris-Doctor-Juvenile-and-Family-Law/p/PRG-US-00349899,6 Semester(s),6.5 IELTS,Juris Doctor,"['may', 'august']"
72,United States,https://www.idp.com/global/Categories/Law-and-Legal-Studies/Legal-Studies/Juris-Doctor-Health-and-Biomedical-Law/p/PRG-US-00349904,6 Semester(s),6.5 IELTS,Juris Doctor,"['may', 'august']"
