,area of study,course_name,university_name,course_fee,course_link
0,law-and-legal-studies,LLM International Commercial Law Pathway,University of Birmingham,"GBP 20,160",https://www.idp.com/global/Categories/Law-and-Legal-Studies/International-Law/LLM-International-Commercial-Law-Pathway/p/PRG-UK-00073030
1,law-and-legal-studies,LLM International Commercial Law,University of Nottingham,"GBP 20,000",https://www.idp.com/global/Categories/University-of-Nottingham/LLM-International-Commercial-Law/p/PRG-UK-00081162
2,law-and-legal-studies,Master of International Business and Master of International Trade and Com...,Macquarie University,"AUD 78,400",https://www.idp.com/global/Categories/Law-and-Legal-Studies/Business-And-Commercial-Law/Master-of-International-Business-and-Master-of-International-Trade-and-Commerce-Law/p/PRG-AU-00327009
3,law-and-legal-studies,Master of International Business and Master of International Trade and Com...,Macquarie University,"AUD 98,000",https://www.idp.com/global/Categories/Macquarie-University/Master-of-International-Business-and-Master-of-International-Trade-and-Commerce-Law/p/PRG-AU-00373913
4,law-and-legal-studies,Master of Laws,The University of Melbourne,"AUD 44,416",https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Laws/p/PRG-AU-00075208
5,law-and-legal-studies,Juris Doctor,The University of New South Wales,"AUD 138,960",https://www.idp.com/global/Categories/The-University-of-New-South-Wales/Juris-Doctor/p/PRG-AU-00060316
6,law-and-legal-studies,Ontario Graduate Certificate in Paralegal,Humber Institute of Technology & Advanced Learning,"CAD 24,910",https://www.idp.com/global/Categories/Humber-Institute-of-Technology-%26-Advanced-Learning/Ontario-Graduate-Certificate-in-Paralegal/p/PRG-CA-00278431
7,law-and-legal-studies,Master of Laws,The University of Sydney,"AUD 51,000",https://www.idp.com/global/Categories/The-University-of-Sydney/Master-of-Laws/p/PRG-AU-00065237
8,law-and-legal-studies,LLB (Hons) Law,University of Birmingham,"GBP 59,220",https://www.idp.com/global/Categories/University-of-Birmingham/LLB-Hons-Law/p/PRG-UK-00073262
9,law-and-legal-studies,Bachelor of Laws,Victoria University of Wellington,"NZD 135,907",https://www.idp.com/global/Categories/Victoria-University-of-Wellington/Bachelor-of-Laws/p/PRG-NZ-00074904
10,law-and-legal-studies,Graduate Certificate in Paralegal,Centennial College of Applied Arts and Technology,"CAD 21,754",https://www.idp.com/global/Categories/Centennial-College-of-Applied-Arts-and-Technology/Graduate-Certificate-in-Paralegal/p/PRG-CA-00090576
11,law-and-legal-studies,Juris Doctor,The University of Sydney,"AUD 153,000",https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/Juris-Doctor/p/PRG-AU-00059478
12,law-and-legal-studies,Master of International Relations and Master of International Trade and Co...,Macquarie University,"AUD 76,000",https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/Master-of-International-Relations-and-Master-of-International-Trade-and-Commerce-Law/p/PRG-AU-00327007
13,law-and-legal-studies,Master of Laws and Master of Security and Strategic Studies,Macquarie University,"AUD 76,000",https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/Master-of-Laws-and-Master-of-Security-and-Strategic-Studies/p/PRG-AU-00326999
14,law-and-legal-studies,Master of International Trade and Commerce Law and Master of Security and ...,Macquarie University,"AUD 76,000",https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/Master-of-International-Trade-and-Commerce-Law-and-Master-of-Security-and-Strategic-Studies/p/PRG-AU-00327004
15,law-and-legal-studies,LLM General Pathway,University of Birmingham,"GBP 20,160",https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/LLM-General-Pathway/p/PRG-UK-00073009
16,law-and-legal-studies,Bachelor of Laws,The University of Otago,"NZD 124,748",https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/Bachelor-of-Laws/p/PRG-NZ-00074109
17,law-and-legal-studies,Graduate Diploma in Law,The University of Auckland,"NZD 37,891",https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/Graduate-Diploma-in-Law/p/PRG-NZ-00208629
18,law-and-legal-studies,Bachelor of Laws (Honours),Monash University,"AUD 168,000",https://www.idp.com/global/Categories/Monash-University/Bachelor-of-Laws-Honours/p/PRG-AU-00116928
19,law-and-legal-studies,"Foundation Year in Social Sciences, Business and Law",University of Birmingham,"GBP 19,740",https://www.idp.com/global/Categories/University-of-Birmingham/Foundation-Year-in-Social-Sciences-Business-and-Law/p/PRG-UK-00206682
20,law-and-legal-studies,LLM in Commercial and Corporate Law,Queen Mary University of London,"GBP 23,950",https://www.idp.com/global/Categories/Queen-Mary-University-of-London/LLM-in-Commercial-and-Corporate-Law/p/PRG-UK-00084821
21,law-and-legal-studies,LLM in Commercial and Corporate Law,Queen Mary University of London,"GBP 23,950",https://www.idp.com/global/Categories/Queen-Mary-University-of-London/LLM-in-Commercial-and-Corporate-Law/p/PRG-UK-00357063
22,law-and-legal-studies,Juris Doctor,The Australian National University,"AUD 156,840",https://www.idp.com/global/Categories/The-Australian-National-University/Juris-Doctor/p/PRG-AU-00060768
23,law-and-legal-studies,LLB Hons Law,University of Nottingham,"GBP 57,000",https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/LLB-Hons-Law/p/PRG-UK-00081359
24,law-and-legal-studies,Bachelor of Commerce and Bachelor of Laws,The University of Sydney,"AUD 230,000",https://www.idp.com/global/Categories/The-University-of-Sydney/Bachelor-of-Commerce-and-Bachelor-of-Laws/p/PRG-AU-00062781
25,law-and-legal-studies,LLM Master of Laws,University of Nottingham,"GBP 20,000",https://www.idp.com/global/Categories/University-of-Nottingham/LLM-Master-of-Laws/p/PRG-UK-00081138
26,law-and-legal-studies,LLM Law - International Commercial Law,University of Bristol,"GBP 19,900",https://www.idp.com/global/Categories/University-of-Bristol/LLM-Law-International-Commercial-Law/p/PRG-UK-00203258
27,law-and-legal-studies,Bachelor of Biomedical Science/Bachelor of Laws (Honours),Queensland University of Technology,"AUD 221,650",https://www.idp.com/global/Categories/Queensland-University-of-Technology/Bachelor-of-Biomedical-ScienceBachelor-of-Laws-Honours/p/PRG-AU-00300140
28,law-and-legal-studies,Master of International Finance (Cyberlaw),Deakin University,"AUD 78,800",https://www.idp.com/global/Categories/Deakin-University/Master-of-International-Finance-Cyberlaw/p/PRG-AU-00369720
29,law-and-legal-studies,Master of Commercial Law,The University of Melbourne,"AUD 44,416",https://www.idp.com/global/Categories/Law-and-Legal-Studies/Business-And-Commercial-Law/Master-of-Commercial-Law/p/PRG-AU-00075210
30,law-and-legal-studies,LLM International Trade and Commercial Law,Durham University,"GBP 20,500",https://www.idp.com/global/Categories/Durham-University/LLM-International-Trade-and-Commercial-Law/p/PRG-UK-00080953
31,law-and-legal-studies,Master of Business Law,The University of Sydney,"AUD 51,000",https://www.idp.com/global/Categories/The-University-of-Sydney/Master-of-Business-Law/p/PRG-AU-00063474
32,law-and-legal-studies,Master of Laws (LLM),Queen Mary University of London,"GBP 23,950",https://www.idp.com/global/Categories/Queen-Mary-University-of-London/Master-of-Laws-LLM/p/PRG-UK-00161628
33,law-and-legal-studies,Master of Laws (LLM),Queen Mary University of London,"GBP 17,962",https://www.idp.com/global/Categories/Queen-Mary-University-of-London/Master-of-Laws-LLM/p/PRG-UK-00356015
34,law-and-legal-studies,LLM International Business Law,Queen Mary University of London,"GBP 23,950",https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/LLM-International-Business-Law/p/PRG-UK-00357089
35,law-and-legal-studies,Master of Laws (LLM),King's College London,"GBP 28,770",https://www.idp.com/global/Categories/King%27s-College-London/Master-of-Laws-LLM/p/PRG-UK-00102464
36,law-and-legal-studies,International Commercial Law LLM,University of Glasgow,"GBP 19,820",https://www.idp.com/global/Categories/Law-and-Legal-Studies/International-Law/International-Commercial-Law-LLM/p/PRG-UK-00066667
37,law-and-legal-studies,LLM International Business Law,Queen Mary University of London,"GBP 23,950",https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/LLM-International-Business-Law/p/PRG-UK-00084812
38,law-and-legal-studies,LLB (Hons) Law,University of Leeds,"GBP 58,500",https://www.idp.com/global/Categories/University-of-Leeds/LLB-Hons-Law/p/PRG-UK-00077865
39,law-and-legal-studies,LLM Maritime Law,University of Southampton,"GBP 19,850",https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/LLM-Maritime-Law/p/PRG-UK-00099781
40,law-and-legal-studies,LLM in Comparative and International Dispute Resolution,Queen Mary University of London,"GBP 23,950",https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/LLM-in-Comparative-and-International-Dispute-Resolution/p/PRG-UK-00084820
41,law-and-legal-studies,LLM in Comparative and International Dispute Resolution,Queen Mary University of London,"GBP 23,950",https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/LLM-in-Comparative-and-International-Dispute-Resolution/p/PRG-UK-00357065
42,law-and-legal-studies,LLB (Hons) Law,Queen Mary University of London,"GBP 62,550",https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/LLB-Hons-Law/p/PRG-UK-00084897
43,law-and-legal-studies,Bachelor of Laws (LLB),The University of Auckland,"NZD 151,564",https://www.idp.com/global/Categories/The-University-of-Auckland/Bachelor-of-Laws-LLB/p/PRG-NZ-00220235
44,law-and-legal-studies,Bachelor of Laws (Honours) (BMLBH-LAW-LBHBM),The University of Auckland,"NZD 38,998",https://www.idp.com/global/Categories/The-University-of-Auckland/Bachelor-of-Laws-Honours-BMLBH-LAW-LBHBM/p/PRG-NZ-00242062
45,law-and-legal-studies,Bachelor of Laws and Bachelor of Commerce,Macquarie University,"AUD 198,000",https://www.idp.com/global/Categories/Macquarie-University/Bachelor-of-Laws-and-Bachelor-of-Commerce/p/PRG-AU-00327223
46,law-and-legal-studies,Master of Laws by coursework,Victoria University of Wellington,"NZD 36,653",https://www.idp.com/global/Categories/Victoria-University-of-Wellington/Master-of-Laws-by-coursework/p/PRG-NZ-00074264
47,law-and-legal-studies,Master of Laws,The University of Queensland,"AUD 42,272",https://www.idp.com/global/Categories/The-University-of-Queensland/Master-of-Laws/p/PRG-AU-00284329
48,law-and-legal-studies,Master of Laws,The University of Waikato,"NZD 33,660",https://www.idp.com/global/Categories/The-University-of-Waikato/Master-of-Laws/p/PRG-NZ-00073790
49,law-and-legal-studies,Master of Laws - Law,The University of Auckland,"NZD 38,998",https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/Master-of-Laws-Law/p/PRG-NZ-00242112
50,law-and-legal-studies,Bachelor of Arts and Bachelor of Laws,Macquarie University,"AUD 150,400",https://www.idp.com/global/Categories/Law-and-Legal-Studies/Law/Bachelor-of-Arts-and-Bachelor-of-Laws/p/PRG-AU-00327222
