,location,course_link,duration,entry_score,course_qualification,intakes
0,Australia,https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Global-Media-Communication/p/PRG-AU-00061217,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july', 'august']"
1,Australia,https://www.idp.com/global/Categories/The-University-of-Sydney/Master-of-Media-Practice/p/PRG-AU-00118583,1 Year(s),7.0 IELTS,Masters Degree (Coursework),"['feb', 'march', 'august']"
2,Australia,https://www.idp.com/global/Categories/Marketing%2C-Media-and-Communication/Master-of-Media-Practice/p/PRG-AU-00331377,1 Year(s),7.0 IELTS,Masters Degree (Coursework),"['feb', 'march', 'august']"
3,Canada,https://www.idp.com/global/Categories/Conestoga-College/Ontario-College-Graduate-Certificate-in-Mobile-Solutions-Development-Optional-Co-op/p/PRG-CA-00098039,2 Year(s),6.5 IELTS,Graduate Certificate,"['january', 'may', 'september']"
4,New Zealand,https://www.idp.com/global/Categories/Massey-University/Master-of-Management-Journalism/p/PRG-NZ-00371393,1 Year(s),6.5 IELTS,Masters Degree (Taught),"['feb', 'july']"
5,United Kingdom,https://www.idp.com/global/Categories/Lancaster-University/MA-Media-and-Cultural-Studies/p/PRG-UK-00077482,1 Year(s),7.0 IELTS,Masters Degree (Taught),['october']
6,Australia,https://www.idp.com/global/Categories/The-University-of-Sydney/Master-of-Digital-Communication-and-Culture/p/PRG-AU-00115214,1 Year(s),7.0 IELTS,Masters Degree (Coursework),"['feb', 'march', 'august']"
7,Australia,https://www.idp.com/global/Categories/The-University-of-Sydney/Master-of-Digital-Communication-and-Culture/p/PRG-AU-00374326,1 Year(s),7.0 IELTS,Masters Degree (Coursework),"['march', 'august']"
8,United Kingdom,https://www.idp.com/global/Categories/Marketing%2C-Media-and-Communication/Film-and-TV-production/MA-Film-and-Television-Research-and-Production/p/PRG-UK-00073049,1 Year(s),7.0 IELTS,Masters Degree (Taught),['september']
9,United Kingdom,https://www.idp.com/global/Categories/University-of-Southampton/MA-Global-Media-Management/p/PRG-UK-00106600,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
10,United Kingdom,https://www.idp.com/global/Categories/Newcastle-University/Media-and-Public-Relations-MA/p/PRG-UK-00069434,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
11,Canada,https://www.idp.com/global/Categories/Marketing%2C-Media-and-Communication/Public-relations-%28PR%29/Graduate-Certificate-in-Public-Relations-Corporate-Communications/p/PRG-CA-00214374,1 Year(s),6.5 IELTS,Graduate Certificate,"['january', 'september']"
12,Australia,https://www.idp.com/global/Categories/The-University-of-New-South-Wales/Master-of-Public-Relation-and-Advertising/p/PRG-AU-00157952,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'may', 'june', 'september']"
13,New Zealand,https://www.idp.com/global/Categories/Marketing%2C-Media-and-Communication/Bachelor-of-Communication-Literary-and-Creative-Communication/p/PRG-NZ-00329952,3 Year(s),6.0 IELTS,Bachelor Degree,"['feb', 'july']"
14,New Zealand,https://www.idp.com/global/Categories/Victoria-University-of-Wellington/Bachelor-of-Communication-Science-Communication/p/PRG-NZ-00329955,3 Year(s),6.0 IELTS,Bachelor Degree,"['feb', 'july']"
15,New Zealand,https://www.idp.com/global/Categories/Marketing%2C-Media-and-Communication/Bachelor-of-Communication-Political-Communication/p/PRG-NZ-00329954,3 Year(s),6.0 IELTS,Bachelor Degree,"['feb', 'july']"
16,New Zealand,https://www.idp.com/global/Categories/Victoria-University-of-Wellington/Bachelor-of-Communication/p/PRG-NZ-00329949,3 Year(s),6.0 IELTS,Bachelor Degree,"['feb', 'july']"
17,New Zealand,https://www.idp.com/global/Categories/Marketing%2C-Media-and-Communication/Bachelor-of-Communication-Intercultural-Communication/p/PRG-NZ-00329951,3 Year(s),6.0 IELTS,Bachelor Degree,"['feb', 'july']"
18,New Zealand,https://www.idp.com/global/Categories/Marketing%2C-Media-and-Communication/Bachelor-of-Communication-Media-Studies/p/PRG-NZ-00329953,3 Year(s),6.0 IELTS,Bachelor Degree,"['feb', 'july']"
19,New Zealand,https://www.idp.com/global/Categories/Marketing%2C-Media-and-Communication/Animation/Bachelor-of-Design-Innovation-Animation-and-Visual-Effects/p/PRG-NZ-00329959,3 Year(s),6.0 IELTS,Bachelor Degree,['feb']
20,New Zealand,https://www.idp.com/global/Categories/Victoria-University-of-Wellington/Bachelor-of-Communication-Linguistics/p/PRG-NZ-00364944,3 Year(s),6.0 IELTS,Bachelor Degree,['feb']
21,Canada,https://www.idp.com/global/Categories/Fraser-International-College-%28FIC%29/UTP-Stage-II-in-Communication-Art-and-Technology/p/PRG-CA-00106568,1 Year(s),,Foundation for Undergraduate,"['january', 'may', 'september']"
22,United Kingdom,https://www.idp.com/global/Categories/Loughborough-University/MPhil-Media-and-Creative-Industries/p/PRG-UK-00275150,2 Year(s),6.5 IELTS,Masters Degree (Research),"['january', 'april', 'may', 'july', 'october']"
23,United Kingdom,https://www.idp.com/global/Categories/Loughborough-University/MA-Media-and-Creative-Industries/p/PRG-UK-00161542,1 Year(s),6.5 IELTS,Masters Degree (Taught),"['january', 'october']"
24,United Kingdom,https://www.idp.com/global/Categories/King%27s-College-London/MA-Digital-Asset-and-Media-Management/p/PRG-UK-00102584,1 Year(s),7.0 IELTS,Masters Degree (Taught),"['january', 'september']"
25,Australia,https://www.idp.com/global/Categories/RMIT-University/Master-of-Communication-Design/p/PRG-AU-00118007,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'march', 'june', 'july']"
26,United Kingdom,https://www.idp.com/global/Categories/Marketing%2C-Media-and-Communication/Public-relations-%28PR%29/International-Public-Relations-and-Global-Communications-Management-MA/p/PRG-UK-00102048,1 Year(s),7.0 IELTS,Masters Degree (Taught),['october']
27,United Kingdom,https://www.idp.com/global/Categories/University-of-Nottingham/MA-International-Media-and-Communication-Studies/p/PRG-UK-00206002,1 Year(s),7.0 IELTS,Masters Degree (Taught),['september']
28,Canada,https://www.idp.com/global/Categories/Marketing%2C-Media-and-Communication/Public-relations-%28PR%29/Graduate-Certificate-in-Public-Relations-Corporate-Communications/p/PRG-CA-00090672,1 Year(s),6.5 IELTS,Graduate Certificate,"['january', 'may', 'september']"
29,Canada,https://www.idp.com/global/Categories/Humber-Institute-of-Technology-%26-Advanced-Learning/Ontario-Graduate-Certificate-in-Content-Strategy/p/PRG-CA-00283265,2 Semester(s),6.5 IELTS,Graduate Certificate,"['january', 'september']"
30,Australia,https://www.idp.com/global/Categories/Marketing%2C-Media-and-Communication/Journalism/Master-of-Journalism-and-Communication-Journalism-and-Communication-A/p/PRG-AU-00337338,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'may', 'june', 'september']"
