,area of study,course_name,university_name,course_fee,course_link
0,marketing-media-and-communication,Master of Global Media Communication,The University of Melbourne,"AUD 72,960",https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Global-Media-Communication/p/PRG-AU-00061217
1,marketing-media-and-communication,Master of Media Practice,The University of Sydney,"AUD 45,000",https://www.idp.com/global/Categories/The-University-of-Sydney/Master-of-Media-Practice/p/PRG-AU-00118583
2,marketing-media-and-communication,Master of Media Practice,The University of Sydney,"AUD 67,500",https://www.idp.com/global/Categories/Marketing%2C-Media-and-Communication/Master-of-Media-Practice/p/PRG-AU-00331377
3,marketing-media-and-communication,Ontario College Graduate Certificate in Mobile Solutions Development (Opti...,Conestoga College,"CAD 26,000",https://www.idp.com/global/Categories/Conestoga-College/Ontario-College-Graduate-Certificate-in-Mobile-Solutions-Development-Optional-Co-op/p/PRG-CA-00098039
4,marketing-media-and-communication,Master of Management - Journalism,Massey University,"NZD 47,715",https://www.idp.com/global/Categories/Massey-University/Master-of-Management-Journalism/p/PRG-NZ-00371393
5,marketing-media-and-communication,MA Media and Cultural Studies,Lancaster University,"GBP 18,800",https://www.idp.com/global/Categories/Lancaster-University/MA-Media-and-Cultural-Studies/p/PRG-UK-00077482
6,marketing-media-and-communication,Master of Digital Communication and Culture,The University of Sydney,"AUD 63,750",https://www.idp.com/global/Categories/The-University-of-Sydney/Master-of-Digital-Communication-and-Culture/p/PRG-AU-00115214
7,marketing-media-and-communication,Master of Digital Communication and Culture,The University of Sydney,"AUD 42,500",https://www.idp.com/global/Categories/The-University-of-Sydney/Master-of-Digital-Communication-and-Culture/p/PRG-AU-00374326
8,marketing-media-and-communication,MA Film and Television - Research and Production,University of Birmingham,"GBP 20,160",https://www.idp.com/global/Categories/Marketing%2C-Media-and-Communication/Film-and-TV-production/MA-Film-and-Television-Research-and-Production/p/PRG-UK-00073049
9,marketing-media-and-communication,MA Global Media Management,University of Southampton,"GBP 19,850",https://www.idp.com/global/Categories/University-of-Southampton/MA-Global-Media-Management/p/PRG-UK-00106600
10,marketing-media-and-communication,Media and Public Relations MA,Newcastle University,"GBP 19,800",https://www.idp.com/global/Categories/Newcastle-University/Media-and-Public-Relations-MA/p/PRG-UK-00069434
11,marketing-media-and-communication,Graduate Certificate in Public Relations - Corporate Communications,Fanshawe College,"CAD 14,750",https://www.idp.com/global/Categories/Marketing%2C-Media-and-Communication/Public-relations-%28PR%29/Graduate-Certificate-in-Public-Relations-Corporate-Communications/p/PRG-CA-00214374
12,marketing-media-and-communication,Master of Public Relation and Advertising,The University of New South Wales,"AUD 76,320",https://www.idp.com/global/Categories/The-University-of-New-South-Wales/Master-of-Public-Relation-and-Advertising/p/PRG-AU-00157952
13,marketing-media-and-communication,Bachelor of Communication - Literary and Creative Communication,Victoria University of Wellington,"NZD 83,135",https://www.idp.com/global/Categories/Marketing%2C-Media-and-Communication/Bachelor-of-Communication-Literary-and-Creative-Communication/p/PRG-NZ-00329952
