,area of study,course_name,university_name,course_fee,course_link
0,performing-arts-and-music,New Zealand Diploma in Drama (L6),Whitireia New Zealand,"NZD 47,000",https://www.idp.com/global/Categories/Performing-Arts-and-Music/New-Zealand-Diploma-in-Drama-L6/p/PRG-NZ-00335911
1,performing-arts-and-music,New Zealand Diploma in Dance (L6),Whitireia New Zealand,"NZD 47,000",https://www.idp.com/global/Categories/Performing-Arts-and-Music/Dance/New-Zealand-Diploma-in-Dance-L6/p/PRG-NZ-00335910
2,performing-arts-and-music,MA Theatre,Loughborough University,"GBP 19,950",https://www.idp.com/global/Categories/Loughborough-University/MA-Theatre/p/PRG-UK-00340883
3,performing-arts-and-music,MA Music - Performance pathway,University of Birmingham,"GBP 21,060",https://www.idp.com/global/Categories/Performing-Arts-and-Music/Music/MA-Music-Performance-pathway/p/PRG-UK-00104046
4,performing-arts-and-music,Master of Music,The University of Queensland,"AUD 50,136",https://www.idp.com/global/Categories/The-University-of-Queensland/Master-of-Music/p/PRG-AU-00062734
5,performing-arts-and-music,Master of Music Therapy by coursework and research,Victoria University of Wellington,"NZD 59,424",https://www.idp.com/global/Categories/Performing-Arts-and-Music/Music/Master-of-Music-Therapy-by-coursework-and-research/p/PRG-NZ-00330304
6,performing-arts-and-music,Master of Music Therapy by research,Victoria University of Wellington,"NZD 29,712",https://www.idp.com/global/Categories/Performing-Arts-and-Music/Music/Master-of-Music-Therapy-by-research/p/PRG-NZ-00074822
7,performing-arts-and-music,MA in Music Education: Instrumental and Vocal Teaching,University of York,"GBP 18,700",https://www.idp.com/global/Categories/University-of-York/MA-in-Music-Education-Instrumental-and-Vocal-Teaching/p/PRG-UK-00178863
8,performing-arts-and-music,Master of Music in Orchestral Performance,The University of Melbourne,"AUD 67,392",https://www.idp.com/global/Categories/Performing-Arts-and-Music/Music/Master-of-Music-in-Orchestral-Performance/p/PRG-AU-00278642
9,performing-arts-and-music,Master of Music in Performance Teaching,The University of Melbourne,"AUD 50,544",https://www.idp.com/global/Categories/Performing-Arts-and-Music/Music/Master-of-Music-in-Performance-Teaching/p/PRG-AU-00085927
10,performing-arts-and-music,Bachelor of Creative Arts (Dance),Deakin University,"AUD 100,800",https://www.idp.com/global/Categories/Deakin-University/Bachelor-of-Creative-Arts-Dance/p/PRG-AU-00331024
11,performing-arts-and-music,Bachelor of Music (Honours) - Music,The University of New South Wales,"AUD 38,640",https://www.idp.com/global/Categories/The-University-of-New-South-Wales/Bachelor-of-Music-Honours-Music/p/PRG-AU-00291545
12,performing-arts-and-music,Bachelor Music/Education (Secondary),The University of New South Wales,"AUD 193,200",https://www.idp.com/global/Categories/The-University-of-New-South-Wales/Bachelor-MusicEducation-Secondary/p/PRG-AU-00291701
13,performing-arts-and-music,Bachelor of Music (000812G),The University of New South Wales,"AUD 154,560",https://www.idp.com/global/Categories/The-University-of-New-South-Wales/Bachelor-of-Music-000812G/p/PRG-AU-00291812
14,performing-arts-and-music,MA Music Industry Studies,University of Liverpool,"GBP 18,900",https://www.idp.com/global/Categories/Performing-Arts-and-Music/Music/MA-Music-Industry-Studies/p/PRG-UK-00079669
15,performing-arts-and-music,MMus Performance,University of Liverpool,"GBP 18,900",https://www.idp.com/global/Categories/University-of-Liverpool/MMus-Performance/p/PRG-UK-00337751
16,performing-arts-and-music,Ontario College Graduate Certificate in Music Scoring for Screen and Stage,Sheridan College Institute of Technology and Advanced Learning,"CAD 19,975",https://www.idp.com/global/Categories/Sheridan-College-Institute-of-Technology-and-Advanced-Learning/Ontario-College-Graduate-Certificate-in-Music-Scoring-for-Screen-and-Stage/p/PRG-CA-00347656
17,performing-arts-and-music,Doctor of Philosophy in Fine Arts and Music,The University of Melbourne,"AUD 147,328",https://www.idp.com/global/Categories/The-University-of-Melbourne/Doctor-of-Philosophy-in-Fine-Arts-and-Music/p/PRG-AU-00322094
18,performing-arts-and-music,Music (MA),Cardiff University,"GBP 18,450",https://www.idp.com/global/Categories/Cardiff-University/Music-MA/p/PRG-UK-00201207
19,performing-arts-and-music,Bachelor of Creative Industries (Drama and Performance),University of Canberra,"AUD 80,100",https://www.idp.com/global/Categories/University-of-Canberra/Bachelor-of-Creative-Industries-Drama-and-Performance/p/PRG-AU-00368988
20,performing-arts-and-music,Bachelor of Creative Industries (Acting and Performance),University of Canberra,"AUD 80,100",https://www.idp.com/global/Categories/University-of-Canberra/Bachelor-of-Creative-Industries-Acting-and-Performance/p/PRG-AU-00368990
21,performing-arts-and-music,Bachelor of Creative Industries (Contemporary Music Practice),University of Canberra,"AUD 80,100",https://www.idp.com/global/Categories/University-of-Canberra/Bachelor-of-Creative-Industries-Contemporary-Music-Practice/p/PRG-AU-00368989
22,performing-arts-and-music,MRes Music,University of Nottingham,"GBP 19,000",https://www.idp.com/global/Categories/Performing-Arts-and-Music/Music/MRes-Music/p/PRG-UK-00081125
23,performing-arts-and-music,MA Music Management,University of Sheffield,"GBP 24,950",https://www.idp.com/global/Categories/University-of-Sheffield/MA-Music-Management/p/PRG-UK-00084656
24,performing-arts-and-music,Master of Music Studies (Performance),The University of Sydney,"AUD 58,500",https://www.idp.com/global/Categories/Performing-Arts-and-Music/Music/Master-of-Music-Studies-Performance/p/PRG-AU-00063631
25,performing-arts-and-music,Master of Music,University of Canterbury,"NZD 36,500",https://www.idp.com/global/Categories/University-of-Canterbury/Master-of-Music/p/PRG-NZ-00074116
26,performing-arts-and-music,Bachelor of Music,University of Canterbury,"NZD 100,800",https://www.idp.com/global/Categories/University-of-Canterbury/Bachelor-of-Music/p/PRG-NZ-00074135
27,performing-arts-and-music,Master of Fine Arts,The University of Otago,"NZD 27,966",https://www.idp.com/global/Categories/The-University-of-Otago/Master-of-Fine-Arts/p/PRG-NZ-00074655
28,performing-arts-and-music,Bachelor of Fine Arts (4 Years),Thompson Rivers University,"CAD 71,296",https://www.idp.com/global/Categories/Thompson-Rivers-University/Bachelor-of-Fine-Arts-4-Years/p/PRG-CA-00290275
29,performing-arts-and-music,Bachelor of Music - Sonic Arts and Music Technology,Victoria University of Wellington,"NZD 99,540",https://www.idp.com/global/Categories/Victoria-University-of-Wellington/Bachelor-of-Music-Sonic-Arts-and-Music-Technology/p/PRG-NZ-00300067
30,performing-arts-and-music,Bachelor of Music,The University of Waikato,"NZD 94,545",https://www.idp.com/global/Categories/Performing-Arts-and-Music/Music/Bachelor-of-Music/p/PRG-NZ-00073808
31,performing-arts-and-music,Doctor of Musical Arts,The University of Waikato,"NZD 103,029",https://www.idp.com/global/Categories/Performing-Arts-and-Music/Music/Doctor-of-Musical-Arts/p/PRG-NZ-00073912
32,performing-arts-and-music,Diploma in Drama (Screen Acting),Yoobee Colleges,"NZD 43,000",https://www.idp.com/global/Categories/Yoobee-Colleges/Diploma-in-Drama-Screen-Acting/p/PRG-NZ-00359961
33,performing-arts-and-music,Bachelor of Arts / Bachelor of Laws (Honours) Conjoint - Drama,The University of Auckland,"NZD 227,346",https://www.idp.com/global/Categories/Performing-Arts-and-Music/Bachelor-of-Arts-Bachelor-of-Laws-Honours-Conjoint-Drama/p/PRG-NZ-00343684
34,performing-arts-and-music,Bachelor of Arts / Bachelor of Laws (Honours) Conjoint - Music,The University of Auckland,"NZD 227,346",https://www.idp.com/global/Categories/Performing-Arts-and-Music/Music/Bachelor-of-Arts-Bachelor-of-Laws-Honours-Conjoint-Music/p/PRG-NZ-00343745
35,performing-arts-and-music,Bachelor of Music - Music Studies,Victoria University of Wellington,"NZD 99,540",https://www.idp.com/global/Categories/Victoria-University-of-Wellington/Bachelor-of-Music-Music-Studies/p/PRG-NZ-00199613
36,performing-arts-and-music,Postgraduate Diploma in Arts - Theatre,Victoria University of Wellington,"NZD 35,388",https://www.idp.com/global/Categories/Performing-Arts-and-Music/Postgraduate-Diploma-in-Arts-Theatre/p/PRG-NZ-00300762
37,performing-arts-and-music,Postgraduate Diploma in Arts - Music,Victoria University of Wellington,"NZD 29,712",https://www.idp.com/global/Categories/Performing-Arts-and-Music/Music/Postgraduate-Diploma-in-Arts-Music/p/PRG-NZ-00300746
38,performing-arts-and-music,MMus Music,University of Southampton,"GBP 19,850",https://www.idp.com/global/Categories/University-of-Southampton/MMus-Music/p/PRG-UK-00083589
39,performing-arts-and-music,MA International Music Management,University of Southampton,"GBP 19,850",https://www.idp.com/global/Categories/University-of-Southampton/MA-International-Music-Management/p/PRG-UK-00335622
40,performing-arts-and-music,MMus Music (Composition),University of Southampton,"GBP 19,850",https://www.idp.com/global/Categories/University-of-Southampton/MMus-Music-Composition/p/PRG-UK-00374686
41,performing-arts-and-music,MMus Music (Musicology),University of Southampton,"GBP 19,850",https://www.idp.com/global/Categories/University-of-Southampton/MMus-Music-Musicology/p/PRG-UK-00374687
42,performing-arts-and-music,Music MMus,University of Surrey,"GBP 18,600",https://www.idp.com/global/Categories/Performing-Arts-and-Music/Music/Music-MMus/p/PRG-UK-00109229
43,performing-arts-and-music,Bachelor of Music,Monash University,"AUD 99,000",https://www.idp.com/global/Categories/Monash-University/Bachelor-of-Music/p/PRG-AU-00061914
44,performing-arts-and-music,MMus Music (Performance),University of Southampton,"GBP 19,850",https://www.idp.com/global/Categories/University-of-Southampton/MMus-Music-Performance/p/PRG-UK-00374688
45,performing-arts-and-music,Diploma in Digital Visual Effects,Centennial College of Applied Arts and Technology,"CAD 29,005",https://www.idp.com/global/Categories/Centennial-College-of-Applied-Arts-and-Technology/Diploma-in-Digital-Visual-Effects/p/PRG-CA-00164558
46,performing-arts-and-music,Bachelor of Arts in Theatre Arts - Theatre Education,"California State University, Fresno","USD 70,488",https://www.idp.com/global/Categories/California-State-University%2C-Fresno/Bachelor-of-Arts-in-Theatre-Arts-Theatre-Education/p/PRG-US-00356948
47,performing-arts-and-music,Master of Music in Performance - Voice,Duquesne University,"USD 52,680",https://www.idp.com/global/Categories/Duquesne-University/Master-of-Music-in-Performance-Voice/p/PRG-US-00124287
48,performing-arts-and-music,Bachelor of Music in Performance - Voice,Indiana University - Bloomington,"USD 153,256",https://www.idp.com/global/Categories/Performing-Arts-and-Music/Music/Bachelor-of-Music-in-Performance-Voice/p/PRG-US-00129771
49,performing-arts-and-music,Master of Arts in Sound Design,Academy of Art University,"USD 42,876",https://www.idp.com/global/Categories/Performing-Arts-and-Music/Music/Master-of-Arts-in-Sound-Design/p/PRG-US-00185632
50,performing-arts-and-music,Bachelor of Music in Music Performance,DePaul University,"USD 167,256",https://www.idp.com/global/Categories/Performing-Arts-and-Music/Music/Bachelor-of-Music-in-Music-Performance/p/PRG-US-00016303
51,performing-arts-and-music,Master of Fine Arts in Acting,DePaul University,"USD 109,602",https://www.idp.com/global/Categories/DePaul-University/Master-of-Fine-Arts-in-Acting/p/PRG-US-00016396
52,performing-arts-and-music,Master of Arts in Music - Arts Administration,Florida State University,"USD 33,405",https://www.idp.com/global/Categories/Florida-State-University/Master-of-Arts-in-Music-Arts-Administration/p/PRG-US-00020346
53,performing-arts-and-music,Master of Music in Performance,Duquesne University,"USD 52,680",https://www.idp.com/global/Categories/Duquesne-University/Master-of-Music-in-Performance/p/PRG-US-00037055
54,performing-arts-and-music,Bachelor of Fine Arts in Theater Design and Production - Technical Product...,University of Cincinnati,"USD 109,888",https://www.idp.com/global/Categories/University-of-Cincinnati/Bachelor-of-Fine-Arts-in-Theater-Design-and-Production-Technical-Production/p/PRG-US-00045470
55,performing-arts-and-music,Bachelor of Music in Music Performance - Bass Guitar,Duquesne University,"USD 190,648",https://www.idp.com/global/Categories/Duquesne-University/Bachelor-of-Music-in-Music-Performance-Bass-Guitar/p/PRG-US-00316556
56,performing-arts-and-music,Bachelor of Music in Music Performance - Percussion,Duquesne University,"USD 190,648",https://www.idp.com/global/Categories/Duquesne-University/Bachelor-of-Music-in-Music-Performance-Percussion/p/PRG-US-00316561
