,location,course_link,duration,entry_score,course_qualification,intakes
0,United States,https://www.idp.com/global/Categories/All-Pharmacy/Pharmaceutical-Science/Master-of-Science-in-Pharmaceutical-Engineering/p/PRG-US-00019468,3 Semester(s),6.5 IELTS,Masters Degree,"['january', 'september']"
1,United States,https://www.idp.com/global/Categories/All-Pharmacy/Pharmaceutical-Science/Master-of-Science-in-Pharmaceutics-Industrial-Pharmacy/p/PRG-US-00042636,4 Semester(s),6.5 IELTS,Masters Degree,"['january', 'september']"
2,United States,https://www.idp.com/global/Categories/Long-Island-University---Brooklyn/Master-of-Science-in-Pharmacology-and-Toxicology/p/PRG-US-00042634,4 Semester(s),6.5 IELTS,Masters Degree,"['january', 'september']"
3,United States,https://www.idp.com/global/Categories/Northeastern-University/Master-of-Science-in-Pharmacology/p/PRG-US-00016238,4 Semester(s),7.5 IELTS,Masters Degree,['september']
4,United States,https://www.idp.com/global/Categories/Northeastern-University/Master-of-Science-in-Pharmaceutical-Sciences/p/PRG-US-00188957,4 Semester(s),7.5 IELTS,Masters Degree,['september']
5,United Kingdom,https://www.idp.com/global/Categories/All-Pharmacy/Pharmacology/Clinical-Pharmacology-MSc-Med-Sci/p/PRG-UK-00066731,1 Year(s),6.5 IELTS,Masters Degree (Taught),"['january', 'september']"
6,United Kingdom,https://www.idp.com/global/Categories/Coventry-University/MSc-Pharmacology-and-Drug-Discovery/p/PRG-UK-00082265,1 Year(s),6.5 IELTS,Masters Degree (Taught),"['january', 'may', 'september']"
7,United Kingdom,https://www.idp.com/global/Categories/Coventry-University/MSc-Pharmacology-and-Drug-Discovery-with-Professional-Experience/p/PRG-UK-00273420,18 Month(s),7.0 IELTS,Masters Degree (Taught),"['january', 'may', 'september']"
8,United Kingdom,https://www.idp.com/global/Categories/University-of-York/Msc-in-Pharmacology-and-Drug-Development/p/PRG-UK-00341492,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
9,United Kingdom,https://www.idp.com/global/Categories/University-of-York/MSc-in-Pharmacology-and-Education/p/PRG-UK-00374895,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
