,area of study,course_name,university_name,course_fee,course_link
0,pharmacy,Master of Science in Pharmaceutical Engineering,New Jersey Institute of Technology,"USD 45,810",https://www.idp.com/global/Categories/All-Pharmacy/Pharmaceutical-Science/Master-of-Science-in-Pharmaceutical-Engineering/p/PRG-US-00019468
1,pharmacy,Master of Science in Pharmaceutics - Industrial Pharmacy,Long Island University - Brooklyn,"USD 53,136",https://www.idp.com/global/Categories/All-Pharmacy/Pharmaceutical-Science/Master-of-Science-in-Pharmaceutics-Industrial-Pharmacy/p/PRG-US-00042636
2,pharmacy,Master of Science in Pharmacology and Toxicology,Long Island University - Brooklyn,"USD 53,136",https://www.idp.com/global/Categories/Long-Island-University---Brooklyn/Master-of-Science-in-Pharmacology-and-Toxicology/p/PRG-US-00042634
3,pharmacy,Master of Science in Pharmacology,Northeastern University,"USD 46,440",https://www.idp.com/global/Categories/Northeastern-University/Master-of-Science-in-Pharmacology/p/PRG-US-00016238
4,pharmacy,Master of Science in Pharmaceutical Sciences,Northeastern University,"USD 58,392",https://www.idp.com/global/Categories/Northeastern-University/Master-of-Science-in-Pharmaceutical-Sciences/p/PRG-US-00188957
5,pharmacy,Clinical Pharmacology MSc (Med Sci),University of Glasgow,"GBP 23,500",https://www.idp.com/global/Categories/All-Pharmacy/Pharmacology/Clinical-Pharmacology-MSc-Med-Sci/p/PRG-UK-00066731
6,pharmacy,MSc Pharmacology and Drug Discovery,Coventry University,"GBP 16,600",https://www.idp.com/global/Categories/Coventry-University/MSc-Pharmacology-and-Drug-Discovery/p/PRG-UK-00082265
7,pharmacy,MSc Pharmacology and Drug Discovery (with Professional Experience),Coventry University,"GBP 18,950",https://www.idp.com/global/Categories/Coventry-University/MSc-Pharmacology-and-Drug-Discovery-with-Professional-Experience/p/PRG-UK-00273420
8,pharmacy,Msc in Pharmacology and Drug Development,University of York,"GBP 23,300",https://www.idp.com/global/Categories/University-of-York/Msc-in-Pharmacology-and-Drug-Development/p/PRG-UK-00341492
9,pharmacy,MSc in Pharmacology and Education,University of York,"GBP 23,300",https://www.idp.com/global/Categories/University-of-York/MSc-in-Pharmacology-and-Education/p/PRG-UK-00374895
10,pharmacy,Postgraduate Diploma in Science - Pharmacology,The University of Otago,"NZD 37,904",https://www.idp.com/global/Categories/The-University-of-Otago/Postgraduate-Diploma-in-Science-Pharmacology/p/PRG-NZ-00103138
