,location,course_link,duration,entry_score,course_qualification,intakes
0,United States,https://www.idp.com/global/Categories/University-of-Massachusetts---Dartmouth/Master-of-Science-in-Physics/p/PRG-US-00035211,3 Semester(s),6.0 IELTS,Masters Degree,"['january', 'september']"
1,Australia,https://www.idp.com/global/Categories/The-University-of-Queensland/Master-of-Mineral-Resources-Exploration-Geophysics/p/PRG-AU-00272613,1 Year(s),,Masters Degree (Coursework),"['feb', 'july']"
2,United States,https://www.idp.com/global/Categories/New-Jersey-Institute-of-Technology/Master-of-Science-in-Materials-Science-and-Engineering-Materials-Science/p/PRG-US-00326751,3 Semester(s),6.5 IELTS,Masters Degree,"['january', 'september']"
3,New Zealand,https://www.idp.com/global/Categories/The-University-of-Auckland/Doctor-of-Philosophy-Physics/p/PRG-NZ-00219576,3 Year(s),6.5 IELTS,Ph.D.,"['march', 'july']"
4,New Zealand,https://www.idp.com/global/Categories/The-University-of-Auckland/Postgraduate-Diploma-in-Science-Physics/p/PRG-NZ-00220385,1 Year(s),6.5 IELTS,Postgraduate Diploma,"['january', 'feb', 'march', 'july']"
5,New Zealand,https://www.idp.com/global/Categories/The-University-of-Otago/Bachelor-of-Science-with-Honours-Physics/p/PRG-NZ-00103162,1 Year(s),6.0 IELTS,Bachelor Degree with Honours,"['feb', 'july']"
6,New Zealand,https://www.idp.com/global/Categories/The-University-of-Auckland/Bachelor-of-Science-Honours-Physics/p/PRG-NZ-00184679,1 Year(s),6.5 IELTS,Bachelor Degree with Honours,"['feb', 'march', 'july']"
7,New Zealand,https://www.idp.com/global/Categories/AUT/Bachelor-of-Science-Astronomy-and-Space-Science/p/PRG-NZ-00192224,3 Year(s),6.0 IELTS,Bachelor Degree,"['march', 'july']"
8,New Zealand,https://www.idp.com/global/Categories/University-of-Canterbury/Bachelor-of-Science-in-Astronomy/p/PRG-NZ-00193396,3 Year(s),6.0 IELTS,Bachelor Degree,"['feb', 'july']"
9,New Zealand,https://www.idp.com/global/Categories/Physics/Astronomy/Postgraduate-Diploma-in-Science-in-Astronomy/p/PRG-NZ-00196008,1 Year(s),6.5 IELTS,Postgraduate Diploma,"['feb', 'july']"
