,area of study,course_name,university_name,course_fee,course_link
0,physics,Master of Science in Physics,University of Massachusetts - Dartmouth,"USD 44,367",https://www.idp.com/global/Categories/University-of-Massachusetts---Dartmouth/Master-of-Science-in-Physics/p/PRG-US-00035211
1,physics,Master of Mineral Resources - Exploration Geophysics,The University of Queensland,"AUD 61,560",https://www.idp.com/global/Categories/The-University-of-Queensland/Master-of-Mineral-Resources-Exploration-Geophysics/p/PRG-AU-00272613
2,physics,Master of Science in Materials Science and Engineering - Materials Science,New Jersey Institute of Technology,"USD 45,810",https://www.idp.com/global/Categories/New-Jersey-Institute-of-Technology/Master-of-Science-in-Materials-Science-and-Engineering-Materials-Science/p/PRG-US-00326751
3,physics,Doctor of Philosophy - Physics,The University of Auckland,"NZD 21,989",https://www.idp.com/global/Categories/The-University-of-Auckland/Doctor-of-Philosophy-Physics/p/PRG-NZ-00219576
4,physics,Postgraduate Diploma in Science - Physics,The University of Auckland,"NZD 44,310",https://www.idp.com/global/Categories/The-University-of-Auckland/Postgraduate-Diploma-in-Science-Physics/p/PRG-NZ-00220385
5,physics,Bachelor of Science with Honours - Physics,The University of Otago,"NZD 32,394",https://www.idp.com/global/Categories/The-University-of-Otago/Bachelor-of-Science-with-Honours-Physics/p/PRG-NZ-00103162
6,physics,Bachelor of Science (Honours) - Physics,The University of Auckland,"NZD 44,526",https://www.idp.com/global/Categories/The-University-of-Auckland/Bachelor-of-Science-Honours-Physics/p/PRG-NZ-00184679
7,physics,Bachelor of Science - Astronomy and Space Science,AUT,"NZD 106,332",https://www.idp.com/global/Categories/AUT/Bachelor-of-Science-Astronomy-and-Space-Science/p/PRG-NZ-00192224
8,physics,Bachelor of Science in Astronomy,University of Canterbury,"NZD 109,689",https://www.idp.com/global/Categories/University-of-Canterbury/Bachelor-of-Science-in-Astronomy/p/PRG-NZ-00193396
9,physics,Postgraduate Diploma in Science in Astronomy,University of Canterbury,"NZD 39,500",https://www.idp.com/global/Categories/Physics/Astronomy/Postgraduate-Diploma-in-Science-in-Astronomy/p/PRG-NZ-00196008
10,physics,Bachelor of Science in Physics,Virginia Tech,"USD 123,320",https://www.idp.com/global/Categories/Virginia-Tech/Bachelor-of-Science-in-Physics/p/PRG-US-00003963
11,physics,Bachelor of Science in Physics,University of Wisconsin - Madison,"USD 151,140",https://www.idp.com/global/Categories/University-of-Wisconsin---Madison/Bachelor-of-Science-in-Physics/p/PRG-US-00005302
