,location,course_link,duration,entry_score,course_qualification,intakes
0,Australia,https://www.idp.com/global/Categories/The-University-of-Melbourne/Bachelor-of-Arts/p/PRG-AU-00060279,3 Year(s),6.5 IELTS,Bachelor Degree,"['march', 'july', 'august']"
1,Canada,https://www.idp.com/global/Categories/Fraser-International-College-%28FIC%29/UTP-Stage-II-in-Arts-and-Social-Sciences/p/PRG-CA-00075393,1 Year(s),,Foundation for Undergraduate,"['january', 'may', 'september']"
2,Australia,https://www.idp.com/global/Categories/Political-and-Social-Sciences/Studies-in-Human-Society/Master-of-International-Relations-and-Master-of-Security-and-Strategic-Studies/p/PRG-AU-00327013,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'july']"
3,Australia,https://www.idp.com/global/Categories/Political-and-Social-Sciences/Political-Science/Master-of-International-Business-and-Master-of-International-Relations/p/PRG-AU-00327021,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'july']"
4,Australia,https://www.idp.com/global/Categories/Macquarie-University/Master-of-International-Business-and-Master-of-International-Relations/p/PRG-AU-00373911,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'july']"
5,Australia,https://www.idp.com/global/Categories/Political-and-Social-Sciences/Social-Work/Master-of-Social-Work-Graduate-Entry/p/PRG-AU-00065096,2 Year(s),7.0 IELTS,Masters Degree (Coursework),"['march', 'july']"
6,Australia,https://www.idp.com/global/Categories/Monash-University/Master-of-Social-Work/p/PRG-AU-00214979,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'march']"
7,United Kingdom,https://www.idp.com/global/Categories/University-of-Birmingham/MSc-Conflict-Statebuilding-and-Development/p/PRG-UK-00274164,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
8,Australia,https://www.idp.com/global/Categories/The-Australian-National-University/Master-of-International-Relations/p/PRG-AU-00120269,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'july']"
9,United States,https://www.idp.com/global/Categories/Political-and-Social-Sciences/Social-Work/Bachelor-of-Social-Work/p/PRG-US-00008748,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'may', 'august']"
10,United Kingdom,https://www.idp.com/global/Categories/University-of-Manchester/MSc-Human-Resource-Development-International-Development/p/PRG-UK-00069167,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
11,Australia,https://www.idp.com/global/Categories/Macquarie-University/Master-of-International-Relations-and-Master-of-Media-and-Communications/p/PRG-AU-00373921,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'july']"
12,Australia,https://www.idp.com/global/Categories/Political-and-Social-Sciences/Studies-in-Human-Society/Master-of-Public-and-Social-Policy-and-Master-of-Security-and-Strategic-Studies/p/PRG-AU-00326984,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'july']"
13,Australia,https://www.idp.com/global/Categories/Macquarie-University/Master-of-International-Relations-and-Master-of-Public-and-Social-Policy/p/PRG-AU-00326992,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'july']"
14,Australia,https://www.idp.com/global/Categories/Political-and-Social-Sciences/Studies-in-Human-Society/Master-of-International-Trade-and-Commerce-Law-and-Master-of-Public-and-Social-Policy/p/PRG-AU-00326988,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'july']"
15,Australia,https://www.idp.com/global/Categories/Political-and-Social-Sciences/Studies-in-Human-Society/Master-of-International-Relations-and-Master-of-Media-and-Communications/p/PRG-AU-00326993,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'july']"
16,Australia,https://www.idp.com/global/Categories/Political-and-Social-Sciences/Studies-in-Human-Society/Master-of-International-Relations-and-Master-of-Translation-and-Interpreting-Studies/p/PRG-AU-00327001,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'july']"
17,Australia,https://www.idp.com/global/Categories/Political-and-Social-Sciences/Political-Science/Master-of-International-Relations/p/PRG-AU-00116969,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'march', 'june', 'july']"
18,Canada,https://www.idp.com/global/Categories/Political-and-Social-Sciences/Diploma-in-Applied-Social-Sciences-and-Humanities/p/PRG-CA-00292633,2 Year(s),6.5 IELTS,Bachelor Degree,"['january', 'may', 'september']"
19,United States,https://www.idp.com/global/Categories/Political-and-Social-Sciences/Behavioural-Science/Master-of-Science-in-Applied-Behavior-Analysis/p/PRG-US-00357563,4 Semester(s),6.0 IELTS,Masters Degree,"['january', 'june', 'august']"
20,United States,https://www.idp.com/global/Categories/Political-and-Social-Sciences/Behavioural-Science/Master-of-Public-Health-in-Social-and-Behavioral-Sciences/p/PRG-US-00320589,4 Semester(s),6.5 IELTS,Masters Degree,"['january', 'june', 'august']"
21,Australia,https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-International-Relations/p/PRG-AU-00060418,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july', 'august']"
22,Canada,https://www.idp.com/global/Categories/Fleming-College/Diploma-in-Social-Service-Worker/p/PRG-CA-00104896,4 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'may', 'september']"
23,Australia,https://www.idp.com/global/Categories/The-University-of-Sydney/Master-of-International-Relations/p/PRG-AU-00267649,2 Year(s),7.0 IELTS,Masters Degree (Coursework),"['feb', 'march', 'august']"
24,Australia,https://www.idp.com/global/Categories/The-University-of-Sydney/Master-of-International-Relations/p/PRG-AU-00110615,1 Year(s),7.0 IELTS,Masters Degree (Coursework),"['march', 'august']"
25,United Kingdom,https://www.idp.com/global/Categories/Queen-Mary-University-of-London/International-Foundation-Programme-in-Humanities-and-Social-Sciences-Y2GI/p/PRG-UK-00101627,1 Year(s),,Foundation for Undergraduate,['september']
26,United Kingdom,https://www.idp.com/global/Categories/University-of-Manchester/MSc-Human-Resource-Management-International-Development/p/PRG-UK-00068540,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
27,United Kingdom,https://www.idp.com/global/Categories/Political-and-Social-Sciences/Studies-in-Human-Society/International-Foundation-Programme-In-Humanities-and-Social-Sciences-January-Start-Y2GF/p/PRG-UK-00335271,1 Year(s),,Foundation for Undergraduate,['january']
28,United Kingdom,https://www.idp.com/global/Categories/Queen-Mary-University-of-London/FdCert-FT-International-Foundation-Year-in-Politics-and-International-Relations/p/PRG-UK-00369688,1 Year(s),,Foundation for Undergraduate,['january']
29,Australia,https://www.idp.com/global/Categories/University-of-South-Australia/Master-of-Social-Work/p/PRG-AU-00060186,2 Year(s),7.0 IELTS,Masters Degree (Coursework),"['feb', 'march']"
30,Australia,https://www.idp.com/global/Categories/Federation-University-Australia/Master-of-Social-Work-Qualifying/p/PRG-AU-00166525,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july']"
31,New Zealand,https://www.idp.com/global/Categories/Political-and-Social-Sciences/Social-Work/Master-of-Social-Work/p/PRG-NZ-00075069,2 Year(s),7.0 IELTS,Masters Degree (Research),"['march', 'july']"
32,New Zealand,https://www.idp.com/global/Categories/Political-and-Social-Sciences/Social-Work/Master-of-Social-Work-MSW-SCWK-R4MSW/p/PRG-NZ-00353742,2 Year(s),6.5 IELTS,Masters Degree (Research),"['feb', 'march', 'july']"
33,Canada,https://www.idp.com/global/Categories/Political-and-Social-Sciences/Social-Work/Ontario-College-Diploma-in-Social-Service-Worker/p/PRG-CA-00090764,2 Year(s),6.0 IELTS,Bachelor Degree,"['january', 'september']"
34,Australia,https://www.idp.com/global/Categories/Political-and-Social-Sciences/Social-Work/Master-of-Social-Work/p/PRG-AU-00065949,2 Year(s),7.0 IELTS,Masters Degree (Coursework),"['january', 'august']"
