,area of study,course_name,university_name,course_fee,course_link
0,political-and-social-sciences,Bachelor of Arts,The University of Melbourne,"AUD 101,472",https://www.idp.com/global/Categories/The-University-of-Melbourne/Bachelor-of-Arts/p/PRG-AU-00060279
1,political-and-social-sciences,UTP Stage II in Arts and Social Sciences,Fraser International College (FIC),"CAD 29,777",https://www.idp.com/global/Categories/Fraser-International-College-%28FIC%29/UTP-Stage-II-in-Arts-and-Social-Sciences/p/PRG-CA-00075393
2,political-and-social-sciences,Master of International Relations and Master of Security and Strategic Stu...,Macquarie University,"AUD 72,000",https://www.idp.com/global/Categories/Political-and-Social-Sciences/Studies-in-Human-Society/Master-of-International-Relations-and-Master-of-Security-and-Strategic-Studies/p/PRG-AU-00327013
3,political-and-social-sciences,Master of International Business and Master of International Relations,Macquarie University,"AUD 76,800",https://www.idp.com/global/Categories/Political-and-Social-Sciences/Political-Science/Master-of-International-Business-and-Master-of-International-Relations/p/PRG-AU-00327021
4,political-and-social-sciences,Master of International Business and Master of International Relations,Macquarie University,"AUD 96,000",https://www.idp.com/global/Categories/Macquarie-University/Master-of-International-Business-and-Master-of-International-Relations/p/PRG-AU-00373911
5,political-and-social-sciences,Master of Social Work (Graduate Entry),Flinders University,"AUD 72,400",https://www.idp.com/global/Categories/Political-and-Social-Sciences/Social-Work/Master-of-Social-Work-Graduate-Entry/p/PRG-AU-00065096
6,political-and-social-sciences,Master of Social Work,Monash University,"AUD 68,400",https://www.idp.com/global/Categories/Monash-University/Master-of-Social-Work/p/PRG-AU-00214979
7,political-and-social-sciences,"MSc Conflict, Statebuilding and Development",University of Birmingham,"GBP 21,060",https://www.idp.com/global/Categories/University-of-Birmingham/MSc-Conflict-Statebuilding-and-Development/p/PRG-UK-00274164
8,political-and-social-sciences,Master of International Relations,The Australian National University,"AUD 93,820",https://www.idp.com/global/Categories/The-Australian-National-University/Master-of-International-Relations/p/PRG-AU-00120269
9,political-and-social-sciences,Bachelor of Social Work,Colorado State University,"USD 126,848",https://www.idp.com/global/Categories/Political-and-Social-Sciences/Social-Work/Bachelor-of-Social-Work/p/PRG-US-00008748
10,political-and-social-sciences,MSc Human Resource Development (International Development),University of Manchester,"GBP 20,500",https://www.idp.com/global/Categories/University-of-Manchester/MSc-Human-Resource-Development-International-Development/p/PRG-UK-00069167
11,political-and-social-sciences,Master of International Relations and Master of Media and Communications,Macquarie University,"AUD 71,200",https://www.idp.com/global/Categories/Macquarie-University/Master-of-International-Relations-and-Master-of-Media-and-Communications/p/PRG-AU-00373921
12,political-and-social-sciences,Master of Public and Social Policy and Master of Security and Strategic St...,Macquarie University,"AUD 71,200",https://www.idp.com/global/Categories/Political-and-Social-Sciences/Studies-in-Human-Society/Master-of-Public-and-Social-Policy-and-Master-of-Security-and-Strategic-Studies/p/PRG-AU-00326984
13,political-and-social-sciences,Master of International Relations and Master of Public and Social Policy,Macquarie University,"AUD 71,200",https://www.idp.com/global/Categories/Macquarie-University/Master-of-International-Relations-and-Master-of-Public-and-Social-Policy/p/PRG-AU-00326992
14,political-and-social-sciences,Master of International Trade and Commerce Law and Master of Public and So...,Macquarie University,"AUD 72,800",https://www.idp.com/global/Categories/Political-and-Social-Sciences/Studies-in-Human-Society/Master-of-International-Trade-and-Commerce-Law-and-Master-of-Public-and-Social-Policy/p/PRG-AU-00326988
15,political-and-social-sciences,Master of International Relations and Master of Media and Communications,Macquarie University,"AUD 89,000",https://www.idp.com/global/Categories/Political-and-Social-Sciences/Studies-in-Human-Society/Master-of-International-Relations-and-Master-of-Media-and-Communications/p/PRG-AU-00326993
16,political-and-social-sciences,Master of International Relations and Master of Translation and Interpreti...,Macquarie University,"AUD 88,000",https://www.idp.com/global/Categories/Political-and-Social-Sciences/Studies-in-Human-Society/Master-of-International-Relations-and-Master-of-Translation-and-Interpreting-Studies/p/PRG-AU-00327001
17,political-and-social-sciences,Master of International Relations,Monash University,"AUD 69,400",https://www.idp.com/global/Categories/Political-and-Social-Sciences/Political-Science/Master-of-International-Relations/p/PRG-AU-00116969
18,political-and-social-sciences,Diploma in Applied Social Sciences and Humanities,Langara College,"CAD 37,524",https://www.idp.com/global/Categories/Political-and-Social-Sciences/Diploma-in-Applied-Social-Sciences-and-Humanities/p/PRG-CA-00292633
19,political-and-social-sciences,Master of Science in Applied Behavior Analysis,University of Alabama in Huntsville,"USD 48,860",https://www.idp.com/global/Categories/Political-and-Social-Sciences/Behavioural-Science/Master-of-Science-in-Applied-Behavior-Analysis/p/PRG-US-00357563
20,political-and-social-sciences,Master of Public Health in Social and Behavioral Sciences,Kent State University,"USD 40,665",https://www.idp.com/global/Categories/Political-and-Social-Sciences/Behavioural-Science/Master-of-Public-Health-in-Social-and-Behavioral-Sciences/p/PRG-US-00320589
21,political-and-social-sciences,Master of International Relations,The University of Melbourne,"AUD 73,216",https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-International-Relations/p/PRG-AU-00060418
22,political-and-social-sciences,Diploma in Social Service Worker,Fleming College,"CAD 33,487",https://www.idp.com/global/Categories/Fleming-College/Diploma-in-Social-Service-Worker/p/PRG-CA-00104896
23,political-and-social-sciences,Master of International Relations,The University of Sydney,"AUD 88,000",https://www.idp.com/global/Categories/The-University-of-Sydney/Master-of-International-Relations/p/PRG-AU-00267649
24,political-and-social-sciences,Master of International Relations,The University of Sydney,"AUD 44,000",https://www.idp.com/global/Categories/The-University-of-Sydney/Master-of-International-Relations/p/PRG-AU-00110615
25,political-and-social-sciences,International Foundation Programme in Humanities and Social Sciences - Y2G...,Queen Mary University of London,"GBP 18,750",https://www.idp.com/global/Categories/Queen-Mary-University-of-London/International-Foundation-Programme-in-Humanities-and-Social-Sciences-Y2GI/p/PRG-UK-00101627
26,political-and-social-sciences,MSc Human Resource Management (International Development),University of Manchester,"GBP 22,500",https://www.idp.com/global/Categories/University-of-Manchester/MSc-Human-Resource-Management-International-Development/p/PRG-UK-00068540
27,political-and-social-sciences,International Foundation Programme In Humanities and Social Sciences Janua...,Queen Mary University of London,"GBP 18,750",https://www.idp.com/global/Categories/Political-and-Social-Sciences/Studies-in-Human-Society/International-Foundation-Programme-In-Humanities-and-Social-Sciences-January-Start-Y2GF/p/PRG-UK-00335271
28,political-and-social-sciences,FdCert FT International Foundation Year in Politics and International Rela...,Queen Mary University of London,,https://www.idp.com/global/Categories/Queen-Mary-University-of-London/FdCert-FT-International-Foundation-Year-in-Politics-and-International-Relations/p/PRG-UK-00369688
29,political-and-social-sciences,Master of Social Work,University of South Australia,"AUD 63,800",https://www.idp.com/global/Categories/University-of-South-Australia/Master-of-Social-Work/p/PRG-AU-00060186
30,political-and-social-sciences,Master of Social Work (Qualifying),Federation University Australia,"AUD 52,400",https://www.idp.com/global/Categories/Federation-University-Australia/Master-of-Social-Work-Qualifying/p/PRG-AU-00166525
31,political-and-social-sciences,Master of Social Work,The University of Auckland,"NZD 70,096",https://www.idp.com/global/Categories/Political-and-Social-Sciences/Social-Work/Master-of-Social-Work/p/PRG-NZ-00075069
32,political-and-social-sciences,Master of Social Work (MSW-SCWK-R4MSW),The University of Auckland,"NZD 70,096",https://www.idp.com/global/Categories/Political-and-Social-Sciences/Social-Work/Master-of-Social-Work-MSW-SCWK-R4MSW/p/PRG-NZ-00353742
33,political-and-social-sciences,Ontario College Diploma in Social Service Worker,Sheridan College Institute of Technology and Advanced Learning,"CAD 33,896",https://www.idp.com/global/Categories/Political-and-Social-Sciences/Social-Work/Ontario-College-Diploma-in-Social-Service-Worker/p/PRG-CA-00090764
34,political-and-social-sciences,Master of Social Work,The University of Melbourne,"AUD 89,360",https://www.idp.com/global/Categories/Political-and-Social-Sciences/Social-Work/Master-of-Social-Work/p/PRG-AU-00065949
