,location,course_link,duration,entry_score,course_qualification,intakes
0,Australia,https://www.idp.com/global/Categories/Victorian-Government-Schools/Secondary-Junior-Secondary-Year-7-10/p/PRG-AU-00064236,4 Year(s),,Secondary School,"['january', 'april', 'july', 'october']"
1,Australia,https://www.idp.com/global/Categories/NSW-Department-of-Education/Junior-Secondary-Years-7-to-10/p/PRG-AU-00064917,4 Year(s),,Secondary School,"['january', 'april', 'july', 'october']"
2,United States,https://www.idp.com/global/Categories/Louisiana-State-University---Shorelight/Academic-Accelerator-Program-AAP/p/PRG-US-00177913,2 Semester(s),,Foundation for Undergraduate,"['january', 'august']"
3,United Kingdom,https://www.idp.com/global/Categories/University-of-Birmingham/MA-Teaching-English-to-Speakers-of-Other-Languages-TESOL/p/PRG-UK-00169724,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
4,Australia,https://www.idp.com/global/Categories/NSW-Department-of-Education/Senior-Secondary-Years-11-and-12/p/PRG-AU-00064060,2 Year(s),,Secondary School,"['january', 'april']"
5,Australia,https://www.idp.com/global/Categories/Victorian-Government-Schools/Secondary-Senior-Secondary-Year-11-12/p/PRG-AU-00201246,2 Year(s),,Secondary School,"['january', 'april', 'july', 'october']"
6,Australia,https://www.idp.com/global/Categories/Victorian-Government-Schools/Secondary-Senior-Secondary-Year-10-12/p/PRG-AU-00328382,3 Year(s),,Secondary School,"['january', 'april', 'july', 'october']"
7,New Zealand,https://www.idp.com/global/Categories/The-University-of-Waikato/Certificate-of-Attainment-in-Foundation-Studies-Standard/p/PRG-NZ-00232698,2 Semester(s),,Foundation,"['march', 'july', 'november']"
8,Australia,https://www.idp.com/global/Categories/Teaching-and-Education/Teaching/Master-of-TESOL/p/PRG-AU-00268590,1 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'march', 'june', 'july']"
9,Australia,https://www.idp.com/global/Categories/Monash-University/Master-of-TESOL/p/PRG-AU-00119004,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'march', 'june', 'july']"
10,Australia,https://www.idp.com/global/Categories/UTS-College/UTS-Foundation-Studies-Standard-Std/p/PRG-AU-00119095,8 Month(s),,Foundation,"['feb', 'march', 'june', 'september', 'october']"
11,Australia,https://www.idp.com/global/Categories/UTS-College/UTS-Foundation-Studies-Extended-Ext/p/PRG-AU-00119414,12 Month(s),,Foundation,"['feb', 'march', 'june', 'september', 'october']"
12,Canada,https://www.idp.com/global/Categories/Fanshawe-College/Graduate-Certificate-in-Teaching-English-to-Speakers-of-Other-Languages-and-Intercultural-Competence/p/PRG-CA-00325739,1 Year(s),6.5 IELTS,Graduate Certificate,['september']
13,United States,https://www.idp.com/global/Categories/Louisiana-State-University---Shorelight/LSU-Extended-Accelerator-Program-EAP/p/PRG-US-00177354,3 Semester(s),,Foundation for Undergraduate,"['january', 'may', 'august']"
14,United States,https://www.idp.com/global/Categories/University-of-South-Carolina---Shorelight/Academic-Accelerator-Program-AAP/p/PRG-US-00177793,2 Semester(s),,Foundation for Undergraduate,"['january', 'may', 'august']"
15,Australia,https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Teaching-in-Early-Childhood/p/PRG-AU-00061010,2 Year(s),7.0 IELTS,Masters Degree (Coursework),"['march', 'july']"
16,United Kingdom,https://www.idp.com/global/Categories/University-of-Nottingham/MA-Teaching-English-to-Speakers-of-Other-Languages-TESOL/p/PRG-UK-00081069,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
17,United Kingdom,https://www.idp.com/global/Categories/University-of-York/MA-Teaching-English-to-Speakers-of-Other-Languages/p/PRG-UK-00160877,1 Year(s),7.0 IELTS,Masters Degree (Taught),['september']
18,Australia,https://www.idp.com/global/Categories/Education-Queensland-International/Junior-High-School-Years-7-10/p/PRG-AU-00120067,4 Year(s),,Secondary School,"['january', 'april', 'july', 'october']"
19,Australia,https://www.idp.com/global/Categories/Education-Queensland-International/Junior-High-School-Years-7-10-Regional-Study-Abroad/p/PRG-AU-00341093,4 Year(s),,Secondary School,"['january', 'april', 'july', 'october']"
20,Australia,https://www.idp.com/global/Categories/Education-Queensland-International/Junior-High-School-Year-10/p/PRG-AU-00342250,1 Year(s),,Secondary School,"['january', 'april', 'july', 'october']"
21,Australia,https://www.idp.com/global/Categories/Victorian-Government-Schools/Primary-Prep-to-Year-6/p/PRG-AU-00060508,7 Year(s),,Primary School,"['january', 'april', 'july', 'october']"
22,Canada,https://www.idp.com/global/Categories/Columbia-International-College/High-School-Program/p/PRG-CA-00099850,2 Year(s),,Secondary School,"['january', 'june', 'august']"
23,Australia,https://www.idp.com/global/Categories/The-University-of-Sydney/Master-of-Education-TESOL/p/PRG-AU-00140934,1 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'march', 'august']"
24,United States,https://www.idp.com/global/Categories/University-of-Kansas---Shorelight/Integrated-Accelerator-Program-IAP/p/PRG-US-00242620,2 Semester(s),,Foundation for Undergraduate,"['january', 'may', 'august']"
25,Australia,https://www.idp.com/global/Categories/Education-Queensland-International/Senior-High-School-Year-11-12/p/PRG-AU-00120070,2 Year(s),,Secondary School,"['january', 'april', 'july', 'october']"
26,New Zealand,https://www.idp.com/global/Categories/Victoria-University-of-Wellington/Foundation-Studies-Programme-Standard-Plus/p/PRG-NZ-00100626,1 Year(s),,Foundation,['april']
27,Australia,https://www.idp.com/global/Categories/Monash-University/Master-of-Teaching-in-Early-Childhood-Education/p/PRG-AU-00116917,2 Year(s),7.0 IELTS,Masters Degree (Coursework),"['feb', 'march']"
28,Canada,https://www.idp.com/global/Categories/Canadore-College-of-Applied-Arts-and-Technology/Ontario-College-Diploma-in-Early-Childhood-Education/p/PRG-CA-00092068,2 Year(s),5.5 IELTS,Bachelor Degree,"['january', 'may', 'september']"
