,area of study,course_name,university_name,course_fee,course_link
0,teaching-and-education,Secondary - Junior Secondary (Year 7-10),Victorian Government Schools,"AUD 64,780",https://www.idp.com/global/Categories/Victorian-Government-Schools/Secondary-Junior-Secondary-Year-7-10/p/PRG-AU-00064236
1,teaching-and-education,Junior Secondary (Years 7 to 10),NSW Department of Education,"AUD 59,200",https://www.idp.com/global/Categories/NSW-Department-of-Education/Junior-Secondary-Years-7-to-10/p/PRG-AU-00064917
2,teaching-and-education,Academic Accelerator Program (AAP),Louisiana State University - Shorelight,"USD 14,850",https://www.idp.com/global/Categories/Louisiana-State-University---Shorelight/Academic-Accelerator-Program-AAP/p/PRG-US-00177913
3,teaching-and-education,MA Teaching English to Speakers of Other Languages (TESOL),University of Birmingham,"GBP 20,160",https://www.idp.com/global/Categories/University-of-Birmingham/MA-Teaching-English-to-Speakers-of-Other-Languages-TESOL/p/PRG-UK-00169724
4,teaching-and-education,Senior Secondary (Years 11 and 12),NSW Department of Education,"AUD 33,200",https://www.idp.com/global/Categories/NSW-Department-of-Education/Senior-Secondary-Years-11-and-12/p/PRG-AU-00064060
5,teaching-and-education,Secondary - Senior Secondary (Year 11-12),Victorian Government Schools,"AUD 36,326",https://www.idp.com/global/Categories/Victorian-Government-Schools/Secondary-Senior-Secondary-Year-11-12/p/PRG-AU-00201246
6,teaching-and-education,Secondary - Senior Secondary (Year 10-12),Victorian Government Schools,"AUD 52,521",https://www.idp.com/global/Categories/Victorian-Government-Schools/Secondary-Senior-Secondary-Year-10-12/p/PRG-AU-00328382
7,teaching-and-education,Certificate of Attainment in Foundation Studies (Standard),The University of Waikato,"NZD 23,000",https://www.idp.com/global/Categories/The-University-of-Waikato/Certificate-of-Attainment-in-Foundation-Studies-Standard/p/PRG-NZ-00232698
8,teaching-and-education,Master of TESOL,Monash University,"AUD 52,350",https://www.idp.com/global/Categories/Teaching-and-Education/Teaching/Master-of-TESOL/p/PRG-AU-00268590
9,teaching-and-education,Master of TESOL,Monash University,"AUD 69,800",https://www.idp.com/global/Categories/Monash-University/Master-of-TESOL/p/PRG-AU-00119004
10,teaching-and-education,UTS Foundation Studies Standard (Std),UTS College,"AUD 28,000",https://www.idp.com/global/Categories/UTS-College/UTS-Foundation-Studies-Standard-Std/p/PRG-AU-00119095
11,teaching-and-education,UTS Foundation Studies Extended (Ext),UTS College,"AUD 40,000",https://www.idp.com/global/Categories/UTS-College/UTS-Foundation-Studies-Extended-Ext/p/PRG-AU-00119414
12,teaching-and-education,Graduate Certificate in Teaching English to Speakers of Other Languages an...,Fanshawe College,"CAD 14,046",https://www.idp.com/global/Categories/Fanshawe-College/Graduate-Certificate-in-Teaching-English-to-Speakers-of-Other-Languages-and-Intercultural-Competence/p/PRG-CA-00325739
13,teaching-and-education,LSU Extended Accelerator Program (EAP),Louisiana State University - Shorelight,"USD 22,275",https://www.idp.com/global/Categories/Louisiana-State-University---Shorelight/LSU-Extended-Accelerator-Program-EAP/p/PRG-US-00177354
14,teaching-and-education,Academic Accelerator Program (AAP),University of South Carolina - Shorelight,"USD 36,158",https://www.idp.com/global/Categories/University-of-South-Carolina---Shorelight/Academic-Accelerator-Program-AAP/p/PRG-US-00177793
15,teaching-and-education,Master of Teaching in Early Childhood,The University of Melbourne,"AUD 78,528",https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Teaching-in-Early-Childhood/p/PRG-AU-00061010
16,teaching-and-education,MA Teaching English to Speakers of Other Languages (TESOL),University of Nottingham,"GBP 22,000",https://www.idp.com/global/Categories/University-of-Nottingham/MA-Teaching-English-to-Speakers-of-Other-Languages-TESOL/p/PRG-UK-00081069
17,teaching-and-education,MA Teaching English to Speakers of Other Languages,University of York,"GBP 18,700",https://www.idp.com/global/Categories/University-of-York/MA-Teaching-English-to-Speakers-of-Other-Languages/p/PRG-UK-00160877
18,teaching-and-education,Junior High School (Years 7 - 10),Education Queensland International,"AUD 59,616",https://www.idp.com/global/Categories/Education-Queensland-International/Junior-High-School-Years-7-10/p/PRG-AU-00120067
