,location,course_link,duration,entry_score,course_qualification,intakes
0,United Kingdom,https://www.idp.com/global/Categories/All-Accounting/Accounting/MSc-International-Accounting-and-Finance/p/PRG-UK-00073095,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
1,United Kingdom,https://www.idp.com/global/Categories/University-of-Birmingham/MSc-International-Accounting-and-Finance-Pathway-2/p/PRG-UK-00274914,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
2,United Kingdom,https://www.idp.com/global/Categories/All-Accounting/Accounting/MSc-International-Accounting-and-Finance-Pathway-3/p/PRG-UK-00274915,16 Month(s),6.5 IELTS,Masters Degree (Taught),['september']
3,United Kingdom,https://www.idp.com/global/Categories/University-of-Birmingham/MSc-Accounting-and-Finance-Pathway-2/p/PRG-UK-00364501,1 Year(s),7.0 IELTS,Masters Degree (Taught),['september']
4,United Kingdom,https://www.idp.com/global/Categories/University-of-Birmingham/MSc-Accounting-and-Finance-Pathway-3/p/PRG-UK-00364502,16 Month(s),7.0 IELTS,Masters Degree (Taught),['september']
5,Australia,https://www.idp.com/global/Categories/The-University-of-Sydney/Master-of-Professional-Accounting/p/PRG-AU-00100722,2 Year(s),7.0 IELTS,Masters Degree (Coursework),"['feb', 'march', 'august']"
6,United Kingdom,https://www.idp.com/global/Categories/University-of-Nottingham/Accounting-and-Finance-MSc/p/PRG-UK-00157853,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
7,Australia,https://www.idp.com/global/Categories/Monash-University/Master-of-Professional-Accounting/p/PRG-AU-00202965,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'march', 'june', 'july']"
8,Australia,https://www.idp.com/global/Categories/The-Australian-National-University/Master-of-Accounting/p/PRG-AU-00063908,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'july']"
9,United Kingdom,https://www.idp.com/global/Categories/Lancaster-University/Accounting-and-Financial-Management-MSc/p/PRG-UK-00077559,1 Year(s),7.0 IELTS,Masters Degree (Taught),['october']
10,Australia,https://www.idp.com/global/Categories/The-University-of-New-South-Wales/Master-of-Commerce-Extension-Accounting/p/PRG-AU-00063117,2 Year(s),7.0 IELTS,Masters Degree (Coursework),"['feb', 'may', 'june', 'september']"
11,Australia,https://www.idp.com/global/Categories/All-Accounting/Accounting/Master-of-Commerce-Professional-Accounting/p/PRG-AU-00115745,2 Year(s),,Masters Degree (Coursework),"['feb', 'july']"
