,area of study,course_name,university_name,course_fee,course_link
0,accounting,MSc International Accounting and Finance,University of Birmingham,"GBP 23,580",https://www.idp.com/global/Categories/All-Accounting/Accounting/MSc-International-Accounting-and-Finance/p/PRG-UK-00073095
1,accounting,MSc International Accounting and Finance (Pathway 2),University of Birmingham,"GBP 23,580",https://www.idp.com/global/Categories/University-of-Birmingham/MSc-International-Accounting-and-Finance-Pathway-2/p/PRG-UK-00274914
2,accounting,MSc International Accounting and Finance (Pathway 3),University of Birmingham,"GBP 31,440",https://www.idp.com/global/Categories/All-Accounting/Accounting/MSc-International-Accounting-and-Finance-Pathway-3/p/PRG-UK-00274915
3,accounting,MSc Accounting and Finance Pathway 2,University of Birmingham,"GBP 29,733",https://www.idp.com/global/Categories/University-of-Birmingham/MSc-Accounting-and-Finance-Pathway-2/p/PRG-UK-00364501
4,accounting,MSc Accounting and Finance Pathway 3,University of Birmingham,"GBP 42,968",https://www.idp.com/global/Categories/University-of-Birmingham/MSc-Accounting-and-Finance-Pathway-3/p/PRG-UK-00364502
5,accounting,Master of Professional Accounting,The University of Sydney,"AUD 103,000",https://www.idp.com/global/Categories/The-University-of-Sydney/Master-of-Professional-Accounting/p/PRG-AU-00100722
6,accounting,Accounting and Finance MSc,University of Nottingham,"GBP 30,000",https://www.idp.com/global/Categories/University-of-Nottingham/Accounting-and-Finance-MSc/p/PRG-UK-00157853
7,accounting,Master of Professional Accounting,Monash University,"AUD 91,600",https://www.idp.com/global/Categories/Monash-University/Master-of-Professional-Accounting/p/PRG-AU-00202965
8,accounting,Master of Accounting,The Australian National University,"AUD 88,940",https://www.idp.com/global/Categories/The-Australian-National-University/Master-of-Accounting/p/PRG-AU-00063908
9,accounting,Accounting and Financial Management MSc,Lancaster University,"GBP 23,000",https://www.idp.com/global/Categories/Lancaster-University/Accounting-and-Financial-Management-MSc/p/PRG-UK-00077559
