,area of study,course_name,university_name,course_fee,course_link
0,chemistry,Diploma in Engineering - Chemical Engineering,UNSW Global Pty Ltd Foundation Year,"AUD 43,200",https://www.idp.com/global/Categories/Chemistry/Chemical-Engineering/Diploma-in-Engineering-Chemical-Engineering/p/PRG-AU-00329692
1,chemistry,Diploma in Engineering - Chemical Product Engineering,UNSW Global Pty Ltd Foundation Year,"AUD 43,200",https://www.idp.com/global/Categories/UNSW-Global-Pty-Ltd-Foundation-Year/Diploma-in-Engineering-Chemical-Product-Engineering/p/PRG-AU-00329698
2,chemistry,Ontario College Diploma in Chemical Laboratory Technician,Sheridan College Institute of Technology and Advanced Learning,"CAD 34,570",https://www.idp.com/global/Categories/Sheridan-College-Institute-of-Technology-and-Advanced-Learning/Ontario-College-Diploma-in-Chemical-Laboratory-Technician/p/PRG-CA-00090793
3,chemistry,Masters/MSc/PGDip Advanced Chemical Engineering,University of Birmingham,"GBP 24,480",https://www.idp.com/global/Categories/University-of-Birmingham/MastersMScPGDip-Advanced-Chemical-Engineering/p/PRG-UK-00073094
4,chemistry,Masters/MSc/PGDip Advanced Chemical Engineering with Healthcare Technology,University of Birmingham,"GBP 24,480",https://www.idp.com/global/Categories/University-of-Birmingham/MastersMScPGDip-Advanced-Chemical-Engineering-with-Healthcare-Technology/p/PRG-UK-00335686
5,chemistry,Masters/MSc/PGDip Advanced Chemical Engineering with Energy,University of Birmingham,"GBP 24,480",https://www.idp.com/global/Categories/Chemistry/Chemical-Engineering/MastersMScPGDip-Advanced-Chemical-Engineering-with-Energy/p/PRG-UK-00335684
6,chemistry,Masters/MSc/PGDip Advanced Chemical Engineering with Bioprocessing,University of Birmingham,"GBP 24,480",https://www.idp.com/global/Categories/University-of-Birmingham/MastersMScPGDip-Advanced-Chemical-Engineering-with-Bioprocessing/p/PRG-UK-00335690
7,chemistry,Masters/MSc/PGDip Advanced Chemical Engineering with Formulation,University of Birmingham,"GBP 24,480",https://www.idp.com/global/Categories/Chemistry/Chemical-Engineering/MastersMScPGDip-Advanced-Chemical-Engineering-with-Formulation/p/PRG-UK-00335691
8,chemistry,Master of Engineering in Chemical,The University of Melbourne,"AUD 89,472",https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Engineering-in-Chemical/p/PRG-AU-00369110
9,chemistry,Master of Engineering in Chemical,The University of Melbourne,"AUD 134,208",https://www.idp.com/global/Categories/Chemistry/Chemical-Engineering/Master-of-Engineering-in-Chemical/p/PRG-AU-00157862
10,chemistry,Master of Engineering in Chemical,The University of Melbourne,"AUD 134,208",https://www.idp.com/global/Categories/Chemistry/Chemical-Engineering/Master-of-Engineering-in-Chemical/p/PRG-AU-00157862
11,chemistry,Bachelor of Engineering (Honours) - Chemical Engineering,The University of Queensland,"AUD 180,480",https://www.idp.com/global/Categories/The-University-of-Queensland/Bachelor-of-Engineering-Honours-Chemical-Engineering/p/PRG-AU-00121112
12,chemistry,Master of Professional Engineering - Chemical Engineering,The University of Western Australia,"AUD 84,400",https://www.idp.com/global/Categories/The-University-of-Western-Australia/Master-of-Professional-Engineering-Chemical-Engineering/p/PRG-AU-00163027
13,chemistry,Bachelor of Science in Chemical Engineering,Pennsylvania State University - University Park,"USD 139,936",https://www.idp.com/global/Categories/Chemistry/Chemical-Engineering/Bachelor-of-Science-in-Chemical-Engineering/p/PRG-US-00023236
14,chemistry,Master of Science (Research) - Chemistry,AUT,"NZD 76,004",https://www.idp.com/global/Categories/Chemistry/Chemical-Sciences/Master-of-Science-Research-Chemistry/p/PRG-NZ-00302827
15,chemistry,Doctor of Philosophy in Chemistry,University of Canterbury,"NZD 21,297",https://www.idp.com/global/Categories/University-of-Canterbury/Doctor-of-Philosophy-in-Chemistry/p/PRG-NZ-00196122
16,chemistry,Master of Professional Engineering (Chemical and Biomolecular),The University of Sydney,"AUD 142,500",https://www.idp.com/global/Categories/The-University-of-Sydney/Master-of-Professional-Engineering-Chemical-and-Biomolecular/p/PRG-AU-00059355
17,chemistry,Master of Engineering (Chemical and Biomolecular Engineering),The University of Sydney,"AUD 71,250",https://www.idp.com/global/Categories/The-University-of-Sydney/Master-of-Engineering-Chemical-and-Biomolecular-Engineering/p/PRG-AU-00146651
18,chemistry,MSc Advanced Chemical Engineering,University of Southampton,"GBP 24,400",https://www.idp.com/global/Categories/University-of-Southampton/MSc-Advanced-Chemical-Engineering/p/PRG-UK-00305091
19,chemistry,Master of Science in Chemistry,The University of Melbourne,"AUD 88,512",https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Science-in-Chemistry/p/PRG-AU-00109935
20,chemistry,Master of Engineering in Chemical Engineering,University of Ottawa,"CAD 67,743",https://www.idp.com/global/Categories/University-of-Ottawa/Master-of-Engineering-in-Chemical-Engineering/p/PRG-CA-00086937
21,chemistry,B.Eng Chemical Engineering - University of Sheffield,Study Group UK,"GBP 67,800",https://www.idp.com/global/Categories/Study-Group-UK/BEng-Chemical-Engineering-University-of-Sheffield/p/PRG-UK-00213352
22,chemistry,Master of Science in Chemical Engineering,New Jersey Institute of Technology,"USD 45,810",https://www.idp.com/global/Categories/New-Jersey-Institute-of-Technology/Master-of-Science-in-Chemical-Engineering/p/PRG-US-00019467
23,chemistry,Master of Engineering (Chemical),The University of Adelaide,"AUD 89,000",https://www.idp.com/global/Categories/The-University-of-Adelaide/Master-of-Engineering-Chemical/p/PRG-AU-00061597
24,chemistry,Bachelor of Science in Chemical Engineering (Co-Op),University of Alberta,"CAD 197,500",https://www.idp.com/global/Categories/Chemistry/Chemical-Engineering/Bachelor-of-Science-in-Chemical-Engineering-Co-Op/p/PRG-CA-00119145
25,chemistry,Bachelor of Engineering (Chemical Engineering) (Honours),RMIT University,"AUD 157,440",https://www.idp.com/global/Categories/Chemistry/Chemical-Engineering/Bachelor-of-Engineering-Chemical-Engineering-Honours/p/PRG-AU-00110359
26,chemistry,Bachelor of Engineering with Honours in Chemical and Process Engineering,University of Canterbury,"NZD 176,000",https://www.idp.com/global/Categories/University-of-Canterbury/Bachelor-of-Engineering-with-Honours-in-Chemical-and-Process-Engineering/p/PRG-NZ-00200653
27,chemistry,Bachelor of Engineering (Honours) (Chemical Engineering),Curtin University,"AUD 144,400",https://www.idp.com/global/Categories/Chemistry/Chemical-Engineering/Bachelor-of-Engineering-Honours-Chemical-Engineering/p/PRG-AU-00142834
