,location,course_link,duration,entry_score,course_qualification,intakes
0,United States,https://www.idp.com/global/Categories/Computing-and-IT/Computer-Science/Master-of-Science-in-Computer-Science/p/PRG-US-00009461,4 Semester(s),5.5 IELTS,Masters Degree,"['january', 'march', 'may', 'september']"
1,United States,https://www.idp.com/global/Categories/Valparaiso-University/Master-of-Science-in-Information-Technology-Computing/p/PRG-US-00009172,3 Semester(s),6.0 IELTS,Masters Degree,"['january', 'may', 'august']"
2,United States,https://www.idp.com/global/Categories/Valparaiso-University/Master-of-Science-in-Information-Technology/p/PRG-US-00314851,3 Semester(s),6.0 IELTS,Masters Degree,"['january', 'may', 'august']"
3,United States,https://www.idp.com/global/Categories/Computing-and-IT/Information-Systems/Master-of-Science-in-Computer-Information-Systems/p/PRG-US-00009460,4 Semester(s),5.5 IELTS,Masters Degree,"['january', 'may', 'september']"
4,United States,https://www.idp.com/global/Categories/Rivier-University/Master-of-Science-in-Computer-Information-Systems/p/PRG-US-00354652,2 Semester(s),5.5 IELTS,Masters Degree,"['january', 'september']"
5,Canada,https://www.idp.com/global/Categories/Computing-and-IT/Telecommunications/Graduate-Certificate-in-Wireless-Information-Networking/p/PRG-CA-00100860,4 Semester(s),6.5 IELTS,Graduate Certificate,"['january', 'may', 'september']"
6,United States,https://www.idp.com/global/Categories/Kent-State-University/Master-of-Digital-Sciences/p/PRG-US-00036910,3 Semester(s),6.5 IELTS,Masters Degree,"['january', 'august']"
7,United States,https://www.idp.com/global/Categories/Computing-and-IT/Computer-Science/Master-of-Science-in-Computer-Science/p/PRG-US-00019457,3 Semester(s),6.5 IELTS,Masters Degree,"['january', 'september']"
8,United States,https://www.idp.com/global/Categories/Southern-Arkansas-University---Main-Campus/Master-of-Science-in-Computer-and-Information-Science/p/PRG-US-00198427,4 Semester(s),6.0 IELTS,Masters Degree,"['january', 'may', 'june', 'august']"
9,Australia,https://www.idp.com/global/Categories/Computing-and-IT/Computer-Engineering/Diploma-in-Engineering-Computer-Engineering/p/PRG-AU-00329688,12 Month(s),,Diploma,"['january', 'may', 'august']"
10,Australia,https://www.idp.com/global/Categories/Computing-and-IT/Information-technology/Master-of-Information-Technology-e-Commerce-Systems/p/PRG-AU-00337210,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'may', 'june', 'september']"
