,area of study,course_name,university_name,course_fee,course_link
0,computing-and-it,Master of Science in Computer Science,Rivier University,"USD 22,320",https://www.idp.com/global/Categories/Computing-and-IT/Computer-Science/Master-of-Science-in-Computer-Science/p/PRG-US-00009461
1,computing-and-it,Master of Science in Information Technology - Computing,Valparaiso University,"USD 24,050",https://www.idp.com/global/Categories/Valparaiso-University/Master-of-Science-in-Information-Technology-Computing/p/PRG-US-00009172
2,computing-and-it,Master of Science in Information Technology,Valparaiso University,"USD 24,050",https://www.idp.com/global/Categories/Valparaiso-University/Master-of-Science-in-Information-Technology/p/PRG-US-00314851
3,computing-and-it,Master of Science in Computer Information Systems,Rivier University,"USD 22,320",https://www.idp.com/global/Categories/Computing-and-IT/Information-Systems/Master-of-Science-in-Computer-Information-Systems/p/PRG-US-00009460
4,computing-and-it,Master of Science in Computer Information Systems,Rivier University,"USD 22,320",https://www.idp.com/global/Categories/Rivier-University/Master-of-Science-in-Computer-Information-Systems/p/PRG-US-00354652
5,computing-and-it,Graduate Certificate in Wireless Information Networking,Fleming College,"CAD 38,721",https://www.idp.com/global/Categories/Computing-and-IT/Telecommunications/Graduate-Certificate-in-Wireless-Information-Networking/p/PRG-CA-00100860
6,computing-and-it,Master of Digital Sciences,Kent State University,"USD 30,499",https://www.idp.com/global/Categories/Kent-State-University/Master-of-Digital-Sciences/p/PRG-US-00036910
7,computing-and-it,Master of Science in Computer Science,New Jersey Institute of Technology,"USD 45,810",https://www.idp.com/global/Categories/Computing-and-IT/Computer-Science/Master-of-Science-in-Computer-Science/p/PRG-US-00019457
8,computing-and-it,Master of Science in Computer and Information Science,Southern Arkansas University - Main Campus,"USD 15,795",https://www.idp.com/global/Categories/Southern-Arkansas-University---Main-Campus/Master-of-Science-in-Computer-and-Information-Science/p/PRG-US-00198427
9,computing-and-it,Diploma in Engineering - Computer Engineering,UNSW Global Pty Ltd Foundation Year,"AUD 43,200",https://www.idp.com/global/Categories/Computing-and-IT/Computer-Engineering/Diploma-in-Engineering-Computer-Engineering/p/PRG-AU-00329688
10,computing-and-it,Master of Information Technology - e-Commerce Systems,The University of New South Wales,"AUD 94,560",https://www.idp.com/global/Categories/Computing-and-IT/Information-technology/Master-of-Information-Technology-e-Commerce-Systems/p/PRG-AU-00337210
11,computing-and-it,Master of Information Technology - Internetworking,The University of New South Wales,"AUD 94,560",https://www.idp.com/global/Categories/Computing-and-IT/Information-technology/Master-of-Information-Technology-Internetworking/p/PRG-AU-00337206
12,computing-and-it,Master of Information Technology - Geospatial,The University of New South Wales,"AUD 94,560",https://www.idp.com/global/Categories/Computing-and-IT/Information-technology/Master-of-Information-Technology-Geospatial/p/PRG-AU-00358265
13,computing-and-it,Master of Information Technology - Information Technology,The University of New South Wales,"AUD 94,560",https://www.idp.com/global/Categories/The-University-of-New-South-Wales/Master-of-Information-Technology-Information-Technology/p/PRG-AU-00060641
14,computing-and-it,Master of Information Technology,Monash University,"AUD 85,600",https://www.idp.com/global/Categories/Computing-and-IT/Information-technology/Master-of-Information-Technology/p/PRG-AU-00110541
15,computing-and-it,Master of Business Information Systems,Monash University,"AUD 85,600",https://www.idp.com/global/Categories/Monash-University/Master-of-Business-Information-Systems/p/PRG-AU-00172368
16,computing-and-it,Master of Information Technology,The University of Melbourne,"AUD 89,472",https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Information-Technology/p/PRG-AU-00100421
17,computing-and-it,Master of Information Technology in Computing,The University of Melbourne,"AUD 89,472",https://www.idp.com/global/Categories/Computing-and-IT/Information-technology/Master-of-Information-Technology-in-Computing/p/PRG-AU-00278611
18,computing-and-it,Master of Information Technology in Distributed Computing,The University of Melbourne,"AUD 89,472",https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Information-Technology-in-Distributed-Computing/p/PRG-AU-00278616
19,computing-and-it,Master of Information Technology in Spatial,The University of Melbourne,"AUD 89,472",https://www.idp.com/global/Categories/Computing-and-IT/Information-technology/Master-of-Information-Technology-in-Spatial/p/PRG-AU-00278621
20,computing-and-it,Master of Information Technology in Human Computer Interaction,The University of Melbourne,"AUD 89,472",https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Information-Technology-in-Human-Computer-Interaction/p/PRG-AU-00278626
21,computing-and-it,Master of Science in Computer Science,University of Bridgeport,"USD 36,540",https://www.idp.com/global/Categories/Computing-and-IT/Computer-Science/Master-of-Science-in-Computer-Science/p/PRG-US-00009537
22,computing-and-it,Master of Science in Information Technology,Southern New Hampshire University,"USD 12,600",https://www.idp.com/global/Categories/Southern-New-Hampshire-University/Master-of-Science-in-Information-Technology/p/PRG-US-00183644
23,computing-and-it,Master of Information Systems in Health,The University of Melbourne,"AUD 89,472",https://www.idp.com/global/Categories/Computing-and-IT/Information-Systems/Master-of-Information-Systems-in-Health/p/PRG-AU-00278599
24,computing-and-it,Master of Information Systems,The University of Melbourne,"AUD 89,472",https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Information-Systems/p/PRG-AU-00115958
25,computing-and-it,Master of Information Systems in Professional,The University of Melbourne,"AUD 89,472",https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Information-Systems-in-Professional/p/PRG-AU-00278606
26,computing-and-it,Master of Science in Computer Science,University of New Haven,"USD 28,950",https://www.idp.com/global/Categories/University-of-New-Haven/Master-of-Science-in-Computer-Science/p/PRG-US-00197035
27,computing-and-it,Master of Information Technology,CQUniversity Australia,"AUD 64,620",https://www.idp.com/global/Categories/CQUniversity-Australia/Master-of-Information-Technology/p/PRG-AU-00115796
28,computing-and-it,Master of Science in Information Systems - Digital Health Innovation,University of Colorado - Denver,"USD 41,340",https://www.idp.com/global/Categories/University-of-Colorado---Denver/Master-of-Science-in-Information-Systems-Digital-Health-Innovation/p/PRG-US-00290122
29,computing-and-it,Master of Science in Information Systems - Cyber Security and Information ...,University of Colorado - Denver,"USD 41,340",https://www.idp.com/global/Categories/Computing-and-IT/Information-Systems/Master-of-Science-in-Information-Systems-Cyber-Security-and-Information-Assurance/p/PRG-US-00290116
30,computing-and-it,Master of Science in Information Systems - Web and Mobile Computing,University of Colorado - Denver,"USD 41,340",https://www.idp.com/global/Categories/Computing-and-IT/Web-Development/Master-of-Science-in-Information-Systems-Web-and-Mobile-Computing/p/PRG-US-00290128
31,computing-and-it,Master of Science in Information Systems,University of Colorado - Denver,"USD 41,340",https://www.idp.com/global/Categories/University-of-Colorado---Denver/Master-of-Science-in-Information-Systems/p/PRG-US-00019073
32,computing-and-it,Master of Engineering in Electrical and Computer Engineering - Data Scienc...,Carleton University,"CAD 45,958",https://www.idp.com/global/Categories/Carleton-University/Master-of-Engineering-in-Electrical-and-Computer-Engineering-Data-Science-Collaborative-Specialization/p/PRG-CA-00287025
33,computing-and-it,Master of Computing,The Australian National University,"AUD 93,820",https://www.idp.com/global/Categories/The-Australian-National-University/Master-of-Computing/p/PRG-AU-00110143
34,computing-and-it,Master of Science in Information Systems - Professional Management,New Jersey Institute of Technology,"USD 45,810",https://www.idp.com/global/Categories/New-Jersey-Institute-of-Technology/Master-of-Science-in-Information-Systems-Professional-Management/p/PRG-US-00362546
35,computing-and-it,Master of Science in Information Systems,New Jersey Institute of Technology,"USD 35,230",https://www.idp.com/global/Categories/New-Jersey-Institute-of-Technology/Master-of-Science-in-Information-Systems/p/PRG-US-00019461
36,computing-and-it,Master of Science in Computer Science,University of Missouri - St. Louis,"USD 33,923",https://www.idp.com/global/Categories/Computing-and-IT/Computer-Science/Master-of-Science-in-Computer-Science/p/PRG-US-00026918
37,computing-and-it,Master of Data Science,Monash University,"AUD 85,600",https://www.idp.com/global/Categories/Computing-and-IT/Information-Systems/Master-of-Data-Science/p/PRG-AU-00186261
38,computing-and-it,Master of Science in Computer Science,Troy University,,https://www.idp.com/global/Categories/Troy-University/Master-of-Science-in-Computer-Science/p/PRG-US-00055540
39,computing-and-it,Ontario College Graduate Certificate in Information Technology Business An...,Conestoga College,"CAD 37,000",https://www.idp.com/global/Categories/Conestoga-College/Ontario-College-Graduate-Certificate-in-Information-Technology-Business-Analysis-Operations/p/PRG-CA-00177310
40,computing-and-it,Master of Science in Computer Science (Non-thesis Option),Texas State University,"USD 36,304",https://www.idp.com/global/Categories/Computing-and-IT/Computer-Science/Master-of-Science-in-Computer-Science-Non-thesis-Option/p/PRG-US-00044672
41,computing-and-it,Master of Science in Data Science,Western Michigan University,"USD 49,344",https://www.idp.com/global/Categories/Western-Michigan-University/Master-of-Science-in-Data-Science/p/PRG-US-00285892
42,computing-and-it,Master of Science in Computer Science,Western Michigan University,"USD 32,896",https://www.idp.com/global/Categories/Western-Michigan-University/Master-of-Science-in-Computer-Science/p/PRG-US-00015604
43,computing-and-it,Master of Science in Computer Science - Computer Engineering,Kent State University,"USD 30,499",https://www.idp.com/global/Categories/Kent-State-University/Master-of-Science-in-Computer-Science-Computer-Engineering/p/PRG-US-00320405
44,computing-and-it,Master of Science in Computer Science,Kent State University,"USD 30,499",https://www.idp.com/global/Categories/Computing-and-IT/Computer-Science/Master-of-Science-in-Computer-Science/p/PRG-US-00008899
45,computing-and-it,Master of Science in Computer Science - Computational Data Science,Kent State University,"USD 30,499",https://www.idp.com/global/Categories/Kent-State-University/Master-of-Science-in-Computer-Science-Computational-Data-Science/p/PRG-US-00320401
