,location,course_link,duration,entry_score,course_qualification,intakes
0,United States,https://www.idp.com/global/Categories/Economics/Business-Economics/Master-of-Science-in-Information-Systems-Technology-Innovation-and-Entrepreneurship/p/PRG-US-00290127,3 Semester(s),6.5 IELTS,Masters Degree,"['january', 'june', 'august']"
1,United Kingdom,https://www.idp.com/global/Categories/University-of-Birmingham/MSc-Financial-Economics/p/PRG-UK-00118468,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
2,New Zealand,https://www.idp.com/global/Categories/AUT/Master-of-Business-Economics/p/PRG-NZ-00302730,1 Year(s),6.5 IELTS,Masters Degree (Taught),"['march', 'july']"
3,Australia,https://www.idp.com/global/Categories/Economics/Mathematics/Master-of-Analytics/p/PRG-AU-00121449,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'march', 'june', 'july']"
4,Canada,https://www.idp.com/global/Categories/Centennial-College-of-Applied-Arts-and-Technology/Graduate-Certificate-in-Marketing-Research-and-Analytics-Optional-Co-op/p/PRG-CA-00090597,1 Year(s),6.5 IELTS,Graduate Certificate,"['january', 'may', 'september']"
5,United Kingdom,https://www.idp.com/global/Categories/Economics/Mathematics/MastersMSc-Mathematical-Finance/p/PRG-UK-00073001,1 Year(s),6.0 IELTS,Masters Degree (Taught),['september']
6,Canada,https://www.idp.com/global/Categories/University-of-Ottawa/Master-of-Engineering-in-Entrepreneurial-Engineering-Design/p/PRG-CA-00364941,2 Year(s),6.5 IELTS,Masters Degree,"['january', 'september']"
7,New Zealand,https://www.idp.com/global/Categories/University-of-Canterbury/Master-of-Applied-Finance-and-Economics/p/PRG-NZ-00117934,1 Year(s),6.5 IELTS,Masters Degree (Taught),['feb']
8,Australia,https://www.idp.com/global/Categories/The-University-of-Sydney/Master-of-Economics/p/PRG-AU-00116560,1 Year(s),7.0 IELTS,Masters Degree (Coursework),"['feb', 'march', 'august']"
9,Australia,https://www.idp.com/global/Categories/The-University-of-Sydney/Master-of-Economics/p/PRG-AU-00285622,1 Year(s),7.0 IELTS,Masters Degree (Coursework),"['march', 'august']"
10,Australia,https://www.idp.com/global/Categories/The-University-of-Sydney/Bachelor-of-Economics/p/PRG-AU-00062779,3 Year(s),7.0 IELTS,Bachelor Degree,"['feb', 'march', 'august']"
11,United Kingdom,https://www.idp.com/global/Categories/Economics/Mathematics/MastersMSc-Mathematics-Operational-Research-Statistics-and-Econometrics-MORSE/p/PRG-UK-00073000,1 Year(s),6.0 IELTS,Masters Degree (Taught),['september']
12,United States,https://www.idp.com/global/Categories/Kent-State-University/Graduate-Certificate-in-Business-Analytics/p/PRG-US-00362926,1 Semester(s),6.5 IELTS,Graduate Certificate,"['january', 'august']"
13,Australia,https://www.idp.com/global/Categories/Economics/Mathematics/Master-of-Science-in-Mathematics-and-Statistics/p/PRG-AU-00109928,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july', 'august']"
