,area of study,course_name,university_name,course_fee,course_link
0,economics,Master of Science in Information Systems - Technology Innovation and Entre...,University of Colorado - Denver,"USD 41,340",https://www.idp.com/global/Categories/Economics/Business-Economics/Master-of-Science-in-Information-Systems-Technology-Innovation-and-Entrepreneurship/p/PRG-US-00290127
1,economics,MSc Financial Economics,University of Birmingham,"GBP 21,960",https://www.idp.com/global/Categories/University-of-Birmingham/MSc-Financial-Economics/p/PRG-UK-00118468
2,economics,Master of Business - Economics,AUT,"NZD 49,995",https://www.idp.com/global/Categories/AUT/Master-of-Business-Economics/p/PRG-NZ-00302730
3,economics,Master of Analytics,RMIT University,"AUD 67,200",https://www.idp.com/global/Categories/Economics/Mathematics/Master-of-Analytics/p/PRG-AU-00121449
4,economics,Graduate Certificate in Marketing - Research and Analytics (Optional Co-op...,Centennial College of Applied Arts and Technology,"CAD 14,502",https://www.idp.com/global/Categories/Centennial-College-of-Applied-Arts-and-Technology/Graduate-Certificate-in-Marketing-Research-and-Analytics-Optional-Co-op/p/PRG-CA-00090597
5,economics,Masters/MSc Mathematical Finance,University of Birmingham,"GBP 21,960",https://www.idp.com/global/Categories/Economics/Mathematics/MastersMSc-Mathematical-Finance/p/PRG-UK-00073001
6,economics,Master of Engineering in Entrepreneurial Engineering Design,University of Ottawa,"CAD 67,743",https://www.idp.com/global/Categories/University-of-Ottawa/Master-of-Engineering-in-Entrepreneurial-Engineering-Design/p/PRG-CA-00364941
7,economics,Master of Applied Finance and Economics,University of Canterbury,"NZD 45,375",https://www.idp.com/global/Categories/University-of-Canterbury/Master-of-Applied-Finance-and-Economics/p/PRG-NZ-00117934
8,economics,Master of Economics,The University of Sydney,"AUD 51,000",https://www.idp.com/global/Categories/The-University-of-Sydney/Master-of-Economics/p/PRG-AU-00116560
9,economics,Master of Economics,The University of Sydney,"AUD 76,500",https://www.idp.com/global/Categories/The-University-of-Sydney/Master-of-Economics/p/PRG-AU-00285622
10,economics,Bachelor of Economics,The University of Sydney,"AUD 138,000",https://www.idp.com/global/Categories/The-University-of-Sydney/Bachelor-of-Economics/p/PRG-AU-00062779
11,economics,"Masters/MSc Mathematics, Operational Research, Statistics and Econometrics...",University of Birmingham,"GBP 19,440",https://www.idp.com/global/Categories/Economics/Mathematics/MastersMSc-Mathematics-Operational-Research-Statistics-and-Econometrics-MORSE/p/PRG-UK-00073000
12,economics,Graduate Certificate in Business Analytics,Kent State University,"USD 10,166",https://www.idp.com/global/Categories/Kent-State-University/Graduate-Certificate-in-Business-Analytics/p/PRG-US-00362926
13,economics,Master of Science in Mathematics and Statistics,The University of Melbourne,"AUD 88,512",https://www.idp.com/global/Categories/Economics/Mathematics/Master-of-Science-in-Mathematics-and-Statistics/p/PRG-AU-00109928
