,area of study,course_name,university_name,course_fee,course_link
0,agriculture-sciences,Graduate Certificate in Sustainable Agriculture (Co-Op),Fleming College,"CAD 26,749",https://www.idp.com/global/Categories/Fleming-College/Graduate-Certificate-in-Sustainable-Agriculture-Co-Op/p/PRG-CA-00104880
1,agriculture-sciences,Advanced Diploma in Food Science Technology (Fast Track) (Optional Co-op),Centennial College of Applied Arts and Technology,"CAD 30,875",https://www.idp.com/global/Categories/Agriculture-Sciences/Food-Science/Advanced-Diploma-in-Food-Science-Technology-Fast-Track-Optional-Co-op/p/PRG-CA-00090626
2,agriculture-sciences,"Masters/MSc in Food Safety, Hygiene and Management",University of Birmingham,"GBP 24,480",https://www.idp.com/global/Categories/University-of-Birmingham/MastersMSc-in-Food-Safety-Hygiene-and-Management/p/PRG-UK-00073047
3,agriculture-sciences,Master of Biotechnology,The University of Queensland,"AUD 82,080",https://www.idp.com/global/Categories/The-University-of-Queensland/Master-of-Biotechnology/p/PRG-AU-00119196
4,agriculture-sciences,Master of Food Science,The University of Melbourne,"AUD 86,400",https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Food-Science/p/PRG-AU-00096862
5,agriculture-sciences,Master of Food Science and Technology,The University of Queensland,"AUD 84,064",https://www.idp.com/global/Categories/The-University-of-Queensland/Master-of-Food-Science-and-Technology/p/PRG-AU-00272821
6,agriculture-sciences,Postgraduate Diploma in Science - Food Science,The University of Auckland,"NZD 44,310",https://www.idp.com/global/Categories/The-University-of-Auckland/Postgraduate-Diploma-in-Science-Food-Science/p/PRG-NZ-00220374
7,agriculture-sciences,MSc Food Production Management,University of Nottingham,"GBP 26,500",https://www.idp.com/global/Categories/Agriculture-Sciences/Food-Science/MSc-Food-Production-Management/p/PRG-UK-00081186
8,agriculture-sciences,Master of Biotechnology,The University of Melbourne,"AUD 88,512",https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Biotechnology/p/PRG-AU-00059079
9,agriculture-sciences,Master of Food Science,The University of New South Wales,"AUD 94,560",https://www.idp.com/global/Categories/The-University-of-New-South-Wales/Master-of-Food-Science/p/PRG-AU-00328027
10,agriculture-sciences,Master of Food Science in Food Science and Technology,The University of New South Wales,"AUD 94,560",https://www.idp.com/global/Categories/Agriculture-Sciences/Food-Science/Master-of-Food-Science-in-Food-Science-and-Technology/p/PRG-AU-00358514
11,agriculture-sciences,Ontario College Graduate Certificate in Food Safety and Quality Assurance ...,Conestoga College,"CAD 13,000",https://www.idp.com/global/Categories/Conestoga-College/Ontario-College-Graduate-Certificate-in-Food-Safety-and-Quality-Assurance-Food-Processing/p/PRG-CA-00120977
12,agriculture-sciences,Bachelor of Science in Animal Science,Murdoch University,"AUD 98,409",https://www.idp.com/global/Categories/Murdoch-University/Bachelor-of-Science-in-Animal-Science/p/PRG-AU-00061781
13,agriculture-sciences,Master of Biotechnology and Bioinformatics,La Trobe University,"AUD 78,000",https://www.idp.com/global/Categories/Agriculture-Sciences/Food-Science/Master-of-Biotechnology-and-Bioinformatics/p/PRG-AU-00064012
14,agriculture-sciences,Bachelor of Commerce (Food and Agribusiness),Deakin University,"AUD 107,400",https://www.idp.com/global/Categories/Deakin-University/Bachelor-of-Commerce-Food-and-Agribusiness/p/PRG-AU-00331017
15,agriculture-sciences,Master of Biotechnology and Bioinformatics,Deakin University,"AUD 75,200",https://www.idp.com/global/Categories/Deakin-University/Master-of-Biotechnology-and-Bioinformatics/p/PRG-AU-00275605
16,agriculture-sciences,Graduate Diploma in Viticulture and Oenology,Lincoln University,"NZD 31,800",https://www.idp.com/global/Categories/Agriculture-Sciences/Horticulture-and-Viticulture/Graduate-Diploma-in-Viticulture-and-Oenology/p/PRG-NZ-00074782
17,agriculture-sciences,Master of Agricultural Sciences,The University of Melbourne,"AUD 86,400",https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Agricultural-Sciences/p/PRG-AU-00115967
18,agriculture-sciences,Advanced Diploma in Food Science Technology (Optional Co-op),Centennial College of Applied Arts and Technology,"CAD 46,312",https://www.idp.com/global/Categories/Agriculture-Sciences/Food-Science/Advanced-Diploma-in-Food-Science-Technology-Optional-Co-op/p/PRG-CA-00090627
19,agriculture-sciences,Graduate Certificate in Commercial Beekeeping,Niagara College,"CAD 25,800",https://www.idp.com/global/Categories/Niagara-College/Graduate-Certificate-in-Commercial-Beekeeping/p/PRG-CA-00227220
20,agriculture-sciences,Master of Food Science and Technology,The University of Queensland,"AUD 63,048",https://www.idp.com/global/Categories/Agriculture-Sciences/Food-Science/Master-of-Food-Science-and-Technology/p/PRG-AU-00272809
21,agriculture-sciences,MSc Molecular Biotechnology,University of Birmingham,"GBP 24,480",https://www.idp.com/global/Categories/University-of-Birmingham/MSc-Molecular-Biotechnology/p/PRG-UK-00073081
22,agriculture-sciences,Master of Science in Biotechnology,University of Canterbury,"NZD 39,500",https://www.idp.com/global/Categories/University-of-Canterbury/Master-of-Science-in-Biotechnology/p/PRG-NZ-00195343
23,agriculture-sciences,Bachelor of Science - International Agriculture,Massey University,"NZD 101,310",https://www.idp.com/global/Categories/Agriculture-Sciences/Bachelor-of-Science-International-Agriculture/p/PRG-NZ-00329358
24,agriculture-sciences,Master of Viticulture and Oenology,The University of Adelaide,"AUD 95,000",https://www.idp.com/global/Categories/The-University-of-Adelaide/Master-of-Viticulture-and-Oenology/p/PRG-AU-00159102
25,agriculture-sciences,Master of Science in Cellular and Molecular Biology,University of Canterbury,"NZD 39,500",https://www.idp.com/global/Categories/University-of-Canterbury/Master-of-Science-in-Cellular-and-Molecular-Biology/p/PRG-NZ-00300991
26,agriculture-sciences,Master of Science (Research) - Food Science,AUT,"NZD 76,004",https://www.idp.com/global/Categories/AUT/Master-of-Science-Research-Food-Science/p/PRG-NZ-00302829
27,agriculture-sciences,Master of Management in Agricultural Systems,Lincoln University,"NZD 43,900",https://www.idp.com/global/Categories/Lincoln-University/Master-of-Management-in-Agricultural-Systems/p/PRG-NZ-00118781
28,agriculture-sciences,Master of Wine and Viticulture,Lincoln University,"NZD 46,800",https://www.idp.com/global/Categories/Lincoln-University/Master-of-Wine-and-Viticulture/p/PRG-NZ-00330540
29,agriculture-sciences,Postgraduate Diploma in Science (Food Science),AUT,"NZD 38,002",https://www.idp.com/global/Categories/AUT/Postgraduate-Diploma-in-Science-Food-Science/p/PRG-NZ-00311177
30,agriculture-sciences,Master of Global Food and Agricultural Business,The University of Adelaide,"AUD 89,000",https://www.idp.com/global/Categories/The-University-of-Adelaide/Master-of-Global-Food-and-Agricultural-Business/p/PRG-AU-00060053
31,agriculture-sciences,Master of Biotechnology (1 year),Macquarie University,"AUD 40,800",https://www.idp.com/global/Categories/Macquarie-University/Master-of-Biotechnology-1-year/p/PRG-AU-00334805
32,agriculture-sciences,Master of Biotechnology (2 years),Macquarie University,"AUD 81,600",https://www.idp.com/global/Categories/Macquarie-University/Master-of-Biotechnology-2-years/p/PRG-AU-00116760
33,agriculture-sciences,Master of Science (Biotechnology),Swinburne University of Technology,"AUD 74,000",https://www.idp.com/global/Categories/Swinburne-University-of-Technology/Master-of-Science-Biotechnology/p/PRG-AU-00059825
34,agriculture-sciences,Master of Biotechnology,RMIT University,"AUD 74,880",https://www.idp.com/global/Categories/RMIT-University/Master-of-Biotechnology/p/PRG-AU-00061730
35,agriculture-sciences,Postgraduate Diploma in Agricultural Science,Lincoln University,"NZD 31,200",https://www.idp.com/global/Categories/Lincoln-University/Postgraduate-Diploma-in-Agricultural-Science/p/PRG-NZ-00074748
36,agriculture-sciences,Master of Commerce (Agricultural),Lincoln University,"NZD 29,100",https://www.idp.com/global/Categories/Lincoln-University/Master-of-Commerce-Agricultural/p/PRG-NZ-00074776
37,agriculture-sciences,Master of Science (Food Science and Technology),Curtin University,"AUD 76,000",https://www.idp.com/global/Categories/Curtin-University/Master-of-Science-Food-Science-and-Technology/p/PRG-AU-00060719
38,agriculture-sciences,Master of Applied Science - Consumer Food Science,The University of Otago,"NZD 37,117",https://www.idp.com/global/Categories/The-University-of-Otago/Master-of-Applied-Science-Consumer-Food-Science/p/PRG-NZ-00102875
39,agriculture-sciences,Postgraduate Diploma in Science - Food Science,The University of Otago,"NZD 34,755",https://www.idp.com/global/Categories/The-University-of-Otago/Postgraduate-Diploma-in-Science-Food-Science/p/PRG-NZ-00103175
